DLiP-ID,C0000R
DLiP-Mol-ID,30100
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H13N3O3S/c1-7-8(2)13-17-11(7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6,14H,12H2,1-2H3"
Standard Inchi Key(RDKit),NHUHCSRWZMLRLA-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),267.31
MW Monoisotopic(RDKit),267.067762276
MolLogP(RDKit),1.67444
XLogP(SDF),
XLogP(CDK),1.474
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),98.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.824195903866472
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,11425.168940911899
qed,0.8241959038664723
Chi0,13.336498814253964
Chi1,8.39868403267067
TPSA,98.22
Chi0n,9.96695810330354
Chi0v,10.783454684231266
Chi1n,5.211929092254895
Chi1v,6.695092339849286
Chi2n,3.8966429817300456
Chi2v,5.579045223139565
Chi3n,2.574622477876861
Chi3v,3.921514589939969
Chi4n,1.3384655134836343
Chi4v,2.3851377194804297
MolMR,67.63990000000003
MolWt,267.31
fr_SH,0
Kappa1,12.437269065941917
Kappa2,4.337583644907168
Kappa3,2.3030302240964393
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,659.3419266315426
MolLogP,1.67444
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.327592361324992
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,18.742957874899023
SMR_VSA6,10.455762341614273
SMR_VSA7,35.5228477603919
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,104.83424387818272
NHOHCount,3
PEOE_VSA1,10.256762414135533
PEOE_VSA2,0.0
PEOE_VSA3,13.139891848781026
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,5.156663257125445
PEOE_VSA7,38.112942673227685
PEOE_VSA8,11.250837766380558
PEOE_VSA9,10.589411470366237
RingCount,2
SMR_VSA10,21.594859629952154
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,267.067762276
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.884182201861009
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,10.455762341614273
SlogP_VSA2,13.574460241454382
SlogP_VSA3,10.023291153407584
SlogP_VSA4,13.847474399381248
SlogP_VSA5,11.257379486545457
SlogP_VSA6,33.68404668633756
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.779665677378784
EState_VSA3,16.944765761229018
EState_VSA4,0.0
EState_VSA5,24.26546827384644
EState_VSA6,13.847474399381248
EState_VSA7,0.0
EState_VSA8,9.878758121577533
EState_VSA9,10.256762414135533
SlogP_VSA10,11.57156847654457
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,28.980482725497605
VSA_EState9,22.948082089317207
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.18181818181818182
VSA_EState10,-3.678564814814814
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.0199999999999996
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,18
HeavyAtomMolWt,254.20599999999996
MaxEStateIndex,12.034654195011338
MinEStateIndex,-3.678564814814814
NumHeteroatoms,7
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2222222222222223
FpDensityMorgan2,1.8333333333333333
FpDensityMorgan3,2.3333333333333335
MaxPartialCharge,0.2637539767525486
MinPartialCharge,-0.39872771712743776
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.034654195011338
MinAbsEStateIndex,0.1158824640967504
NumAliphaticRings,0
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.39872771712743776
MinAbsPartialCharge,0.2637539767525486
NumRadicalElectrons,0
NumValenceElectrons,96
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,267.0677622760003
MZ,0.752688172043011
Mi,1.1328968746320573
Mm,0.7178983780996449
Mp,0.6885128259609816
Mv,0.649265273829143
SZ,23.33333333333334
Si,35.119803113593775
Sm,22.25484972108899
Sp,21.34389760479043
