DLiP-ID,C000AG
DLiP-Mol-ID,30312
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C4H7N5S/c1-6-4(10)9-2-7-3(5)8-9/h2H,1H3,(H2,5,8)(H,6,10)"
Standard Inchi Key(RDKit),OJLLAPUQDDHCIY-UHFFFAOYSA-N
Canonical SMILES(RDKit),C/N=C(\S)n1cnc(N)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),157.202
MW Monoisotopic(RDKit),157.042216224
MolLogP(RDKit),-0.376
XLogP(SDF),
XLogP(CDK),-0.198
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),69.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),10
QED Weighted(RDKit),0.306348794392164
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,243.26118386936767
qed,0.3063487943921637
Chi0,7.560477932315068
Chi1,4.736382105218448
TPSA,69.09
Chi0n,5.390768515879042
Chi0v,6.285195706878958
Chi1n,2.5703204983389885
Chi1v,3.0175340938389468
Chi2n,1.5709446849201514
Chi2v,1.9709446849201515
Chi3n,0.9144846442821506
Chi3v,1.3193974172200673
Chi4n,0.474679342202594
Chi4v,0.5710404797020221
MolMR,42.177400000000006
MolWt,157.202
fr_SH,1
Kappa1,7.071607142857144
Kappa2,2.695685283162381
Kappa3,1.2686181558443694
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,251.9055588751447
MolLogP,-0.37600000000000006
NOCount,5
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.954823420729184
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,14.76446326439343
SMR_VSA4,4.992404732635669
SMR_VSA5,0.0
SMR_VSA6,12.781339459839375
SMR_VSA7,6.3273200747645415
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,63.37844863247212
NHOHCount,2
PEOE_VSA1,5.733667477162185
PEOE_VSA2,4.992404732635669
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,4.681802935145185
PEOE_VSA5,17.72747095631403
PEOE_VSA6,0.0
PEOE_VSA7,0.0
PEOE_VSA8,7.04767198267719
PEOE_VSA9,0.0
RingCount,1
SMR_VSA10,23.744780198577537
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,157.042216224
NumHDonors,2
PEOE_VSA10,6.3273200747645415
PEOE_VSA11,5.1676517695780495
PEOE_VSA12,5.948339280986494
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.733667477162185
SlogP_VSA2,26.979787016648668
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,11.31972480740021
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.948339280986494
EState_VSA3,5.1676517695780495
EState_VSA4,0.0
EState_VSA5,11.009123009909725
EState_VSA6,7.04767198267719
EState_VSA7,0.0
EState_VSA8,27.703854209896907
EState_VSA9,5.733667477162185
SlogP_VSA10,5.948339280986494
SlogP_VSA11,0.0
SlogP_VSA12,12.628789148012991
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.3873456790123457
VSA_EState9,20.180432098765436
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.25
VSA_EState10,3.987777777777778
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.04
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,10
HeavyAtomMolWt,150.14600000000002
MaxEStateIndex,5.239087931468884
MinEStateIndex,0.21777777777777807
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.9
FpDensityMorgan2,2.6
FpDensityMorgan3,3.0
MaxPartialCharge,0.2394521832184922
MinPartialCharge,-0.3664917242971519
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,5.239087931468884
MinAbsEStateIndex,0.21777777777777807
NumAliphaticRings,0
NumRotatableBonds,0
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3664917242971519
MinAbsPartialCharge,0.2394521832184922
NumRadicalElectrons,0
NumValenceElectrons,54
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
