DLiP-ID,C000B5
DLiP-Mol-ID,30559
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C6H10N4/c1-2-4-6-7-8-9-10(6)5-3-1/h1-5H2
Standard Inchi Key(RDKit),CWRVKFFCRWGWCS-UHFFFAOYSA-N
Canonical SMILES(RDKit),C1CCc2nnnn2CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),138.174
MW Monoisotopic(RDKit),138.09054632
MolLogP(RDKit),0.3995
XLogP(SDF),
XLogP(CDK),1.839
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),43.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),10
QED Weighted(RDKit),0.520860112140966
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,362.17017167820467
qed,0.5208601121409658
Chi0,6.811554787871634
Chi1,4.9663264951887856
TPSA,43.6
Chi0n,5.824388287932569
Chi0v,5.824388287932569
Chi1n,3.7169947521100695
Chi1v,3.7169947521100695
Chi2n,2.6289154129923498
Chi2v,2.6289154129923498
Chi3n,1.8763671995643283
Chi3v,1.8763671995643283
Chi4n,1.2974494404138375
Chi4v,1.2974494404138375
MolMR,35.372
MolWt,138.174
fr_SH,0
Kappa1,5.824993101911248
Kappa2,2.361354480523624
Kappa3,0.8939840156439129
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,196.7773220333264
MolLogP,0.39949999999999997
NOCount,4
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,2.280589438798602
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,20.20725493475596
SMR_VSA4,0.0
SMR_VSA5,32.22804289761662
