DLiP-ID,C000C2
DLiP-Mol-ID,30592
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H13ClN2O2/c19-14-16(18(23)15-12(17(14)22)6-3-9-20-15)21-13-8-7-10-4-1-2-5-11(10)13/h1-6,9,13,21H,7-8H2"
Standard Inchi Key(RDKit),QNVSFGNOGHOYKE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1C(Cl)=C(NC2CCc3ccccc32)C(=O)c2ncccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),324.767
MW Monoisotopic(RDKit),324.066555336
MolLogP(RDKit),3.1881
XLogP(SDF),
XLogP(CDK),3.271
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.92135291758173
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,340114.6456675172
qed,0.9213529175817302
Chi0,15.97432701575866
Chi1,11.164703797946451
TPSA,59.06
Chi0n,12.174690365327017
Chi0v,12.93061931134547
Chi1n,7.450880235163486
Chi1v,7.828844708172713
Chi2n,5.681212140617405
Chi2v,6.059176613626631
Chi3n,4.364749415829699
Chi3v,4.725374445567665
Chi4n,3.2295271782735946
Chi4v,3.4717030791344214
MolMR,86.41670000000002
MolWt,324.76700000000005
fr_SH,0
Kappa1,14.152613321456492
Kappa2,5.317520490200393
Kappa3,2.1777278268526783
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,872.8302367146738
MolLogP,3.1881000000000013
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7154755180609689
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,18.88348407499998
SMR_VSA6,0.0
SMR_VSA7,75.70865411749162
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,137.73764737861833
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,14.573052889090853
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,35.866408164078955
PEOE_VSA7,36.10128036616923
PEOE_VSA8,6.196843571613076
PEOE_VSA9,11.605292320844956
RingCount,4
SMR_VSA10,23.167429782962394
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,0
ExactMolWt,324.066555336
NumHDonors,1
PEOE_VSA10,16.42325366001789
PEOE_VSA11,0.0
PEOE_VSA12,11.566489892729878
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,16.550468413677088
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,44.436019290157056
SlogP_VSA6,53.32437164755217
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,39.59503587359272
EState_VSA3,0.0
EState_VSA4,18.405094737549014
EState_VSA5,11.760295063310071
EState_VSA6,12.13273413692322
EState_VSA7,18.19910120538483
EState_VSA8,16.36713419341515
EState_VSA9,11.600939890232516
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,11.600939890232516
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,49.097557459197674
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.16666666666666666
VSA_EState10,6.180220318580107
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.4599999999999995
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,23
HeavyAtomMolWt,311.66300000000007
MaxEStateIndex,12.652913202317965
MinEStateIndex,-0.3581955992273451
NumHeteroatoms,5
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,2
fr_prisulfonamd,0
FpDensityMorgan1,1.0869565217391304
FpDensityMorgan2,1.9130434782608696
FpDensityMorgan3,2.782608695652174
MaxPartialCharge,0.229093838246735
MinPartialCharge,-0.37365895644499253
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.652913202317965
MinAbsEStateIndex,0.016701625094482253
NumAliphaticRings,2
NumRotatableBonds,2
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,2
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.37365895644499253
MinAbsPartialCharge,0.229093838246735
NumRadicalElectrons,0
NumValenceElectrons,114
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,2
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,324.06655533600036
MZ,0.7777777777777779
Mi,1.1069793112873447
Mm,0.7510800284924003
Mp,0.7437177145708584
Mv,0.7099517210575118
SZ,28.000000000000004
Si,39.85125520634441
Sm,27.03888102572641
Sp,26.773837724550905
Sv,25.558261958070425
nB,0
nC,18
nF,0
nH,13
nI,0
nN,2
nO,2
nP,0
nS,0
nX,1
ABC,18.38942479391473
AMW,9.001848759333344
IC0,1.6375814913924285
IC1,3.704066669965451
IC2,4.461320140211008
IC3,4.892147223664534
IC4,5.003258334775645
IC5,5.0588138903312005
MID,47.72696783631344
Mpe,0.9871459694989103
Mse,1.0145565266650485
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,86.41670000000002
SdO,25.022724631519274
SdS,0
Spe,35.53725490196077
SsF,0
SsI,0
Sse,36.524034959941744
StN,0
fMF,0.5555555555555556
nBr,0
nCl,1
AMID,2.0750855581005845
BIC0,0.29321262070801307
BIC1,0.663221403811962
BIC2,0.7988093276606497
BIC3,0.8759498784517957
BIC4,0.8958445708685782
BIC5,0.9057919170769693
CIC0,3.5323435100498837
CIC1,1.465858331476861
CIC2,0.7086048612313043
CIC3,0.27777777777777857
CIC4,0.16666666666666696
CIC5,0.1111111111111116
GGI1,3.5
GGI2,3.333333333333335
GGI3,2.291666666666667
GGI4,1.5461111111111112
GGI5,0.7777777777777778
GGI6,0.5984580498866213
GGI7,0.32206632653061223
GGI8,0.1650447215923406
GGI9,0.046875
JGI1,0.1346153846153846
JGI2,0.08771929824561406
JGI3,0.05589430894308943
JGI4,0.04417460317460318
JGI5,0.02681992337164751
JGI6,0.022165112958763753
JGI7,0.013419430272108842
JGI8,0.009169151199574479
JGI9,0.004687500000000001
MIC0,18.58302848375193
MIC1,38.36610865106038
MIC2,43.86981054830705
MIC3,45.74819535953931
MIC4,46.47147313731708
MIC5,46.52747313731709
MPC2,38
MPC3,55
MPC4,74
MPC5,93
MPC6,99
MPC7,111
MPC8,125
MPC9,132
Mare,0.9952222222222225
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.217228200150427
RPCG,0.13318466288447564
SIC0,0.31675149851024414
SIC1,0.7164642947300176
SIC2,0.8629371101063136
SIC3,0.9462704434396468
SIC4,0.9677622660637881
SIC5,0.9785081773758587
SaaN,4.0510831601158985
SaaO,0
SaaS,0
Sare,35.82800000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,6.180220318580107
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,58.95293369012742
TIC1,133.34640011875624
TIC2,160.60752504759628
TIC3,176.11730005192322
TIC4,180.11730005192322
TIC5,182.11730005192322
Vabc,279.715269784857
WPol,41
apol,44.712309
bpol,16.997691
nRot,2
ABCGG,14.901485680917899
ATS0Z,1176.0
ATS0d,141.0
ATS0i,5647.770010977137
ATS0m,4770.993610000001
ATS0p,64.438975763037
ATS0s,184.56085200426764
ATS0v,9450.773767875202
ATS1Z,1129.0
ATS1d,184.0
ATS1i,5551.543834510099
ATS1m,4383.492647000001
ATS1p,80.75238402000002
ATS1s,126.3261316872428
ATS1v,11862.123141123291
ATS2Z,1756.0
ATS2d,288.0
ATS2i,9814.060565381598
ATS2m,6737.4528599999985
ATS2p,125.41483815969798
ATS2s,209.01337448559673
ATS2v,18074.420283605617
ATS3Z,2176.0
ATS3d,317.0
ATS3i,13936.518597735992
ATS3m,8310.214737
ATS3p,141.33673829818798
ATS3s,297.90843621399176
ATS3v,19997.368820996802
ATS4Z,1988.0
ATS4d,277.0
ATS4i,13624.47433745008
ATS4m,7469.989383
ATS4p,130.10601381049
ATS4s,304.93827160493834
ATS4v,18105.846884523828
ATS5Z,1714.0
ATS5d,244.0
ATS5i,12883.050011398018
ATS5m,6375.3027569999995
ATS5p,115.026499657886
ATS5s,290.3477366255145
ATS5v,15672.083713861008
ATS6Z,1550.0
ATS6d,210.0
ATS6i,10409.653942827661
ATS6m,5804.039934999998
ATS6p,102.61746907364098
ATS6s,216.5144032921811
ATS6v,14155.844800900226
ATS7Z,1314.0
ATS7d,181.0
ATS7i,8860.013313407955
ATS7m,4823.714073999999
ATS7p,90.59982808454698
ATS7s,211.20987654320984
ATS7v,12660.028556002793
ATS8Z,974.0
ATS8d,144.0
ATS8i,7790.503606991677
ATS8m,3497.4697149999993
ATS8p,75.072074914547
ATS8s,179.38271604938274
ATS8v,10288.94384761817
C1SP1,0
C1SP2,1
C1SP3,0
C2SP1,0
C2SP2,11
C2SP3,3
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.16666666666666666
GGI10,0.01632486480971329
JGI10,0.004081216202428323
JGT10,0.4027459289832142
Kier1,16.467455621301774
Kier2,6.718836565096953
Kier3,2.909090909090909
MAXdO,12.652913202317965
MID_C,38.248126828698936
MID_N,4.119100022736088
MID_O,3.578430430692837
MID_X,1.78131055418558
MID_h,9.478841007614506
MINdO,12.36981142920131
MPC10,135
MWC01,26.0
MWC02,4.859812404361672
MWC03,5.752572638825633
MWC04,6.658011045870748
MWC05,7.564757012905729
MWC06,8.474911799159631
MWC07,9.38538551979936
MWC08,10.297386024272827
MWC09,11.20942561515135
MWC10,12.122359459886512
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,4
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.1881000000000013
SRW02,3.970291913552122
SRW03,0.0
SRW04,5.3230099791384085
SRW05,2.3978952727983707
SRW06,6.890609120147166
SRW07,4.727387818712341
SRW08,8.557374981049069
SRW09,6.823286122355687
SRW10,10.276532769388181
SaaCH,12.799669977044315
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.8351112528344684
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.5813141429411264
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.182148526077097
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.334850326572738
VE1_D,4.735011701306359
VE2_A,0.18847175332924948
VE2_D,0.2058700739698417
VE3_A,2.299596205829388
VE3_D,2.3878933208069157
VR1_A,155.50286498184127
VR1_D,132.96082980125075
VR2_A,6.7609941296452725
VR2_D,5.780905643532641
VR3_A,5.87957327870519
VR3_D,5.722963695006904
WPath,1125
Xc-3d,1.4550146564747761
Xc-4d,0.0
Xc-5d,0.6170191106819755
Xc-6d,0.0
Xp-0d,15.97432701575866
Xp-1d,11.164703797946451
Xp-2d,10.134894652382432
Xp-3d,9.462121188594908
Xp-4d,7.999111111813364
Xp-5d,6.4677648354144806
Xp-6d,4.341554275019365
Xp-7d,3.112151526488096
ZMIC0,70.28964549969345
ZMIC1,41.45849324834067
ZMIC2,29.72397778675216
ZMIC3,25.887386118643178
ZMIC4,24.65463750697117
ZMIC5,24.478530562446597
nAcid,0
nAtom,36
nBase,0
nRing,4
piPC1,3.58351893845611
piPC2,4.189654742026425
piPC3,4.816241156068032
piPC4,5.345916345347316
piPC5,5.838823144415438
piPC6,5.994896152409678
piPC7,6.313095045136846
piPC8,6.581289064732598
piPC9,6.85925413554219
AATS0Z,32.666666666666664
AATS0d,3.9166666666666665
AATS0i,156.88250030492046
AATS0m,132.52760027777782
AATS0p,1.7899715489732502
AATS0s,5.126690333451879
AATS0v,262.52149355208894
AATS1Z,28.94871794871795
AATS1d,4.717948717948718
AATS1i,142.34727780795126
AATS1m,112.39724735897438
AATS1p,2.07057394923077
AATS1s,3.2391315817241746
AATS1v,304.1570036185459
AATS2Z,26.208955223880597
AATS2d,4.298507462686567
AATS2i,146.4785159012179
AATS2m,100.55899791044774
AATS2p,1.8718632561148951
AATS2s,3.1196026042626377
AATS2v,269.7674669194868
AATS3Z,24.177777777777777
AATS3d,3.522222222222222
AATS3i,154.85020664151102
AATS3m,92.33571930000001
AATS3p,1.5704082033131999
AATS3s,3.3100937357110194
AATS3v,222.19298689996447
AATS4Z,22.850574712643677
AATS4d,3.1839080459770117
AATS4i,156.6031533040239
AATS4m,85.86194693103448
AATS4p,1.4954714231090804
AATS4s,3.5050376046544636
