DLiP-ID,C000CB
DLiP-Mol-ID,30601
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H20Cl2N2/c1-16(2)8-9-17(3)7-6-11-4-5-12(14)13(15)10-11/h4-5,10H,6-9H2,1-3H3"
Standard Inchi Key(RDKit),MGVRNMUKTZOQOW-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),275.223
MW Monoisotopic(RDKit),274.100354
MolLogP(RDKit),3.0293
XLogP(SDF),
XLogP(CDK),3.028
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),6.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.787058116146339
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4982.135594559356
qed,0.7870581161463391
Chi0,12.836498814253964
Chi1,7.986071002992366
TPSA,6.48
Chi0n,10.710834069333439
Chi0v,12.22269196137035
Chi1n,5.759875819865473
Chi1v,6.515804765883929
Chi2n,4.605012969663914
Chi2v,5.419413223145126
Chi3n,2.6951456373734053
Chi3v,3.434174916111423
Chi4n,1.4976143399550574
Chi4v,1.8183027239997154
MolMR,76.21700000000004
MolWt,275.223
fr_SH,0
Kappa1,14.779808612440194
Kappa2,7.220188231942451
Kappa3,5.7325006199166815
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,353.2727408671211
MolLogP,3.029300000000002
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.3642187644646535
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,40.77728516576929
SMR_VSA7,33.807819324564484
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,114.1121977144433
NHOHCount,0
PEOE_VSA1,9.799819461700956
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.268246848926644
PEOE_VSA7,45.260023199577795
PEOE_VSA8,19.634269217737724
PEOE_VSA9,10.045266627482652
RingCount,1
SMR_VSA10,23.20187978046503
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,274.100354
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,50.57710462747024
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,18.19910120538483
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,10.045266627482652
EState_VSA4,26.055090840663734
EState_VSA5,5.563451491696996
EState_VSA6,0.0
EState_VSA7,18.19910120538483
EState_VSA8,30.942835409732528
EState_VSA9,23.20187978046503
