DLiP-ID,C000CU
DLiP-Mol-ID,30620
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10ClF3N2O3/c16-9-4-5-11(13(22)23)12(7-9)21-14(24)20-10-3-1-2-8(6-10)15(17,18)19/h1-7H,(H,22,23)(H2,20,21,24)"
Standard Inchi Key(RDKit),GNCZTZCPXFDPLI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cccc(C(F)(F)F)c1)Nc1cc(Cl)ccc1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),358.703
MW Monoisotopic(RDKit),358.03320452
MolLogP(RDKit),4.701
XLogP(SDF),
XLogP(CDK),4.073
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),78.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.743694655938506
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,140657.61249782162
qed,0.7436946559385059
Chi0,17.905412915006313
Chi1,11.163722363586341
TPSA,78.43
Chi0n,11.817019952791973
Chi0v,12.572948898810429
Chi1n,6.4471851109908
Chi1v,6.825149584000028
Chi2n,4.652746098289649
Chi2v,5.089181878761634
Chi3n,2.9079897598079896
Chi3v,3.1430868625957284
Chi4n,1.8643196546052507
Chi4v,2.036422678558118
MolMR,82.49670000000005
MolWt,358.70300000000003
fr_SH,0
Kappa1,17.611316508566162
Kappa2,6.793718016075532
Kappa3,4.387002660695836
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,793.7740111931794
MolLogP,4.701000000000002
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,1
