DLiP-ID,C000FE
DLiP-Mol-ID,30741
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H18N2OS/c1-11-6-8-12(9-7-11)14(19)10-18-13-4-2-3-5-15(13)20-16(18)17/h6-9,17H,2-5,10H2,1H3"
Standard Inchi Key(RDKit),OLTZHXYLLRJLST-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(C(=O)Cn2c3c(sc2=N)CCCC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),286.4
MW Monoisotopic(RDKit),286.113984196
MolLogP(RDKit),3.09919
XLogP(SDF),
XLogP(CDK),3.579
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),45.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.865866289484527
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,53982.60508589145
qed,0.8658662894845267
Chi0,14.11251969619286
Chi1,9.647867045540842
TPSA,45.85
Chi0n,11.608645159118927
Chi0v,12.425141740046653
Chi1n,7.007841174038331
Chi1v,7.8243377549660575
Chi2n,5.359538517495746
Chi2v,6.443160273621409
Chi3n,3.855396096083025
Chi3v,4.955280244767864
Chi4n,2.6930846040263345
Chi4v,3.787881264638833
MolMR,80.31520000000003
MolWt,286.40000000000003
fr_SH,0
Kappa1,13.309870729741462
Kappa2,5.366118569336056
Kappa3,2.477482906252684
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,694.2572187585937
MolLogP,3.099190000000002
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8771975385931838
SMR_VSA1,4.794537184071822
SMR_VSA2,5.409283605791522
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
SMR_VSA5,39.15178009730724
SMR_VSA6,0.0
SMR_VSA7,50.76484909925227
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,121.95411681006993
NHOHCount,1
PEOE_VSA1,4.567099647791355
PEOE_VSA2,10.203820789863343
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,29.828919765543436
PEOE_VSA7,32.60702369139466
PEOE_VSA8,16.134526680246758
PEOE_VSA9,6.544756405912575
RingCount,3
SMR_VSA10,17.120030824299675
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,286.113984196
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,10.584647599827013
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.801402653462074
SlogP_VSA2,10.350344594156294
SlogP_VSA3,19.386399651764595
SlogP_VSA4,12.333020805482146
SlogP_VSA5,39.3341586018676
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.783244946364939
EState_VSA3,11.34615905937465
EState_VSA4,23.968546229246012
EState_VSA5,34.74950431233652
EState_VSA6,0.0
EState_VSA7,35.75630512132842
EState_VSA8,0.0
EState_VSA9,5.409283605791522
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.90411753590325
VSA_EState9,39.89537294238682
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,1
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.375
VSA_EState10,1.5338428550432517
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.6800000000000002
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,20
HeavyAtomMolWt,268.25600000000003
MaxEStateIndex,12.36181996409675
MinEStateIndex,0.09229024943310682
NumHeteroatoms,4
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.25
FpDensityMorgan2,1.95
FpDensityMorgan3,2.7
MaxPartialCharge,0.18225034804979146
MinPartialCharge,-0.31317932058865994
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.36181996409675
MinAbsEStateIndex,0.09229024943310682
NumAliphaticRings,1
NumRotatableBonds,3
NumSaturatedRings,0
