DLiP-ID,C000HX
DLiP-Mol-ID,30849
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13FN2O3/c16-12-4-2-5-13(10-12)17-8-7-15(19)11-3-1-6-14(9-11)18(20)21/h1-6,9-10,17H,7-8H2"
Standard Inchi Key(RDKit),ZNWIIHBNDHFYOY-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CCNc1cccc(F)c1)c1cccc([N+](=O)[O-])c1
SMILES(SDF),
MW(SDF),
MW(RDKit),288.278
MW Monoisotopic(RDKit),288.091020496
MolLogP(RDKit),3.4188
XLogP(SDF),
XLogP(CDK),3.669
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.501955913139406
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,53947.150374421755
qed,0.5019559131394061
Chi0,15.242276208189782
Chi1,10.0585506480638
TPSA,72.24
Chi0n,11.082938655790878
Chi0v,11.082938655790878
Chi1n,6.33170274243502
Chi1v,6.33170274243502
Chi2n,4.41773851215237
Chi2v,4.41773851215237
Chi3n,2.88475180325304
Chi3v,2.88475180325304
Chi4n,1.8560660498368684
Chi4v,1.8560660498368684
MolMR,76.93360000000003
MolWt,288.278
fr_SH,0
Kappa1,14.644994791689179
Kappa2,6.603613548483045
Kappa3,4.102845329455489
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
