DLiP-ID,C000HY
DLiP-Mol-ID,30851
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N4O/c1-22-10-12-23(13-11-22)19-14-6-2-4-8-16(14)20-18(21-19)15-7-3-5-9-17(15)24/h2-9,24H,10-13H2,1H3"
Standard Inchi Key(RDKit),AAHWTMBAENYAAT-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1CCN(c2nc(-c3ccccc3O)nc3ccccc23)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),320.396
MW Monoisotopic(RDKit),320.16371126
MolLogP(RDKit),2.7542
XLogP(SDF),
XLogP(CDK),3.407
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),52.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.78670792243119
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,493014.94651514245
qed,0.7867079224311899
Chi0,16.518297090128677
Chi1,11.720346690612278
TPSA,52.49
Chi0n,13.68329725576299
Chi0v,13.68329725576299
Chi1n,8.208465984446436
Chi1v,8.208465984446436
Chi2n,6.195442594668071
Chi2v,6.195442594668071
Chi3n,4.530874050107852
Chi3v,4.530874050107852
Chi4n,3.102336337990106
Chi4v,3.102336337990106
MolMR,96.34880000000005
MolWt,320.39600000000013
fr_SH,0
Kappa1,14.902363909258659
Kappa2,6.091591860971229
Kappa3,2.672125442135335
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,872.1247159601245
MolLogP,2.754200000000001
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8678189547501818
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,38.126607337177965
SMR_VSA7,48.53093654769288
SMR_VSA8,0.0
SMR_VSA9,17.137367822980828
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
