DLiP-ID,C000JA
DLiP-Mol-ID,30909
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1"
Standard Inchi Key(RDKit),CQOVPNPJLQNMDC-ZETCQYMHSA-N
Canonical SMILES(RDKit),NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),226.236
MW Monoisotopic(RDKit),226.106590308
MolLogP(RDKit),-1.1296
XLogP(SDF),
XLogP(CDK),-4.099
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),121.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.488769316644983
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4451.867538427565
qed,0.488769316644983
Chi0,11.966255326250886
Chi1,7.6302289553358005
TPSA,121.10000000000001
Chi0n,8.64164519224579
Chi0v,8.64164519224579
Chi1n,4.82655676820169
Chi1v,4.82655676820169
Chi2n,3.2779827714548246
Chi2v,3.2779827714548246
Chi3n,1.9836043379654649
Chi3v,1.9836043379654649
Chi4n,1.2139018626056208
Chi4v,1.2139018626056208
MolMR,55.52960000000001
MolWt,226.23600000000002
fr_SH,0
Kappa1,12.180871722182847
Kappa2,5.862111536316656
Kappa3,3.696137506765994
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,349.64588802313415
MolLogP,-1.1295999999999988
NOCount,7
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,2.544729271478486
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,15.284745645900749
SMR_VSA4,5.733667477162185
SMR_VSA5,18.88348407499998
SMR_VSA6,6.544756405912575
SMR_VSA7,18.21809164122608
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,92.05689504074172
NHOHCount,5
