DLiP-ID,C000K2
DLiP-Mol-ID,30937
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3/t12-/m0/s1"
Standard Inchi Key(RDKit),ZBMZVLHSJCTVON-LBPRGKRZSA-N
Canonical SMILES(RDKit),CC(C)NC[C@H](O)c1ccc(NS(C)(=O)=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),272.37
MW Monoisotopic(RDKit),272.1194635
MolLogP(RDKit),1.0895
XLogP(SDF),
XLogP(CDK),1.051
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),78.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.724121852755728
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6210.359058416881
qed,0.7241218527557277
Chi0,13.759148545064338
Chi1,8.276675564742526
TPSA,78.43
Chi0n,10.843166863215853
Chi0v,11.659663444143577
Chi1n,5.769124352448222
Chi1v,7.660535890506478
Chi2n,4.574982672303702
Chi2v,6.323437871487451
Chi3n,2.318152183760633
Chi3v,2.924645256054747
Chi4n,1.452569779277898
Chi4v,2.016804892891243
MolMR,73.00700000000005
MolWt,272.37
fr_SH,0
Kappa1,14.94920663114269
Kappa2,6.1727827627007485
Kappa3,5.482865645542789
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,468.6008195677134
MolLogP,1.0895000000000001
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.6455784946755836
SMR_VSA1,13.524324379169643
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,25.993281616277514
SMR_VSA6,17.522620453876065
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,108.2757898177038
NHOHCount,3
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.722094864452088
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.980208536304467
PEOE_VSA7,17.696185628620217
PEOE_VSA8,18.2739835097441
PEOE_VSA9,12.359735571259707
RingCount,1
SMR_VSA10,15.710677428091145
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,272.1194635
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.038883468458419
SlogP_VSA2,32.36669079774158
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,25.514892278826544
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,16.127257541155885
EState_VSA2,0.0
EState_VSA3,18.2739835097441
EState_VSA4,11.819220675208399
EState_VSA5,0.0
EState_VSA6,24.26546827384644
EState_VSA7,13.847474399381248
EState_VSA8,10.038883468458419
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,22.05281703605838
VSA_EState9,28.620431693159865
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.524324379169643
EState_VSA11,0.0
FractionCSP3,0.5
VSA_EState10,-3.2565820625515784
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.11
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,18
HeavyAtomMolWt,252.20999999999998
MaxEStateIndex,11.02640851802919
MinEStateIndex,-3.2565820625515784
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,1
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2222222222222223
FpDensityMorgan2,1.7777777777777777
FpDensityMorgan3,2.2222222222222223
MaxPartialCharge,0.229318851585102
