DLiP-ID,C000LD
DLiP-Mol-ID,30991
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20N2O5/c25-19(23-15-6-4-5-14(11-15)22(28)29)13-9-10-17-18(12-13)21(27)24(20(17)26)16-7-2-1-3-8-16/h4-6,9-12,16H,1-3,7-8H2,(H,23,25)(H,28,29)"
Standard Inchi Key(RDKit),FXDLPTVXBDPKOE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cccc(NC(=O)c2ccc3c(c2)C(=O)N(C2CCCCC2)C3=O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),392.411
MW Monoisotopic(RDKit),392.13722174
MolLogP(RDKit),3.5658
XLogP(SDF),
XLogP(CDK),3.548
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),103.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.774441395515838
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4808470.494754187
qed,0.7744413955158386
Chi0,20.543241116511002
Chi1,13.952397498181154
TPSA,103.78
Chi0n,15.681756412305116
Chi0v,15.681756412305116
Chi1n,9.621413521611055
Chi1v,9.621413521611055
Chi2n,7.372585638279322
Chi2v,7.372585638279322
Chi3n,5.487407000283173
Chi3v,5.487407000283173
Chi4n,4.004818426163279
Chi4v,4.004818426163279
MolMR,105.16950000000006
MolWt,392.41100000000023
fr_SH,0
Kappa1,18.863512291268744
Kappa2,7.502544653879883
Kappa3,3.5101962112671976
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1023.6127343217971
MolLogP,3.565800000000002
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5616518714795988
SMR_VSA1,24.28467613112799
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,38.14594894377801
SMR_VSA6,5.316788604006331
SMR_VSA7,64.71837544601925
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,166.87627416865112
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,19.283521283065944
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.328831937239638
PEOE_VSA7,49.239845656621675
PEOE_VSA8,17.292678595528518
PEOE_VSA9,16.690354475090988
RingCount,4
SMR_VSA10,29.378230750689927
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,392.13722174
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,17.721539188054518
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,39.739122430845505
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,73.53606281770534
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.876485017303356
EState_VSA2,34.54655476294196
EState_VSA3,11.250837766380558
EState_VSA4,32.10410811463005
EState_VSA5,41.29811214162014
EState_VSA6,6.06636706846161
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,5.106527394840706
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
