DLiP-ID,C000LP
DLiP-Mol-ID,31009
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20N2O7/c1-11(2)5-6-24-19(26)16-4-3-12(10-17(16)20(24)27)18(25)23-15-8-13(21(28)29)7-14(9-15)22(30)31/h3-4,7-11H,5-6H2,1-2H3,(H,23,25)(H,28,29)(H,30,31)"
Standard Inchi Key(RDKit),WEHRMOWTHNLCTD-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)CCN1C(=O)c2ccc(C(=O)Nc3cc(C(=O)O)cc(C(=O)O)c3)cc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),424.409
MW Monoisotopic(RDKit),424.12705098
MolLogP(RDKit),2.9774
XLogP(SDF),
XLogP(CDK),3.193
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),141.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.58026176421318
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6062883.566707874
qed,0.5802617642131795
Chi0,22.869514530144066
Chi1,14.578295155867385
TPSA,141.08
Chi0n,16.838547685519668
Chi0v,16.838547685519668
Chi1n,9.51430919130099
Chi1v,9.51430919130099
Chi2n,7.568295426978339
Chi2v,7.568295426978339
Chi3n,4.847716494293899
Chi3v,4.847716494293899
Chi4n,3.1723119114816183
Chi4v,3.1723119114816183
MolMR,109.57780000000005
MolWt,424.40900000000016
fr_SH,0
Kappa1,21.692969859954566
Kappa2,8.387467836750806
Kappa3,4.44795677290752
fr_ArN,0
fr_COO,2
fr_C_O,5
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1088.5876566170914
MolLogP,2.9774000000000003
NOCount,9
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,1.857879787688841
SMR_VSA1,34.18574071004052
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.917906046161393
SMR_VSA5,20.268296022307258
SMR_VSA6,11.861545009918906
SMR_VSA7,64.21545986925464
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.8378611744201
NHOHCount,3
PEOE_VSA1,15.529843393687743
PEOE_VSA2,19.28352128306594
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,13.847474399381248
PEOE_VSA7,48.73693007985706
PEOE_VSA8,17.795594172293132
PEOE_VSA9,22.253805966787983
RingCount,3
SMR_VSA10,35.34753603864178
fr_Al_COO,0
fr_Ar_COO,2
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,424.1270509799999
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,17.721539188054518
PEOE_VSA14,11.938610575903699
SlogP_VSA1,5.316788604006331
SlogP_VSA2,51.31787069040267
SlogP_VSA3,0.0
SlogP_VSA4,5.917906046161393
SlogP_VSA5,72.05823940115135
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,29.660149763958216
EState_VSA2,40.049400139081115
EState_VSA3,12.338727669087403
EState_VSA4,23.099010936235306
EState_VSA5,18.19910120538483
EState_VSA6,0.0
EState_VSA7,13.847474399381248
EState_VSA8,5.316788604006331
EState_VSA9,10.213054789681411
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
