DLiP-ID,C000MB
DLiP-Mol-ID,31042
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C5H10N2/c6-5-3-1-2-4-7-5/h1-4H2,(H2,6,7)"
Standard Inchi Key(RDKit),DHGUMNJVFYRSIG-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C1CCCCN1
SMILES(SDF),
MW(SDF),
MW(RDKit),98.149
MW Monoisotopic(RDKit),98.08439832
MolLogP(RDKit),0.73717
XLogP(SDF),
XLogP(CDK),0.714
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),35.88
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),7
QED Weighted(RDKit),0.460216302745351
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,47.19725257297226
qed,0.4602163027453514
Chi0,5.112884175122364
Chi1,3.393846850117352
TPSA,35.88
Chi0n,4.32842712474619
Chi0v,4.32842712474619
Chi1n,2.707106781186547
Chi1v,2.707106781186547
Chi2n,1.862436867076458
Chi2v,1.862436867076458
Chi3n,1.1919417382415918
Chi3v,1.1919417382415918
Chi4n,0.754441738241592
Chi4v,0.754441738241592
MolMR,29.58039999999999
MolWt,98.149
fr_SH,0
Kappa1,4.624559505409582
Kappa2,1.958669537588103
Kappa3,1.1803344211294082
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,70.14933958998697
MolLogP,0.7371699999999999
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2495440947344707
SMR_VSA1,0.0
SMR_VSA2,5.409283605791522
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,19.26246486877803
SMR_VSA6,6.544756405912575
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
