DLiP-ID,C000RB
DLiP-Mol-ID,31255
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)"
Standard Inchi Key(RDKit),CEUORZQYGODEFX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
SMILES(SDF),
MW(SDF),
MW(RDKit),448.394
MW Monoisotopic(RDKit),447.148032464
MolLogP(RDKit),4.8593
XLogP(SDF),
XLogP(CDK),4.611
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),44.81
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.614980150804052
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8073775.827172481
qed,0.6149801508040519
Chi0,20.924074484064487
Chi1,14.597356788324023
TPSA,44.81
Chi0n,17.00202214494933
Chi0v,18.51388003698624
Chi1n,10.568791114657495
Chi1v,11.32472006067595
Chi2n,7.824330846087763
Chi2v,8.609495445837593
Chi3n,5.758419358128084
Chi3v,6.567346235473263
Chi4n,4.017137067374732
Chi4v,4.43219956801867
MolMR,123.23670000000006
MolWt,448.39400000000006
fr_SH,0
Kappa1,21.288457529152762
Kappa2,9.90458795852269
Kappa3,5.203217187725054
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,898.0121087625582
MolLogP,4.859300000000005
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.1543969516664407
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,49.5473623289326
SMR_VSA7,52.006920529949305
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,187.44232758419403
NHOHCount,1
PEOE_VSA1,14.953561288656857
PEOE_VSA2,9.694446914922299
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,35.33461391738825
PEOE_VSA7,49.56977397177243
PEOE_VSA8,44.35360058972148
PEOE_VSA9,22.339534866679134
RingCount,4
