DLiP-ID,C000RY
DLiP-Mol-ID,31278
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H28N6O/c1-3-34-21-8-4-18(5-9-21)26-28-22-10-6-19(16-24(22)30-26)27-29-23-11-7-20(17-25(23)31-27)33-14-12-32(2)13-15-33/h4-11,16-17H,3,12-15H2,1-2H3,(H,28,30)(H,29,31)"
Standard Inchi Key(RDKit),PRDFBSVERLRRMY-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(-c2nc3cc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)ccc3[nH]2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),452.562
MW Monoisotopic(RDKit),452.232459516
MolLogP(RDKit),4.9237
XLogP(SDF),
XLogP(CDK),4.828
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),73.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.395858502657314
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,135539186.28883898
qed,0.3958585026573145
Chi0,23.070338854006454
Chi1,16.65733097863942
TPSA,73.07000000000001
Chi0n,19.506139270292696
Chi0v,19.506139270292696
Chi1n,11.827499657801587
Chi1v,11.827499657801587
Chi2n,8.851914824901238
Chi2v,8.851914824901238
Chi3n,6.530317724160741
Chi3v,6.530317724160741
Chi4n,4.557786293295638
Chi4v,4.557786293295638
MolMR,137.49639999999994
MolWt,452.5620000000002
fr_SH,0
Kappa1,20.7447709350138
Kappa2,8.499192291768603
Kappa3,3.88101023513702
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1443.587972775384
MolLogP,4.923700000000004
NOCount,7
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.2848412099289215
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,24.835823814639312
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,44.73348930169089
SMR_VSA7,60.6636706846161
SMR_VSA8,0.0
SMR_VSA9,28.52522381267775
fr_Al_OH,0
fr_Ar_NH,2
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.94851361617762
NHOHCount,2
PEOE_VSA1,24.50463945739542
PEOE_VSA2,0.0
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,74.63507986698392
PEOE_VSA8,42.993314881727855
PEOE_VSA9,28.673684834977962
RingCount,6
SMR_VSA10,27.754189145148608
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,452.23245951600006
NumHDonors,2
PEOE_VSA10,17.39832082928376
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,9.636772684650527
SlogP_VSA2,64.66940338547971
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,6.923737199690624
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,44.84251484985889
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,6.606881964512918
EState_VSA4,76.77105230679308
EState_VSA5,5.687386274683562
EState_VSA6,0.0
EState_VSA7,31.18920547353706
EState_VSA8,63.21365089704223
EState_VSA9,14.704819995694464
SlogP_VSA10,5.687386274683562
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,66.66666666666666
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.25925925925925924
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,2
fr_imidazole,2
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,1
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.8399999999999994
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,424.33800000000025
MaxEStateIndex,5.54570325519096
MinEStateIndex,0.6584496342436948
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.7647058823529411
FpDensityMorgan2,1.3823529411764706
FpDensityMorgan3,2.088235294117647
MaxPartialCharge,0.13806766629198702
MinPartialCharge,-0.49388933261002804
NumAromaticRings,5
fr_unbrch_alkane,0
MaxAbsEStateIndex,5.54570325519096
MinAbsEStateIndex,0.6584496342436948
NumAliphaticRings,1
NumRotatableBonds,5
NumSaturatedRings,1
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.49388933261002804
MinAbsPartialCharge,0.13806766629198702
NumRadicalElectrons,0
NumValenceElectrons,172
fr_para_hydroxylation,0
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,452.23245951600086
MZ,0.6451612903225805
Mi,1.125288236461929
Mm,0.6077251766525847
Mp,0.6872919065095615
Mv,0.6427124153824945
SZ,39.99999999999999
Si,69.7678706606396
Sm,37.67896095246025
Sp,42.612098203592815
Sv,39.84816975371466
nB,0
nC,27
nF,0
nH,28
nI,0
nN,6
nO,1
nP,0
nS,0
nX,0
ABC,27.484353693417116
AMW,7.294071927677433
IC0,1.4622983203811735
IC1,3.4510761587754124
IC2,4.4463907707842285
IC3,5.175734011895093
IC4,5.381458003865472
IC5,5.413716068381601
MID,71.4957833883537
Mpe,0.9622390891840606
Mse,0.9957944693748094
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,137.49639999999994
SdO,0
SdS,0
Spe,59.65882352941176
SsF,0
SsI,0
Sse,61.73925710123818
StN,0
fMF,0.4838709677419355
nBr,0
nCl,0
AMID,2.1028171584809914
BIC0,0.23264991952191585
BIC1,0.549062102727311
BIC2,0.7074154709528027
BIC3,0.8234531111410685
BIC4,0.8561835530136679
BIC5,0.8613157726223548
CIC0,4.491897990005701
CIC1,2.5031201516114625
CIC2,1.5078055396026464
CIC3,0.7784622984917817
CIC4,0.5727383065214031
CIC5,0.5404802420052741
GGI1,7.0
GGI2,4.000000000000002
GGI3,1.7083333333333333
GGI4,1.8811111111111112
GGI5,1.1324999999999998
GGI6,0.6876643990929705
GGI7,0.5556618480725624
GGI8,0.2917768959435626
GGI9,0.2303317901234568
JGI1,0.1794871794871795
JGI2,0.07142857142857145
JGI3,0.03106060606060606
JGI4,0.039189814814814816
JGI5,0.02516666666666667
JGI6,0.015628736343022056
JGI7,0.014247739694168263
JGI8,0.00810491377621007
JGI9,0.006774464415395789
MIC0,12.898694105265118
MIC1,30.876455131603766
MIC2,37.7750830392257
MIC3,40.41890662604455
MIC4,41.75546995833779
MIC5,42.20730866801521
MPC2,56
MPC3,77
MPC4,104
MPC5,138
MPC6,162
MPC7,198
MPC8,248
MPC9,291
Mare,0.9743225806451615
NaaN,2
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.1852958124790249
RPCG,0.06308744569058712
SIC0,0.24559121737895143
SIC1,0.5796040269540892
SIC2,0.7467659007190718
SIC3,0.8692582075042129
SIC4,0.9038093007578063
SIC5,0.9092270033048077
SaaN,9.739251929819243
SaaO,0
SaaS,0
Sare,60.408000000000015
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.54570325519096
SssS,0
StCH,0
StsC,0
TIC0,90.66249586363276
TIC1,213.96672184407558
TIC2,275.67622778862216
TIC3,320.8955087374958
TIC4,333.65039623965924
TIC5,335.65039623965924
Vabc,392.67904841808837
WPol,55
apol,71.16220399999999
bpol,36.665796000000014
nRot,5
ABCGG,18.239454738685836
ATS0Z,1358.0
ATS0d,218.0
ATS0i,10054.033533771475
ATS0m,5356.725354000002
ATS0p,95.65266533577197
ATS0s,165.77777777777777
ATS0v,13981.577007592408
ATS1Z,1682.0
ATS1d,278.0
ATS1i,9890.641915468008
ATS1m,6400.7582390000025
ATS1p,122.96047666000003
ATS1s,193.69444444444446
ATS1v,17997.577455669707
ATS2Z,2512.0
ATS2d,450.0
ATS2i,18256.623159480652
ATS2m,9404.588004000003
ATS2p,186.76733269533898
ATS2s,321.83333333333326
ATS2v,26856.89265038292
ATS3Z,2619.0
ATS3d,493.0
ATS3i,23460.09948175463
ATS3m,9492.401287000004
ATS3p,214.32110175728195
ATS3s,381.2222222222223
ATS3v,29583.346332529592
ATS4Z,2404.0
ATS4d,472.0
ATS4i,25342.125000199478
ATS4m,8501.832371999999
ATS4p,214.960909078074
ATS4s,378.4444444444444
ATS4v,28466.50397905002
ATS5Z,2188.0
ATS5d,449.0
ATS5i,25239.563613393657
ATS5m,7813.334016999998
ATS5p,199.784884473356
ATS5s,346.0555555555555
ATS5v,26121.362982907478
ATS6Z,2121.0
ATS6d,412.0
ATS6i,20768.298162123232
ATS6m,7667.00324
ATS6p,182.38399376122496
ATS6s,322.05555555555543
ATS6v,24427.248849496187
ATS7Z,1929.0
ATS7d,381.0
ATS7i,19103.278114353234
ATS7m,6894.893026999998
ATS7p,164.93106337328203
ATS7s,294.4166666666666
ATS7v,22184.742820040254
ATS8Z,1762.0
ATS8d,346.0
ATS8i,17598.10221847083
ATS8m,6351.924939999999
ATS8p,145.27609100182903
ATS8s,267.6111111111112
ATS8v,19675.55703313713
C1SP1,0
C1SP2,2
C1SP3,6
C2SP1,0
C2SP2,16
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.25925925925925924
GGI10,0.20018977655341294
JGI10,0.006672992551780431
JGT10,0.39776168523841504
Kier1,24.34319526627219
Kier2,10.775510204081632
Kier3,5.354022600775847
MID_C,56.788872116291046
MID_N,12.740822091662391
MID_O,1.9660891804002567
