DLiP-ID,C000SG
DLiP-Mol-ID,31296
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H15NO4/c21-17(11-10-14-6-2-1-3-7-14)24-13-12-20-18(22)15-8-4-5-9-16(15)19(20)23/h1-11H,12-13H2/b11-10+"
Standard Inchi Key(RDKit),XEDBYYXKMTYTDP-ZHACJKMWSA-N
Canonical SMILES(RDKit),O=C(/C=C/c1ccccc1)OCCN1C(=O)c2ccccc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),321.332
MW Monoisotopic(RDKit),321.10010796
MolLogP(RDKit),2.5392
XLogP(SDF),
XLogP(CDK),3.154
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),63.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.482180422469291
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,400219.1013139527
qed,0.48218042246929094
Chi0,16.940946820939054
Chi1,11.66470379794645
TPSA,63.68
Chi0n,12.845273280814393
Chi0v,12.845273280814393
Chi1n,7.517330551274879
Chi1v,7.517330551274879
Chi2n,5.219041115555964
Chi2v,5.219041115555964
Chi3n,3.6488388407205665
Chi3v,3.6488388407205665
Chi4n,2.4562706774861036
Chi4v,2.4562706774861036
MolMR,88.24400000000004
MolWt,321.33200000000005
fr_SH,0
Kappa1,15.676800346795364
Kappa2,6.913823661510971
Kappa3,3.247836089346707
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,776.1263175717689
MolLogP,2.539200000000001
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5225088543861656
SMR_VSA1,19.120474506015512
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,13.151638370425493
SMR_VSA7,77.36367819807937
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
