DLiP-ID,C000WM
DLiP-Mol-ID,31475
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10N4/c16-9-12(8-11-4-3-7-17-10-11)15-18-13-5-1-2-6-14(13)19-15/h1-8,10H,(H,18,19)/b12-8+"
Standard Inchi Key(RDKit),FFRPRCXHZNQCIA-XYOKQWHBSA-N
Canonical SMILES(RDKit),N#C/C(=C\c1cccnc1)c1nc2ccccc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),246.273
MW Monoisotopic(RDKit),246.09054632
MolLogP(RDKit),3.02208
XLogP(SDF),
XLogP(CDK),1.931
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),65.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.706646148723147
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,45730.181508308764
qed,0.7066461487231475
Chi0,13.079139501373252
Chi1,9.364504642955708
TPSA,65.36
Chi0n,10.037793209206509
Chi0v,10.037793209206509
Chi1n,5.835935646979804
Chi1v,5.835935646979804
Chi2n,4.058733954096146
Chi2v,4.058733954096146
Chi3n,2.760366029653687
Chi3v,2.760366029653687
Chi4n,1.8619584385153325
Chi4v,1.8619584385153325
MolMR,73.81470000000003
MolWt,246.27300000000002
fr_SH,0
Kappa1,11.177021240952834
Kappa2,4.746710873694064
Kappa3,2.217788669350701
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,745.5157186533137
MolLogP,3.0220800000000008
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.0784791710156307
SMR_VSA1,0.0
SMR_VSA2,5.261891554738487
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,60.17974554369273
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,109.61642123267782
NHOHCount,1
PEOE_VSA1,4.9839785209472085
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,5.261891554738487
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,29.838572803915707
PEOE_VSA8,12.393687143226153
PEOE_VSA9,16.606505965301793
