DLiP-ID,C000YW
DLiP-Mol-ID,31585
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C7H6ClN3S/c8-4-2-1-3-5-6(4)10-7(11-9)12-5/h1-3H,9H2,(H,10,11)"
Standard Inchi Key(RDKit),VATAQQYXLCOZEX-UHFFFAOYSA-N
Canonical SMILES(RDKit),NNc1nc2c(Cl)cccc2s1
SMILES(SDF),
MW(SDF),
MW(RDKit),199.666
MW Monoisotopic(RDKit),198.997095872
MolLogP(RDKit),2.2353
XLogP(SDF),
XLogP(CDK),1.307
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),50.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),12
QED Weighted(RDKit),0.547220291587295
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,934.5311920237042
qed,0.5472202915872951
Chi0,8.55204176387779
Chi1,5.808861750289881
TPSA,50.94
Chi0n,6.042827435731552
Chi0v,7.615252962677733
Chi1n,3.32713619291954
Chi1v,4.521597246856494
Chi2n,2.249934224788872
Chi2v,3.6877832334558436
Chi3n,1.4932222002562296
Chi3v,2.7500494221350804
Chi4n,0.9766698475109561
Chi4v,2.0525381557242772
MolMR,52.440100000000015
MolWt,199.66600000000003
fr_SH,0
Kappa1,7.790843144044321
Kappa2,2.895010133611532
Kappa3,1.1371000563773523
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,411.94373496885737
MolLogP,2.2352999999999996
NOCount,3
fr_Ar_N,1
