DLiP-ID,C0011F
DLiP-Mol-ID,31681
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18O4/c1-11(18)10-20-12-7-8-14-13-5-3-2-4-6-15(13)17(19)21-16(14)9-12/h7-9H,2-6,10H2,1H3"
Standard Inchi Key(RDKit),OHGBRZXQKVPTQC-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)COc1ccc2c3c(c(=O)oc2c1)CCCCC3
SMILES(SDF),
MW(SDF),
MW(RDKit),286.327
MW Monoisotopic(RDKit),286.120509056
MolLogP(RDKit),3.0297
XLogP(SDF),
XLogP(CDK),4.032
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),56.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.642577325852398
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,78794.24242550433
qed,0.6425773258523981
Chi0,14.819626477379408
Chi1,10.147867045540842
TPSA,56.510000000000005
Chi0n,12.107684656543617
Chi0v,12.107684656543617
Chi1n,7.357989904246877
Chi1v,7.357989904246877
Chi2n,5.55594247426389
Chi2v,5.55594247426389
Chi3n,3.887180208987045
Chi3v,3.887180208987045
Chi4n,2.877227348525506
Chi4v,2.877227348525506
MolMR,79.91900000000003
