DLiP-ID,C0013K
DLiP-Mol-ID,31782
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H10N2O5/c1-19-9-5-6(2-3-8(9)15)4-7-10(16)13-12(18)14-11(7)17/h2-5,15H,1H3,(H2,13,14,16,17,18)"
Standard Inchi Key(RDKit),HOHGWOUABYDGBN-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C=C2C(=O)NC(=O)NC2=O)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),262.221
MW Monoisotopic(RDKit),262.05897142
MolLogP(RDKit),0.1502
XLogP(SDF),
XLogP(CDK),-0.0670000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.519508901652581
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,17314.298583420194
qed,0.5195089016525812
Chi0,13.991199352633217
Chi1,9.007239053047547
TPSA,104.73
Chi0n,9.889607834113914
Chi0v,9.889607834113914
Chi1n,5.263735810043779
Chi1v,5.263735810043779
Chi2n,3.7266713646077925
Chi2v,3.7266713646077925
Chi3n,2.4581578905094092
Chi3v,2.4581578905094092
Chi4n,1.5570182635984577
Chi4v,1.5570182635984577
MolMR,64.31720000000001
MolWt,262.221
fr_SH,0
Kappa1,12.622360834425285
Kappa2,4.807937906226536
Kappa3,2.542465151280466
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,584.1373479506202
MolLogP,0.15019999999999983
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.3730743554069167
SMR_VSA1,24.227001900856216
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,29.335657227151092
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,2
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,107.41769126921342
NHOHCount,3
PEOE_VSA1,9.843390348640755
PEOE_VSA2,20.222651576156306
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,23.772205735454097
PEOE_VSA8,0.0
PEOE_VSA9,7.109797541277533
RingCount,2
SMR_VSA10,23.921494077874964
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,262.05897142000003
NumHDonors,3
PEOE_VSA10,5.573104530069267
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
PEOE_VSA13,11.814359458703011
PEOE_VSA14,6.031114512338072
SlogP_VSA1,15.37044016181271
SlogP_VSA2,30.06179890715932
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,23.772205735454097
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.845473971041084
EState_VSA2,17.072128196637077
EState_VSA3,5.563451491696996
EState_VSA4,0.0
EState_VSA5,31.38491885349624
EState_VSA6,0.0
EState_VSA7,10.633577208012662
EState_VSA8,0.0
EState_VSA9,4.736862953800049
SlogP_VSA10,4.794537184071822
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,57.16666666666666
fr_aldehyde,0
fr_barbitur,1
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.490138947056174
EState_VSA11,0.0
FractionCSP3,0.08333333333333333
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.83
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,252.14099999999993
MaxEStateIndex,11.499182964852608
MinEStateIndex,-0.8514475203661711
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1578947368421053
FpDensityMorgan2,1.7894736842105263
FpDensityMorgan3,2.3684210526315788
MaxPartialCharge,0.32813506317783553
MinPartialCharge,-0.5042543435515784
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.499182964852608
MinAbsEStateIndex,0.05798611111111085
NumAliphaticRings,1
NumRotatableBonds,2
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5042543435515784
MinAbsPartialCharge,0.32813506317783553
NumRadicalElectrons,0
NumValenceElectrons,98
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,262.0589714200002
MZ,0.7816091954022989
Mi,1.127753624497663
Mm,0.7528185370307102
Mp,0.6797012182531491
Mv,0.682726264590074
SZ,22.666666666666668
Si,32.70485511043223
Sm,21.831737573890596
Sp,19.711335329341324
Sv,19.799061673112146
nB,0
nC,12
nF,0
nH,10
nI,0
nN,2
nO,5
nP,0
nS,0
nX,0
ABC,14.458374479136024
AMW,9.036516255862075
IC0,1.7597578423012168
IC1,3.6335059949783677
IC2,4.142295219190901
IC3,4.418157288156417
IC4,4.418157288156417
