DLiP-ID,C0015H
DLiP-Mol-ID,31856
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N3OS2/c1-3-11-24-19-20-17-16(14-9-10-21(2)12-15(14)25-17)18(23)22(19)13-7-5-4-6-8-13/h3-8H,1,9-12H2,2H3"
Standard Inchi Key(RDKit),ANAONYNKXGIQFR-UHFFFAOYSA-N
Canonical SMILES(RDKit),C=CCSc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCN(C)C3
SMILES(SDF),
MW(SDF),
MW(RDKit),369.515
MW Monoisotopic(RDKit),369.096954228
MolLogP(RDKit),3.7132
XLogP(SDF),
XLogP(CDK),3.226
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.3991388563462
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,838931.5618567427
qed,0.3991388563462004
Chi0,17.388540578131753
Chi1,12.185871848001627
TPSA,38.13
Chi0n,14.06602117896196
Chi0v,15.699014340817412
Chi1n,8.237161796443301
Chi1v,10.039256937024513
Chi2n,6.1418962466089555
Chi2v,8.212674842332872
Chi3n,4.379261009463639
Chi3v,6.424349233408842
Chi4n,3.186687323460065
Chi4v,5.274987961321622
MolMR,106.17600000000002
MolWt,369.51500000000016
fr_SH,0
Kappa1,16.571571194901928
Kappa2,6.784023000028711
Kappa3,2.9440966406870523
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,991.312119124583
MolLogP,3.7132000000000023
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9911943101150034
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,0.0
SMR_VSA5,18.12201451065929
SMR_VSA6,19.345281995336553
SMR_VSA7,63.78119389726255
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,154.36341898687124
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,9.361636831863176
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,17.915721561533235
PEOE_VSA6,36.037006261609825
PEOE_VSA7,31.164679234223417
PEOE_VSA8,23.71951361227324
PEOE_VSA9,11.073610489148358
RingCount,4
SMR_VSA10,33.31529146141121
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,369.0969542280001
NumHDonors,0
PEOE_VSA10,4.830396419620566
PEOE_VSA11,5.156436481820707
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052007
PEOE_VSA14,0.0
SlogP_VSA1,5.559266895052007
SlogP_VSA2,33.796269894925594
SlogP_VSA3,12.965578028838586
SlogP_VSA4,0.0
SlogP_VSA5,10.440598685398296
SlogP_VSA6,52.937764798632955
SlogP_VSA7,0.0
SlogP_VSA8,15.904006908768924
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.559266895052007
EState_VSA3,0.0
EState_VSA4,46.32363143208757
EState_VSA5,10.440598685398296
EState_VSA6,27.66577047511721
EState_VSA7,36.407855449141934
EState_VSA8,18.526517397126167
EState_VSA9,4.9839785209472085
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,23.098670827325854
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.7518055555555554
VSA_EState9,47.370226337448564
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,3
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.2631578947368421
VSA_EState10,3.2113014403292177
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,1
HallKierAlpha,-1.8899999999999997
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,25
HeavyAtomMolWt,350.3630000000001
MaxEStateIndex,13.404340041572183
MinEStateIndex,0.04612528344671207
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.36
FpDensityMorgan2,2.16
FpDensityMorgan3,2.92
MaxPartialCharge,0.26730751784363316
MinPartialCharge,-0.30095411246327486
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.404340041572183
MinAbsEStateIndex,0.04612528344671207
NumAliphaticRings,1
NumRotatableBonds,4
NumSaturatedRings,0
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.30095411246327486
MinAbsPartialCharge,0.26730751784363316
NumRadicalElectrons,0
NumValenceElectrons,128
fr_para_hydroxylation,1
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,369.0969542280006
MZ,0.7348484848484848
Mi,1.1106124392778167
Mm,0.6991715927066854
Mp,0.7389911132280893
Mv,0.670685532816461
SZ,32.33333333333333
Si,48.86694732822394
Sm,30.76355007909416
Sp,32.51560898203593
Sv,29.510163443924284
nB,0
nC,19
nF,0
nH,19
nI,0
nN,3
nO,1
nP,0
nS,2
nX,0
ABC,19.73468867106652
AMW,8.388567141545467
IC0,1.6372467774323036
IC1,3.785263703195319
IC2,4.752172175938119
IC3,5.01602764126623
IC4,5.124093266315398
IC5,5.124093266315398
MID,51.83109952646407
Mpe,0.9622994652406416
Mse,0.997914321657949
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,106.17600000000002
SdO,13.404340041572183
SdS,0
Spe,42.34117647058823
SsF,0
SsI,0
Sse,43.908230152949756
StN,0
fMF,0.4318181818181818
nBr,0
nCl,0
AMID,2.073243981058563
BIC0,0.2831940682746656
BIC1,0.6547358909946804
BIC2,0.8219817502137249
BIC3,0.8676207483737699
BIC4,0.8863128260862785
BIC5,0.8863128260862785
CIC0,3.8221848412049937
CIC1,1.6741679154419784
CIC2,0.7072594426991783
CIC3,0.4434039773710676
CIC4,0.3353383523218989
CIC5,0.3353383523218989
GGI1,4.0
GGI2,2.4444444444444455
GGI3,2.604166666666667
GGI4,1.7150000000000003
GGI5,1.146388888888889
GGI6,0.7168253968253969
GGI7,0.3221371882086168
GGI8,0.20586104812295286
GGI9,0.12281635802469137
JGI1,0.14285714285714285
JGI2,0.061111111111111144
JGI3,0.060562015503875966
JGI4,0.03988372093023256
JGI5,0.028659722222222222
JGI6,0.019911816578483243
JGI7,0.010737906273620559
JGI8,0.010293052406147644
JGI9,0.010234696502057614
MIC0,18.99624017420542
MIC1,41.257916023519314
MIC2,43.946715376633236
MIC3,45.40172775809998
MIC4,45.51065790814955
MIC5,45.51065790814955
MPC2,40
MPC3,57
MPC4,83
MPC5,111
MPC6,133
MPC7,165
MPC8,196
MPC9,205
Mare,0.9717272727272731
NaaN,1
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,1
NtCH,0
NtsC,0
RNCG,0.17473343336522582
RPCG,0.15519827914913126
SIC0,0.29989326578303566
SIC1,0.6933439170248533
SIC2,0.8704518176791975
SIC3,0.9187820256128157
SIC4,0.9385763252025856
SIC5,0.9385763252025856
SaaN,4.858084845049131
SaaO,0
SaaS,1.6638841385319558
