DLiP-ID,C001AA
DLiP-Mol-ID,32071
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H10BrNO2S/c15-12-5-7-13(8-6-12)19(17,18)16-10-9-11-3-1-2-4-14(11)16/h1-10H"
Standard Inchi Key(RDKit),ZJXVKDOITQFQHU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(c1ccc(Br)cc1)n1ccc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),336.21
MW Monoisotopic(RDKit),334.96156166
MolLogP(RDKit),3.6408
XLogP(SDF),
XLogP(CDK),4.324
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),39.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.716681281388704
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,33465.20416587463
qed,0.7166812813887045
Chi0,13.457819157813608
Chi1,9.087353528756823
TPSA,39.07
Chi0n,9.823425631797035
Chi0v,12.225918751839465
Chi1n,5.661545530565766
Chi1v,7.894607128923757
Chi2n,4.129335873856914
Chi2v,6.859941299608898
Chi3n,2.9341229399346807
Chi3v,5.166985282154209
Chi4n,1.9871902265145465
Chi4v,3.6049837819974697
MolMR,78.66380000000004
MolWt,336.21000000000004
fr_SH,0
Kappa1,12.444139256442169
Kappa2,4.505300978174298
Kappa3,2.08669435796082
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,835.2682849173008
MolLogP,3.6408000000000014
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.2228127668890845
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,3.972405908237111
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,0.0
SMR_VSA7,65.26686670359999
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,119.21761726296229
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,12.390202892566048
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,34.12904510333418
PEOE_VSA7,36.39820241076966
PEOE_VSA8,16.055787301910286
PEOE_VSA9,10.412184193134037
RingCount,3
SMR_VSA10,36.85615998343799
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,334.96156166
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,12.390202892566048
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,70.16235017911775
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,4.895483475517775
EState_VSA3,5.516700717616262
EState_VSA4,9.85894373029721
EState_VSA5,3.972405908237111
EState_VSA6,42.595045982382736
EState_VSA7,18.19910120538483
EState_VSA8,15.929943897949348
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,15.929943897949348
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,27.297535798269926
VSA_EState9,19.279885652850574
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,-3.5431712962962947
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.5899999999999999
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,326.1300000000001
MaxEStateIndex,12.567849584278155
MinEStateIndex,-3.5431712962962947
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.8947368421052632
FpDensityMorgan2,1.5789473684210527
FpDensityMorgan3,2.3157894736842106
MaxPartialCharge,0.2676521449518841
MinPartialCharge,-0.24115750006455255
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.567849584278155
MinAbsEStateIndex,0.27504913076341686
NumAliphaticRings,0
NumRotatableBonds,2
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.2676521449518841
MinAbsPartialCharge,0.24115750006455255
NumRadicalElectrons,0
NumValenceElectrons,96
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,334.96156166000026
MZ,0.9655172413793105
Mi,1.0950055535361187
Mm,0.9652157935685391
Mp,0.7991313235597772
Mv,0.7369829235595919
SZ,28.000000000000004
Si,31.755161052547443
Sm,27.991258013487634
Sp,23.17480838323354
Sv,21.372504783228166
nB,0
nC,14
nF,0
nH,10
nI,0
nN,1
nO,2
nP,0
nS,1
nX,1
ABC,15.07237010717741
AMW,11.550398677931044
IC0,1.8054896207248108
IC1,2.659753203339488
IC2,3.7362801326109922
IC3,4.720049960644813
IC4,4.789015477886192
IC5,4.789015477886192
MID,38.79292671340542
Mpe,0.9893171061528061
Mse,1.0176808900720797
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,78.66380000000004
SdO,25.13569916855631
SdS,0
Spe,28.690196078431377
SsF,0
SsI,0
