DLiP-ID,C001BA
DLiP-Mol-ID,32117
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H15N3O5/c27-22-19-6-1-2-7-20(19)24-21(13-8-15-4-3-5-18(14-15)26(30)31)25(22)17-11-9-16(10-12-17)23(28)29/h1-14H,(H,28,29)/b13-8+"
Standard Inchi Key(RDKit),QSLPWAOQMDEDBC-MDWZMJQESA-N
Canonical SMILES(RDKit),O=C(O)c1ccc(-n2c(/C=C/c3cccc([N+](=O)[O-])c3)nc3ccccc3c2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),413.389
MW Monoisotopic(RDKit),413.10117058
MolLogP(RDKit),4.1625
XLogP(SDF),
XLogP(CDK),4.971
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),115.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.387929749558192
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,11311822.394121109
qed,0.38792974955819176
Chi0,21.957454678884094
Chi1,14.935560745775549
TPSA,115.32999999999998
Chi0n,16.00475131251005
Chi0v,16.00475131251005
Chi1n,9.21941252818825
Chi1v,9.21941252818825
Chi2n,6.665170362032757
Chi2v,6.665170362032757
Chi3n,4.679987297569749
Chi3v,4.679987297569749
Chi4n,3.177080067822258
Chi4v,3.177080067822258
MolMR,116.32370000000002
MolWt,413.3890000000002
fr_SH,0
Kappa1,19.71458694573698
Kappa2,8.034533246983527
Kappa3,3.945375902654507
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1405.1657278578039
MolLogP,4.162500000000003
NOCount,8
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.8819529453548438
SMR_VSA1,14.824375627730198
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,110.21583465082267
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,175.05200049763747
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,19.47595510062875
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.34148838068032
PEOE_VSA7,48.03767400930054
PEOE_VSA8,12.13273413692322
PEOE_VSA9,27.077073747279286
RingCount,4
