DLiP-ID,C001BL
DLiP-Mol-ID,32128
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H14N2O/c16-13-10-6-3-4-7-11(10)14-12-8-2-1-5-9-15(12)13/h3-4,6-7H,1-2,5,8-9H2"
Standard Inchi Key(RDKit),HTLIIBRHXAULMB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1c2ccccc2nc2n1CCCCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),214.268
MW Monoisotopic(RDKit),214.110613068
MolLogP(RDKit),2.1229
XLogP(SDF),
XLogP(CDK),2.776
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),34.89
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.672959730762553
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8648.515933089659
qed,0.6729597307625524
Chi0,10.957819157813608
Chi1,7.860173345306136
TPSA,34.89
Chi0n,9.147610464155022
Chi0v,9.147610464155022
Chi1n,5.845682762031586
Chi1v,5.845682762031586
Chi2n,4.312630922155811
Chi2v,4.312630922155811
Chi3n,3.222793827747069
Chi3v,3.222793827747069
Chi4n,2.3652614882521656
Chi4v,2.3652614882521656
MolMR,63.55800000000003
MolWt,214.26799999999992
fr_SH,0
Kappa1,9.57636647317986
Kappa2,3.7402249483955714
Kappa3,1.433253627313976
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,585.9925548664305
MolLogP,2.1228999999999996
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.339475536309246
SMR_VSA1,0.0
SMR_VSA2,0.0
