DLiP-ID,C001CZ
DLiP-Mol-ID,32178
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H8ClNO4S2/c12-7-1-3-8(4-2-7)13-19(16,17)9-5-6-18-10(9)11(14)15/h1-6,13H,(H,14,15)"
Standard Inchi Key(RDKit),YRWKEEDITQJPCZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1sccc1S(=O)(=O)Nc1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),317.775
MW Monoisotopic(RDKit),316.958327416
MolLogP(RDKit),2.9005
XLogP(SDF),
XLogP(CDK),1.969
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.47
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.907832383244327
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,20366.032816312294
qed,0.9078323832443274
Chi0,14.043605595440512
Chi1,8.898684032670673
TPSA,83.47
Chi0n,9.330521135966256
Chi0v,11.719443243840164
Chi1n,4.991496881885233
Chi1v,7.7322774137437476
Chi2n,3.5315199252439706
Chi2v,6.534895909797178
Chi3n,2.209295759263196
Chi3v,4.916550546748393
Chi4n,1.3930975371480707
Chi4v,3.8388233014225763
MolMR,73.53880000000002
MolWt,317.775
fr_SH,0
Kappa1,13.852298565439053
Kappa2,5.198975853293884
Kappa3,3.061240655464394
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,706.551345508637
MolLogP,2.900500000000001
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.3496559217812747
SMR_VSA1,18.318861563241466
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,4.722094864452088
SMR_VSA7,45.61167862021659
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
