DLiP-ID,C001J0
DLiP-Mol-ID,32452
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H28N2O.C7H6O2/c1-5-23(6-2,15-19-13-8-7-9-14-19)16-20(24)22-21-17(3)11-10-12-18(21)4;8-7(9)6-4-2-1-3-5-6/h7-14H,5-6,15-16H2,1-4H3;1-5H,(H,8,9)"
Standard Inchi Key(RDKit),VWTINHYPRWEBQY-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1.O=C([O-])c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),446.591
MW Monoisotopic(RDKit),446.256942948
MolLogP(RDKit),4.34884
XLogP(SDF),
XLogP(CDK),4.774
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),69.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.523234913669798
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,16209598.33853105
qed,0.5232349136697982
Chi0,24.26937394568523
Chi1,15.797661375332952
TPSA,69.23
Chi0n,20.005939091102878
Chi0v,20.005939091102878
Chi1n,11.313987984225003
Chi1v,11.313987984225003
Chi2n,8.24439068861124
Chi2v,8.24439068861124
Chi3n,5.936502628628505
Chi3v,5.936502628628505
Chi4n,3.7668868035673473
Chi4v,3.7668868035673473
MolMR,131.6736
MolWt,446.5910000000001
fr_SH,0
Kappa1,25.817497053260606
Kappa2,12.559303394746374
Kappa3,7.881342733536292
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1009.2728455685751
MolLogP,4.348840000000004
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,3.5731477943970845e-07
SMR_VSA1,19.178632620678975
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,34.23970520467507
SMR_VSA6,24.951057821744055
SMR_VSA7,101.11657785678895
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,196.83778912181054
NHOHCount,1
PEOE_VSA1,19.70088404061348
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,78.86277189000094
PEOE_VSA7,44.38530327385348
PEOE_VSA8,11.250837766380558
PEOE_VSA9,19.058818099777
RingCount,3
SMR_VSA10,17.563871291986917
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,446.25694294799996
NumHDonors,1
PEOE_VSA10,6.544756405912575
PEOE_VSA11,6.544756405912575
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,10.423315998847038
SlogP_VSA2,35.993785092735706
SlogP_VSA3,11.339293589984397
SlogP_VSA4,13.847474399381248
SlogP_VSA5,40.89581755024105
SlogP_VSA6,78.86277189000094
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,11.470631221048501
EState_VSA3,6.544756405912575
EState_VSA4,40.9315893335099
EState_VSA5,17.696185628620217
EState_VSA6,18.19910120538483
EState_VSA7,38.112942673227685
EState_VSA8,43.42973127723402
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.7646582105064247
VSA_EState9,75.90200845616025
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.69560176298435
EState_VSA11,0.0
FractionCSP3,0.2857142857142857
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.439999999999999
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,33
HeavyAtomMolWt,412.31900000000024
MaxEStateIndex,12.713776769967247
MinEStateIndex,-1.1290740740740743
NumHeteroatoms,5
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.7878787878787878
FpDensityMorgan2,1.303030303030303
FpDensityMorgan3,1.7575757575757576
MaxPartialCharge,0.27915840046808954
MinPartialCharge,-0.5448151187546493
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.713776769967247
MinAbsEStateIndex,0.08984363189720335
NumAliphaticRings,0
NumRotatableBonds,8
NumSaturatedRings,0
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5448151187546493
MinAbsPartialCharge,0.27915840046808954
NumRadicalElectrons,0
NumValenceElectrons,174
fr_para_hydroxylation,1
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,446.2569429480009
MZ,0.5970149253731343
Mi,1.1234262494795813
Mm,0.5549527361113009
Mp,0.6616941817856824
Mv,0.6100208523837157
SZ,40.0
Si,75.26955871513195
Sm,37.18183331945716
Sp,44.33351017964072
Sv,40.87139710970895
nB,0
nC,28
nF,0
nH,34
nI,0
nN,2
nO,3
nP,0
nS,0
nX,0
ABC,24.467259215488863
AMW,6.660551387283596
IC0,1.3745285647519825
IC1,3.1197476670013677
IC2,4.203749626295215
IC3,4.98144688503901
IC4,5.424006354507714
IC5,5.4538571007763705
Mpe,0.9517120280948201
Mse,0.9912165320520486
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,131.6736
SdO,22.803591584782062
SdS,0
Spe,63.76470588235295
SsF,0
SsI,0
Sse,66.41150764748726
StN,0
fMF,0.34328358208955223
nBr,0
nCl,0
BIC0,0.21804828239774393
BIC1,0.49490104298178855
BIC2,0.6668616492587937
BIC3,0.7902316219483873
BIC4,0.8604370252052631
BIC5,0.8651723971131913
CIC0,4.691560625705789
CIC1,2.9463415234564043
CIC2,1.862339564162557
CIC3,1.084642305418762
CIC4,0.6420828359500579
CIC5,0.6122320896814015
GGI1,7.5
GGI2,3.555555555555557
GGI3,2.6875
GGI4,1.675555555555556
GGI5,0.7083333333333334
GGI6,0.6897959183673469
GGI7,0.359375
GGI8,0.25018896447467875
GGI9,0.12000000000000002
JGI1,0.2205882352941176
JGI2,0.07901234567901236
JGI3,0.05972222222222223
JGI4,0.04296296296296296
JGI5,0.02023809523809524
JGI6,0.024635568513119533
JGI7,0.012834821428571428
JGI8,0.010877781064116469
JGI9,0.0075000000000000015
MIC0,12.14722308784975
MIC1,27.02157451489682
MIC2,33.68702372236784
MIC3,38.35508111816366
MIC4,39.12962882458214
MIC5,39.15971837682094
MPC2,45
MPC3,54
MPC4,62
MPC5,67
MPC6,52
MPC7,52
MPC8,48
MPC9,42
Mare,0.9638208955223879
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.1869291606858577
RPCG,0.09578083225220922
SIC0,0.2265922114884458
SIC1,0.5142930756621366
SIC2,0.6929917273402277
SIC3,0.821195786714618
SIC4,0.8941520944070386
SIC5,0.8990730155032224
SaaN,0
SaaO,0
SaaS,0
Sare,64.576
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,92.09341383838283
TIC1,209.02309368909164
TIC2,281.6512249617794
TIC3,333.75694129761365
TIC4,363.40842575201685
TIC5,365.40842575201685
Vabc,450.99428094501445
WPol,45
apol,74.03696199999997
bpol,39.56303800000002
nRot,8
ABCGG,21.84818833244385
ATS0Z,1332.0
ATS0d,192.0
ATS0i,10816.276122371968
ATS0m,5234.2376650000015
ATS0p,97.555650764866
ATS0s,300.25694444444446
ATS0v,14051.121236969298
ATS1Z,1501.0
ATS1d,234.0
ATS1i,9862.524049807003
ATS1m,5606.176414
ATS1p,122.24295452999999
ATS1s,203.0
ATS1v,17295.44785188077
ATS2Z,2106.0
ATS2d,373.0
ATS2i,18062.92317199009
ATS2m,7705.2901889999985
ATS2p,176.86783575758403
ATS2s,352.3055555555555
ATS2v,24277.59453767056
ATS3Z,2301.0
ATS3d,418.0
ATS3i,23904.313453989824
ATS3m,8098.712753000001
ATS3p,209.82508951467798
ATS3s,395.59722222222223
ATS3v,27695.88165566413
ATS4Z,2206.0
ATS4d,409.0
ATS4i,29387.223771930803
ATS4m,7495.645991
ATS4p,211.69678569220503
ATS4s,458.69444444444446
ATS4v,26919.117031395
ATS5Z,2025.0
ATS5d,378.0
ATS5i,29972.34213284264
ATS5m,6818.956078999999
ATS5p,194.53864074124198
ATS5s,486.6666666666667
ATS5v,24558.21804375186
ATS6Z,1674.0
ATS6d,326.0
ATS6i,26012.401347608506
ATS6m,5480.166328
ATS6p,170.767041814205
ATS6s,409.02777777777777
ATS6v,21314.49195493291
ATS7Z,1490.0
ATS7d,309.0
ATS7i,22408.235338501905
ATS7m,5048.781872
ATS7p,157.402816081054
ATS7s,286.7222222222223
ATS7v,19591.76459101375
ATS8Z,1343.0
ATS8d,263.0
ATS8i,19189.109404721377
ATS8m,4370.730591
ATS8p,156.083411408678
ATS8s,264.58333333333337
ATS8v,19002.13597842493
C1SP1,0
C1SP2,2
C1SP3,8
C2SP1,0
C2SP2,14
C2SP3,0
C3SP2,4
C3SP3,0
C4SP3,0
FCSP3,0.2857142857142857
GGI10,0.049586776859504134
JGI10,0.004132231404958678
JGT10,0.48250426380717654
Kier1,29.231833910034602
Kier2,15.186172839506172
Kier3,9.876543209876543
MAXdO,12.713776769967247
MINdO,10.089814814814815
MPC10,36
MWC01,34.0
MWC02,5.0689042022202315
MWC03,5.877735781779639
MWC04,6.727431724850855
MWC05,7.553286605600419
MWC06,8.406708458240965
MWC07,9.239025005836092
MWC08,10.094644957992482
MWC09,10.930836537091798
MWC10,11.788304666515215
NaaCH,13
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.348840000000004
SRW02,4.23410650459726
SRW03,0.0
SRW04,5.517452896464707
SRW05,0.0
SRW06,7.00397413672268
SRW07,0.0
SRW08,8.576405051048084
SRW09,0.0
SRW10,10.189380525503447
SaaCH,24.592822593288414
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,4.667687112136969
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.039230442176871
SdssS,0
SsCH3,8.402915354413372
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.1335948916603678
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
WPath,21600001480
Xc-3d,2.307393345292278
Xc-4d,0.125
Xc-5d,0.35911675639654195
Xc-6d,0.0
Xp-0d,24.26937394568523
Xp-1d,15.797661375332952
Xp-2d,13.651697963223166
Xp-3d,10.775815985728242
Xp-4d,8.217711487913288
Xp-5d,6.010748353020488
Xp-6d,2.9120002009186257
Xp-7d,1.8657862617309084
ZMIC0,112.19208473480654
ZMIC1,69.72797333663708
ZMIC2,44.529681781191826
ZMIC3,29.412325471185785
ZMIC4,26.146640636856354
ZMIC5,26.02526484012627
nAcid,1
nAtom,67
nBase,1
nRing,3
piPC1,3.828641396489095
piPC2,4.350277936359301
piPC3,4.78957290898587
piPC4,5.2344452899536265
piPC5,5.64212867758722
piPC6,5.371219254531703
piPC7,5.428797232998827
piPC8,5.413040168907826
piPC9,5.442688236696851
AATS0Z,19.880597014925375
AATS0d,2.8656716417910446
AATS0i,161.4369570503279
