DLiP-ID,C001JF
DLiP-Mol-ID,32467
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H6Br3NOS/c12-6-1-3-7(4-2-6)15-11(16)9-5-8(13)10(14)17-9/h1-5H,(H,15,16)"
Standard Inchi Key(RDKit),ZLWLKVQCHZSSEL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc(Br)cc1)c1cc(Br)c(Br)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),439.954
MW Monoisotopic(RDKit),436.772021112
MolLogP(RDKit),5.2879
XLogP(SDF),
XLogP(CDK),4.029
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.1
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.676559302256901
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8425.803896911828
qed,0.6765593022569005
Chi0,12.41384908344359
Chi1,8.058550648063799
TPSA,29.1
Chi0n,8.337141345903536
Chi0v,13.911627544175378
Chi1n,4.57803661944518
Chi1v,7.773528009044963
Chi2n,3.1933100766042677
Chi2v,7.333420249065329
Chi3n,1.9710335668137853
Chi3v,5.754705128218661
Chi4n,1.1843999040233653
Chi4v,3.3796226351485212
MolMR,81.81420000000001
MolWt,439.954
fr_SH,0
Kappa1,13.266099775753366
Kappa2,5.646895850299961
Kappa3,3.4026616656303244
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,530.8442285311834
MolLogP,5.2879000000000005
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1375539222206505
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,47.940836785510896
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
