DLiP-ID,C001JH
DLiP-Mol-ID,32469
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12O6/c1-5-3-7(17)9-11(13(5)19)15(21)10-8(18)4-6(2)14(20)12(10)16(9)22/h3-4,17-20H,1-2H3"
Standard Inchi Key(RDKit),PUYQMSIYQIPSIN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(O)c2c(c1O)C(=O)c1c(O)cc(C)c(O)c1C2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),300.266
MW Monoisotopic(RDKit),300.063388104
MolLogP(RDKit),1.90124
XLogP(SDF),
XLogP(CDK),1.936
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),115.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.471311758234183
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,73467.52254362874
qed,0.47131175823418325
Chi0,16.342416792648606
Chi1,10.251795315372462
TPSA,115.06
Chi0n,11.76005150130681
Chi0v,11.76005150130681
Chi1n,6.457376019843031
Chi1v,6.457376019843031
Chi2n,5.280643246435026
Chi2v,5.280643246435026
Chi3n,3.8476305445428065
Chi3v,3.8476305445428065
Chi4n,2.730333546064184
Chi4v,2.730333546064184
MolMR,75.8822
MolWt,300.266
fr_SH,0
Kappa1,13.940059105726002
Kappa2,4.2366779154371
Kappa3,1.5447824538587396
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,805.6803739828167
MolLogP,1.901240000000001
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.485083568516861
SMR_VSA1,30.015183947506465
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,0.0
SMR_VSA7,45.513443087105195
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,4
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,124.44241383848978
NHOHCount,4
PEOE_VSA1,20.426109579362823
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,37.10711151969846
PEOE_VSA8,0.0
PEOE_VSA9,22.253805966787983
RingCount,3
SMR_VSA10,11.566489892729878
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,4
ExactMolWt,300.063388104
NumHDonors,4
PEOE_VSA10,22.99804733313562
PEOE_VSA11,0.0
PEOE_VSA12,11.566489892729878
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,31.9925994720927
SlogP_VSA3,0.0
SlogP_VSA4,13.847474399381248
SlogP_VSA5,42.96978331832562
SlogP_VSA6,12.13273413692322
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,34.5645372258655
EState_VSA2,33.380708950181976
EState_VSA3,0.0
EState_VSA4,12.13273413692322
EState_VSA5,13.847474399381248
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,22.99804733313562
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,66.0
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,30.015183947506465
EState_VSA11,0.0
FractionCSP3,0.125
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.02
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,22
HeavyAtomMolWt,288.17
MaxEStateIndex,12.568707482993197
MinEStateIndex,-0.8250925925925927
NumHeteroatoms,6
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.6363636363636364
FpDensityMorgan2,0.9545454545454546
FpDensityMorgan3,1.2727272727272727
MaxPartialCharge,0.20176371295218695
MinPartialCharge,-0.507143686093655
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.568707482993197
MinAbsEStateIndex,0.2191420487948268
NumAliphaticRings,1
NumRotatableBonds,0
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.507143686093655
MinAbsPartialCharge,0.20176371295218695
NumRadicalElectrons,0
NumValenceElectrons,112
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,4
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,300.06338810400035
MZ,0.7647058823529411
Mi,1.110236891609303
Mm,0.7352720790255991
Mp,0.6962577668193027
Mv,0.6923459249769519
SZ,26.0
Si,37.748054314716306
Sm,24.99925068687037
Sp,23.672764071856292
Sv,23.539761449216364
nB,0
nC,16
nF,0
nH,12
nI,0
nN,0
nO,6
nP,0
nS,0
nX,0
ABC,17.360399772168
AMW,8.825393767764716
IC0,1.4836591643979626
IC1,3.337175341123077
IC2,3.454822399946606
IC3,3.6901165175936654
IC4,3.8077635764171944
IC5,3.8077635764171944
MID,44.220981670081294
Mpe,1.0131487889273356
Mse,1.0385587592648131
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,75.8822
SdO,25.137414965986395
SdS,0
Spe,34.44705882352941
SsF,0
SsI,0
Sse,35.310997815003645
StN,0
fMF,0.4117647058823529
nBr,0
nCl,0
AMID,2.0100446213673315
BIC0,0.2717607377539224
BIC1,0.6112679074009637
BIC2,0.6328172310378618
BIC3,0.675915878311658
BIC4,0.697465201948556
BIC5,0.697465201948556
CIC0,3.6038036768523765
CIC1,1.750287500127262
CIC2,1.632640441303733
CIC3,1.3973463236566737
CIC4,1.2796992648331447
CIC5,1.2796992648331447
GGI1,5.0
GGI2,3.555555555555557
GGI3,3.125
GGI4,3.1377777777777784
GGI5,1.2222222222222223
GGI6,0.569795918367347
GGI7,0.2361111111111111
GGI8,0.06550768455530359
GGI9,0.0
JGI1,0.20833333333333331
JGI2,0.09356725146198834
JGI3,0.06648936170212766
JGI4,0.06821256038647343
JGI5,0.03492063492063492
JGI6,0.025899814471243045
JGI7,0.01686507936507936
JGI8,0.016376921138825898
JGI9,0.0
MIC0,13.746574140821313
MIC1,30.98894894960332
MIC2,32.40200777313273
MIC3,35.697301890779784
MIC4,35.8158901260739
MIC5,35.8158901260739
MPC2,38
MPC3,56
MPC4,80
MPC5,108
MPC6,122
MPC7,138
MPC8,144
MPC9,156
Mare,1.0282352941176474
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,4
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.18703243063950883
RPCG,0.1081107038492105
SIC0,0.29163046703124923
SIC1,0.6559606320982787
SIC2,0.6790855300080224
SIC3,0.7253353258275101
SIC4,0.748460223737254
SIC5,0.748460223737254
SaaN,0
SaaO,0
SaaS,0
Sare,34.96000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,40.08935594608214
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,50.44441158953073
TIC1,113.46396159818462
TIC2,117.46396159818461
TIC3,125.46396159818462
TIC4,129.4639615981846
TIC5,129.4639615981846
Vabc,258.0725358132421
WPol,47
apol,39.53351599999999
bpol,13.774483999999996
nRot,0
ABCGG,14.940233096896561
ATS0Z,972.0
ATS0d,136.0
ATS0i,5360.429236545988
ATS0m,3856.22671
ATS0p,53.816978858188
ATS0s,303.3333333333333
ATS0v,8447.620022946581
ATS1Z,1016.0
ATS1d,170.0
ATS1i,5168.075868597801
ATS1m,3911.1027839999997
ATS1p,69.28366642399999
ATS1s,156.66666666666669
ATS1v,10685.62869740888
ATS2Z,1602.0
ATS2d,278.0
ATS2i,8389.994779446095
ATS2m,6232.430629999999
ATS2p,106.840777769094
ATS2s,238.00000000000003
ATS2v,16437.00856616527
ATS3Z,2128.0
ATS3d,317.0
ATS3i,10894.9669213077
