DLiP-ID,C001JV
DLiP-Mol-ID,32483
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H22O2/c1-12(2)8-14-9(12)6-7-13(14,3)10(15)4-5-11(14)16/h9-10,15H,4-8H2,1-3H3"
Standard Inchi Key(RDKit),UHRWOVVMQAASAO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1(C)CC23C(=O)CCC(O)C2(C)CCC13
SMILES(SDF),
MW(SDF),
MW(RDKit),222.328
MW Monoisotopic(RDKit),222.161979944
MolLogP(RDKit),2.5428
XLogP(SDF),
XLogP(CDK),2.376
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),37.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.683605494014919
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4020.962285189012
qed,0.6836054940149185
Chi0,11.767584713501616
Chi1,7.344806119929914
TPSA,37.3
Chi0n,10.545696330275813
Chi0v,10.545696330275813
Chi1n,6.559058582064353
Chi1v,6.559058582064353
Chi2n,7.123087732440296
Chi2v,7.123087732440296
Chi3n,6.121990292959968
Chi3v,6.121990292959968
Chi4n,5.290087175476343
Chi4v,5.290087175476343
MolMR,61.90980000000005
MolWt,222.32799999999997
fr_SH,0
Kappa1,10.76323953748976
Kappa2,2.7166747982846644
Kappa3,0.8827017885201589
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,359.74684227734116
MolLogP,2.5428000000000006
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0756100356981566
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,22.16287745435173
SMR_VSA5,58.97928610145023
SMR_VSA6,0.0
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,97.42176090663756
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,20.771211599071872
PEOE_VSA7,37.016183007262214
PEOE_VSA8,17.25080256171957
PEOE_VSA9,6.103966387748303
RingCount,3
SMR_VSA10,5.783244946364939
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,222.161979944
NumHDonors,1
PEOE_VSA10,5.783244946364939
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,16.99373872895395
SlogP_VSA3,4.794537184071822
SlogP_VSA4,22.16287745435173
SlogP_VSA5,52.87531971370193
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,16.933947326541862
EState_VSA3,29.957784707775133
EState_VSA4,19.26246486877803
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,20.771211599071872
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,34.583333333333336
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.901064578912528
EState_VSA11,0.0
FractionCSP3,0.9285714285714286
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
