DLiP-ID,C001KM
DLiP-Mol-ID,32510
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H14ClN5O2/c20-15-8-6-14(7-9-15)16(26)11-24-12-21-18-17(19(24)27)22-23-25(18)10-13-4-2-1-3-5-13/h1-9,12H,10-11H2"
Standard Inchi Key(RDKit),ZUAMMHYNGMEMGE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Cn1cnc2c(nnn2Cc2ccccc2)c1=O)c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),379.807
MW Monoisotopic(RDKit),379.083602368
MolLogP(RDKit),2.5726
XLogP(SDF),
XLogP(CDK),3.615
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),82.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.497574273322998
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2294806.9048059667
qed,0.4975742733229985
Chi0,18.80275414050485
Chi1,13.114193540729628
TPSA,82.66999999999999
Chi0n,14.1182452857061
Chi0v,14.874174231724556
Chi1n,8.229668618251816
Chi1v,8.607633091261043
Chi2n,6.012596816393866
Chi2v,6.449032596865851
Chi3n,4.147136519679823
Chi3v,4.399112835019309
Chi4n,2.7443529681000967
Chi4v,2.8703411257698392
MolMR,100.9095
MolWt,379.80700000000013
fr_SH,0
Kappa1,17.111817824221323
Kappa2,7.12506244860115
Kappa3,3.4950435084915497
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1166.4070830291073
MolLogP,2.5726000000000004
NOCount,7
fr_Ar_N,5
fr_COO2,0
fr_urea,0
BalabanJ,1.6197222144859706
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,24.544948007839654
SMR_VSA4,0.0
SMR_VSA5,13.08951281182515
SMR_VSA6,0.0
SMR_VSA7,87.4279640671782
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.39299528831972
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,14.156174015934997
PEOE_VSA3,9.665781456092393
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,47.146160328195435
PEOE_VSA7,29.828919765543436
PEOE_VSA8,10.586084805438322
PEOE_VSA9,13.08951281182515
RingCount,4
SMR_VSA10,28.548062774981446
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,379.08360236799996
NumHDonors,0
PEOE_VSA10,6.3273200747645415
PEOE_VSA11,16.94712288474893
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052007
PEOE_VSA14,0.0
SlogP_VSA1,5.559266895052007
SlogP_VSA2,30.328192954204592
SlogP_VSA3,13.08951281182515
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,65.71916087499085
SlogP_VSA7,5.022633313741326
SlogP_VSA8,11.16387793838399
