DLiP-ID,C001KO
DLiP-Mol-ID,32512
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22N4O2S/c1-27-15-7-5-14(6-8-15)18(26)13-28-20-17(12-23)21(9-3-2-4-10-21)16(11-22)19(24)25-20/h5-8,25H,2-4,9-10,13,24H2,1H3"
Standard Inchi Key(RDKit),WNTPCRPNQJFXIC-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C(=O)CSC2=C(C#N)C3(CCCCC3)C(C#N)=C(N)N2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),394.5
MW Monoisotopic(RDKit),394.146346944
MolLogP(RDKit),3.59386
XLogP(SDF),
XLogP(CDK),4.141
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),111.93
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.733877432282777
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2180821.266629386
qed,0.733877432282777
Chi0,20.148053602125596
Chi1,13.551209127417563
TPSA,111.92999999999999
Chi0n,15.748564095458923
Chi0v,16.565060676386647
Chi1n,9.177211967674982
Chi1v,10.162810527328471
Chi2n,6.924526040570175
Chi2v,7.9101246002236625
Chi3n,5.392014331793066
Chi3v,6.3934019490283465
Chi4n,3.933977814465396
Chi4v,4.943551499594176
MolMR,107.90160000000003
MolWt,394.50000000000017
fr_SH,0
Kappa1,19.850398278890538
Kappa2,8.411771901021057
Kappa3,3.5848484848484854
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,913.2093525445069
MolLogP,3.593860000000001
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8435662920146172
SMR_VSA1,9.53140013787187
SMR_VSA2,10.523783109476973
SMR_VSA3,5.316788604006331
SMR_VSA4,11.148657946558965
SMR_VSA5,32.10410811463005
SMR_VSA6,12.862651148024323
SMR_VSA7,51.82517421860098
SMR_VSA8,0.0
SMR_VSA9,17.887954458868453
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.5877560624932
NHOHCount,3
PEOE_VSA1,15.787319034968565
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,10.523783109476973
PEOE_VSA5,0.0
PEOE_VSA6,31.024349818169142
PEOE_VSA7,37.107111519698464
PEOE_VSA8,10.978441961093775
PEOE_VSA9,41.17637413062401
RingCount,3
SMR_VSA10,17.545129895756055
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,394.1463469440001
NumHDonors,2
PEOE_VSA10,11.570485929326304
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.787319034968565
SlogP_VSA2,18.64589609438926
SlogP_VSA3,0.0
SlogP_VSA4,28.0772162044583
SlogP_VSA5,42.462096790398874
SlogP_VSA6,46.26172272690398
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,2
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,5.41499046939678
EState_VSA2,11.536098553111728
EState_VSA3,33.309217778038445
EState_VSA4,32.10410811463005
EState_VSA5,11.761884949391115
EState_VSA6,31.37526581512397
EState_VSA7,0.0
EState_VSA8,17.45523122959088
EState_VSA9,10.470530430962235
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.761884949391115
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,66.48151717477114
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,15.318320293548794
EState_VSA11,0.0
FractionCSP3,0.38095238095238093
VSA_EState10,1.2684828252288565
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.9
NumHAcceptors,7
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,28
HeavyAtomMolWt,372.3240000000001
MaxEStateIndex,12.56123047367095
MinEStateIndex,-0.6224430666435539
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,2
fr_prisulfonamd,0
FpDensityMorgan1,1.1785714285714286
FpDensityMorgan2,1.8214285714285714
FpDensityMorgan3,2.392857142857143
MaxPartialCharge,0.17264183263955016
MinPartialCharge,-0.49676778967766644
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.56123047367095
MinAbsEStateIndex,0.050399843579406856
NumAliphaticRings,2
NumRotatableBonds,5
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,1
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,1
MaxAbsPartialCharge,0.49676778967766644
MinAbsPartialCharge,0.17264183263955016
NumRadicalElectrons,0
NumValenceElectrons,144
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,1
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,394.1463469440007
MZ,0.6933333333333332
Mi,1.1213991740895002
Mm,0.6568861876613106
Mp,0.7023167185628743
Mv,0.6521722613474458
SZ,34.666666666666664
Si,56.06995870447501
Sm,32.84430938306553
Sp,35.11583592814371
Sv,32.60861306737229
nB,0
nC,21
nF,0
nH,22
nI,0
nN,4
nO,2
nP,0
nS,1
nX,0
ABC,21.187443577881847
AMW,7.882926938880014
IC0,1.6369329600072346
IC1,3.704498451560163
IC2,4.429275070710714
IC3,4.878562939644918
IC4,5.028758439731457
IC5,5.028758439731457
MID,56.607640401055754
Mpe,0.9691764705882355
Mse,1.0031391114348143
NdO,1
NdS,0
NsF,0
NsI,0
NtN,2
SMR,107.90160000000003
SdO,12.56123047367095
SdS,0
Spe,48.458823529411774
SsF,0
SsI,0
Sse,50.15695557174071
StN,19.542537458809072
fMF,0.4
nBr,0
nCl,0
AMID,2.0217014428948485
BIC0,0.2749208918677514
BIC1,0.622165991587782
BIC2,0.7438913397907301
BIC3,0.8193486887784411
BIC4,0.8445738396228177
BIC5,0.8445738396228177
CIC0,4.00692322976749
CIC1,1.9393577382145613
CIC2,1.2145811190640101
CIC3,0.7652932501298064
CIC4,0.615097750043267
CIC5,0.615097750043267
GGI1,6.0
GGI2,4.444444444444446
GGI3,2.625
GGI4,1.9911111111111115
GGI5,1.1944444444444444
GGI6,0.6481632653061223
GGI7,0.4079861111111111
GGI8,0.32048374905517757
GGI9,0.16687500000000005
JGI1,0.2
JGI2,0.10582010582010587
JGI3,0.052500000000000005
JGI4,0.04063492063492065
JGI5,0.02986111111111111
JGI6,0.020255102040816323
JGI7,0.014068486590038313
JGI8,0.011445848180542055
JGI9,0.006418269230769231
MIC0,17.513525908526375
MIC1,36.85965525439774
MIC2,40.85916702557996
MIC3,42.35840974119172
