DLiP-ID,C001L8
DLiP-Mol-ID,32532
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H14N2O5S2/c23-19-16-9-2-4-11-18(16)28-22(19)13-6-5-7-14(12-13)29(26,27)21-17-10-3-1-8-15(17)20(24)25/h1-12,21H,(H,24,25)"
Standard Inchi Key(RDKit),FEVKOYDOEFRIDM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1ccccc1NS(=O)(=O)c1cccc(-n2sc3ccccc3c2=O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),426.475
MW Monoisotopic(RDKit),426.034413548
MolLogP(RDKit),3.5512
XLogP(SDF),
XLogP(CDK),4.118
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),105.47
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.507702988353747
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4474158.872474453
qed,0.5077029883537469
Chi0,20.5956473593183
Chi1,13.86501052785946
TPSA,105.47
Chi0n,14.772120164058608
Chi0v,16.40511332591406
Chi1n,8.433416382003154
Chi1v,10.68997629173152
Chi2n,6.140567340072143
Chi2v,8.810518544614272
Chi3n,4.255784647211393
Chi3v,6.730870626087347
Chi4n,2.8813803209329
Chi4v,4.99041401074723
MolMR,111.63180000000003
MolWt,426.47500000000014
fr_SH,0
Kappa1,18.911264123059144
Kappa2,7.190336272929119
Kappa3,3.5270618417499326
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1403.671429449743
MolLogP,3.5512000000000015
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.7591916090418107
SMR_VSA1,18.318861563241466
SMR_VSA2,0.0
SMR_VSA3,3.9566611082605965
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,4.722094864452088
SMR_VSA7,88.71366039236017
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,169.2311869329622
NHOHCount,2
PEOE_VSA1,5.106527394840706
PEOE_VSA2,9.51663204852391
PEOE_VSA3,17.168995276661356
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,41.86432195387473
PEOE_VSA7,42.46456947923127
PEOE_VSA8,0.0
PEOE_VSA9,31.91985164751579
RingCount,4
SMR_VSA10,43.298613458543564
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,426.034413548
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,15.58255804845959
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.281361759504094
SlogP_VSA2,23.45029077538209
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,10.357988675768818
SlogP_VSA6,82.48642548112893
SlogP_VSA7,0.0
SlogP_VSA8,15.77353040561746
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,15.992596441359433
EState_VSA2,21.70558813695034
EState_VSA3,11.073610489148358
EState_VSA4,4.699919916469101
EState_VSA5,57.953717199058545
EState_VSA6,18.19910120538483
EState_VSA7,12.13273413692322
EState_VSA8,4.722094864452088
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,11.532486611566675
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,27.083453693205676
VSA_EState9,54.34883715314002
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,23.113398747313287
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,-2.848957513012344
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.429999999999999
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,29
HeavyAtomMolWt,412.36300000000017
MaxEStateIndex,12.828987780297304
MinEStateIndex,-4.0668465241034655
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.9655172413793104
FpDensityMorgan2,1.6896551724137931
FpDensityMorgan3,2.4482758620689653
MaxPartialCharge,0.33733179759496823
MinPartialCharge,-0.47758309958750567
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.828987780297304
MinAbsEStateIndex,0.03756287211599241
NumAliphaticRings,0
NumRotatableBonds,5
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.47758309958750567
MinAbsPartialCharge,0.33733179759496823
NumRadicalElectrons,0
NumValenceElectrons,146
fr_para_hydroxylation,1
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,426.0344135480004
MZ,0.8527131782945736
Mi,1.1017564941575972
Mm,0.8257178981282663
Mp,0.7623604233393678
Mv,0.7269029485134361
SZ,36.666666666666664
Si,47.37552924877668
Sm,35.50586961951545
Sp,32.78149820359282
Sv,31.256826786077752
nB,0
nC,20
nF,0
nH,14
nI,0
nN,2
nO,5
nP,0
nS,2
nX,0
ABC,22.969173398450913
AMW,9.907777059255823
IC0,1.8134468179348766
IC1,3.239308940346104
IC2,4.06279520858371
IC3,5.016738232040776
IC4,5.333241498888144
IC5,5.379753126795121
MID,59.30520279975367
Mpe,1.0053807569539444
Mse,1.0313521570487305
NdO,4
NdS,0
NsF,0
NsI,0
NtN,0
SMR,111.63180000000003
SdO,49.63598389600162
SdS,0
Spe,43.23137254901961
SsF,0
SsI,0
Sse,44.348142753095416
StN,0
fMF,0.5348837209302325
nBr,0
nCl,0
AMID,2.045006993094954
BIC0,0.3082707556311108
BIC1,0.550655362422085
BIC2,0.6906411241498748
BIC3,0.8528034405529671
BIC4,0.9066063424444396
BIC5,0.9145129292484822
CIC0,3.6128179367672213
CIC1,2.186955814355994
CIC2,1.363469546118388
CIC3,0.40952652266132183
CIC4,0.09302325581395365
CIC5,0.04651162790697683
GGI1,6.5
GGI2,4.222222222222223
GGI3,3.013888888888889
GGI4,1.9694444444444448
GGI5,1.3786111111111108
GGI6,0.6017233560090701
GGI7,0.4991850907029478
GGI8,0.28923374905517757
GGI9,0.23908179012345682
JGI1,0.203125
JGI2,0.0898345153664303
JGI3,0.06150793650793651
JGI4,0.04281400966183574
JGI5,0.03206072351421188
JGI6,0.01467617941485537
JGI7,0.014262431162941368
JGI8,0.009973577553626814
JGI9,0.009195453466286798
MIC0,21.96122473714287
MIC1,38.18731952788169
MIC2,48.2637014677766
MIC3,52.19599403868244
MIC4,53.02679677352506
MIC5,53.07368049445529
MPC2,47
MPC3,63
MPC4,83
MPC5,103
MPC6,109
MPC7,122
MPC8,133
MPC9,142
Mare,1.0169302325581395
NaaN,0
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.18923202941757591
RPCG,0.13366046809677512
SIC0,0.33419799805445266
SIC1,0.5969684648245553
SIC2,0.7487277883120462
SIC3,0.9245288349952978
SIC4,0.9828568527303528
SIC5,0.9914284263651765
SaaN,0
SaaO,0
SaaS,1.2178890110911214
Sare,43.728
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.253993837169272
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,77.9782131711997
TIC1,139.29028443488247
TIC2,174.70019396909953
TIC3,215.71974397775338
TIC4,229.3293844521902
TIC5,231.3293844521902
Vabc,335.4119841102819
WPol,49
apol,54.745101999999996
bpol,27.176897999999998
nRot,5
ABCGG,18.28185228035975
ATS0Z,1664.0
ATS0d,172.0
ATS0i,6689.1304191721865
ATS0m,6627.426619000001
ATS0p,84.45860066788599
ATS0s,326.9973422496571
ATS0v,11667.64716181806
ATS1Z,1749.0
ATS1d,216.0
ATS1i,6523.814817641247
ATS1m,6836.149762000003
ATS1p,100.65539200600004
ATS1s,154.70833333333334
ATS1v,14373.679174337647
ATS2Z,2502.0
ATS2d,322.0
ATS2i,10731.939979095825
ATS2m,9683.400636000006
ATS2p,152.42025976000008
ATS2s,359.14197530864186
ATS2v,21261.279200179517
ATS3Z,2827.0
ATS3d,354.0
ATS3i,14467.158199371133
ATS3m,10761.566683999998
ATS3p,171.78347249679192
ATS3s,368.06172839506166
ATS3v,23435.443491889175
ATS4Z,2779.0
ATS4d,336.0
ATS4i,15406.050355372223
ATS4m,10412.945934000003
ATS4p,162.226831190792
ATS4s,442.2685185185185
ATS4v,22175.24384446946
ATS5Z,2691.0
ATS5d,305.0
ATS5i,14604.818729434443
ATS5m,10090.985480999998
ATS5p,149.634660612792
ATS5s,434.78720850480096
ATS5v,20802.939001385956
ATS6Z,2447.0
ATS6d,274.0
ATS6i,13008.431843041735
ATS6m,9219.408206999997
ATS6p,138.395247524245
ATS6s,495.1172839506172
ATS6v,19720.426214941454
ATS7Z,1904.0
ATS7d,258.0
ATS7i,12707.992347066769
ATS7m,7086.727196000001
ATS7p,128.196577408792
ATS7s,401.41358024691345
ATS7v,17772.09932189427
ATS8Z,1680.0
ATS8d,232.0
ATS8i,11786.594819330847
ATS8m,6207.424400999999
ATS8p,114.63365426333901
ATS8s,278.6543209876542
ATS8v,15323.232414546055
C1SP1,0
C1SP2,2
C1SP3,0
C2SP1,0
C2SP2,16
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.16396694214876034
JGI10,0.007807949626131445
JGT10,0.48525777627425626
Kier1,22.203125
Kier2,9.240380262562246
Kier3,4.768959435626102
MAXdO,12.828987780297304
MID_C,41.96786729464781
MID_N,4.284461547679186
MID_O,8.721588891844902
MID_X,0.0
MID_h,17.337335505105845
MINdO,11.334449233991222
MPC10,153
MWC01,32.0
MWC02,5.0689042022202315
MWC03,5.937536205082426
MWC04,6.842683282238422
MWC05,7.7306140660637395
MWC06,8.638525476583762
MWC07,9.532930988916153
MWC08,10.441821333718718
MWC09,11.339464536608471
MWC10,12.24890701386732
NaaCH,12
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,1
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,3.5512000000000015
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.53338948872752
SRW05,2.3978952727983707
SRW06,7.089243155027514
SRW07,4.844187086458591
SRW08,8.729235349659273
SRW09,7.034387929915503
SRW10,10.411358816475682
SaaCH,18.80571245141276
SaaNH,0
SaaSe,0
SaaaC,1.3458717782337914
SaasC,0.12734278793396947
