DLiP-ID,C001MZ
DLiP-Mol-ID,32623
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18N4O2S/c1-2-12-10-13-15(18-11-19-16(13)24-12)20-5-7-21(8-6-20)17(22)14-4-3-9-23-14/h3-4,9-11H,2,5-8H2,1H3"
Standard Inchi Key(RDKit),GWNIGANSXBNWNV-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1cc2c(N3CCN(C(=O)c4ccco4)CC3)ncnc2s1
SMILES(SDF),
MW(SDF),
MW(RDKit),342.424
MW Monoisotopic(RDKit),342.115046816
MolLogP(RDKit),2.8091
XLogP(SDF),
XLogP(CDK),1.603
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),62.47
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.732309105259633
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,715887.1492373155
qed,0.7323091052596331
Chi0,16.518297090128677
Chi1,11.75835149307306
TPSA,62.47
Chi0n,13.435884505272291
Chi0v,14.252381086200018
Chi1n,8.071287118115759
Chi1v,8.887783699043483
Chi2n,5.738919616707521
Chi2v,6.854119487996767
Chi3n,4.306254573368958
Chi3v,5.493641159342854
Chi4n,2.9966178681798663
Chi4v,3.9260951687995997
MolMR,93.61750000000004
MolWt,342.42400000000004
fr_SH,0
Kappa1,15.137295119421712
Kappa2,6.238342898078794
Kappa3,2.6452325414428772
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,850.7378607067022
MolLogP,2.809100000000001
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5172335316708674
SMR_VSA1,9.211688121125169
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,13.344558822616634
SMR_VSA6,31.078935354500782
SMR_VSA7,41.426978888364175
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,143.2741034413751
NHOHCount,0
PEOE_VSA1,14.216970398754302
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,6.923737199690624
PEOE_VSA7,24.619922828310838
PEOE_VSA8,31.0561728173516
PEOE_VSA9,11.649387210103853
RingCount,4
SMR_VSA10,33.27844901920663
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,342.11504681599996
NumHDonors,0
PEOE_VSA10,16.975579272220138
PEOE_VSA11,5.760247418874442
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,46.954072125746706
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,22.35566899633819
SlogP_VSA6,35.20673521284178
SlogP_VSA7,0.0
SlogP_VSA8,10.216620634085363
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,18.849760230699594
EState_VSA4,35.54481784667155
EState_VSA5,11.140310189340356
EState_VSA6,29.7968400896225
EState_VSA7,4.899909730850478
EState_VSA8,27.857971040897127
EState_VSA9,4.417150937053347
SlogP_VSA10,5.817862777835028
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.208701957181776
VSA_EState9,44.90019622484637
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
