DLiP-ID,C001PN
DLiP-Mol-ID,32723
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H13NO/c1-9(11-8-12)7-10-5-3-2-4-6-10/h2-6,8-9H,7H2,1H3,(H,11,12)"
Standard Inchi Key(RDKit),SGSYPSYCGPLSML-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(Cc1ccccc1)NC=O
SMILES(SDF),
MW(SDF),
MW(RDKit),163.22
MW Monoisotopic(RDKit),163.099714036
MolLogP(RDKit),1.3636
XLogP(SDF),
XLogP(CDK),1.802
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),12
QED Weighted(RDKit),0.6671081201998
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,585.3846826146989
qed,0.6671081201998003
Chi0,8.811554787871634
Chi1,5.825698502695489
TPSA,29.1
Chi0n,7.1568069559777925
Chi0v,7.1568069559777925
Chi1n,4.062888082354864
Chi1v,4.062888082354864
Chi2n,2.8752880720404534
Chi2v,2.8752880720404534
Chi3n,1.7372723189293042
