DLiP-ID,C001PT
DLiP-Mol-ID,32732
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H17NO3/c1-2-23-16-9-7-15(8-10-16)20-19(22)17-11-13-5-3-4-6-14(13)12-18(17)21/h3-12,21H,2H2,1H3,(H,20,22)"
Standard Inchi Key(RDKit),FYJKEJZGNQVNLC-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),307.349
MW Monoisotopic(RDKit),307.120843404
MolLogP(RDKit),4.1964
XLogP(SDF),
XLogP(CDK),4.62
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.759314819163298
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,209004.85687207713
qed,0.7593148191632985
Chi0,16.233840039752504
Chi1,11.169035095596021
TPSA,58.56
Chi0n,12.744319649510492
Chi0v,12.744319649510492
Chi1n,7.431055016609999
Chi1v,7.431055016609999
Chi2n,5.128022037666127
Chi2v,5.128022037666127
Chi3n,3.5318396356802237
Chi3v,3.5318396356802237
Chi4n,2.4097341640920478
Chi4v,2.4097341640920478
MolMR,91.17700000000004
