DLiP-ID,C001PV
DLiP-Mol-ID,32735
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H10O3/c1-7(13)10-6-11(14)8-4-2-3-5-9(8)12(10)15/h2-6,14-15H,1H3"
Standard Inchi Key(RDKit),CKLPUCARSNJTSJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)c1cc(O)c2ccccc2c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),202.209
MW Monoisotopic(RDKit),202.06299418
MolLogP(RDKit),2.4536
XLogP(SDF),
XLogP(CDK),2.782
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),57.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.551262497444744
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2789.3285464283113
qed,0.5512624974447436
Chi0,10.999635521070495
Chi1,7.1090609052806215
TPSA,57.53
Chi0n,8.189426827411909
Chi0v,8.189426827411909
Chi1n,4.556038279111141
Chi1v,4.556038279111141
Chi2n,3.393629910518783
Chi2v,3.393629910518783
Chi3n,2.3736096267945266
Chi3v,2.3736096267945266
Chi4n,1.6092560645316802
Chi4v,1.6092560645316802
MolMR,57.28210000000003
MolWt,202.20899999999997
fr_SH,0
Kappa1,9.522159782005515
Kappa2,3.2757484532368952
Kappa3,1.4177102412372604
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,543.8036834553262
MolLogP,2.453600000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.903273548663899
SMR_VSA1,15.007591973753234
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,0.0
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,86.59294148446116
NHOHCount,2
PEOE_VSA1,10.213054789681411
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,12.990104268152233
PEOE_VSA8,10.772448428929591
PEOE_VSA9,5.563451491696996
RingCount,2
SMR_VSA10,16.55569337529453
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,2
ExactMolWt,202.06299418
NumHDonors,2
PEOE_VSA10,11.49902366656781
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,15.996299736046351
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,17.28172587545944
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
