DLiP-ID,C001Q4
DLiP-Mol-ID,32749
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15ClN6S3/c1-10-7-11(2)24-15(19-10)20-16(23-24)25-9-14-21-22-17(27-14)26-8-12-5-3-4-6-13(12)18/h3-7H,8-9H2,1-2H3"
Standard Inchi Key(RDKit),XEBBBFYGXJGWGS-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(C)n2nc(SCc3nnc(SCc4ccccc4Cl)s3)nc2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),435.003
MW Monoisotopic(RDKit),434.02088516
MolLogP(RDKit),4.83064
XLogP(SDF),
XLogP(CDK),4.549
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),68.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.402257485455536
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2259996.27370409
qed,0.4022574854555356
Chi0,18.80275414050485
Chi1,13.080520035918415
TPSA,68.86
Chi0n,14.586955825721791
Chi0v,17.79237451452342
Chi1n,8.107097585937577
Chi1v,11.272755759181504
Chi2n,5.7755526596782785
Chi2v,9.40979020046682
Chi3n,3.680883981407813
Chi3v,7.186628706541446
Chi4n,2.4451867706824952
Chi4v,5.430532737998051
MolMR,110.73900000000003
MolWt,435.0030000000001
fr_SH,0
Kappa1,18.672580676050945
Kappa2,8.135413202317965
Kappa3,4.426051679151587
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,6
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1093.4147073368479
MolLogP,4.8306400000000025
NOCount,6
fr_Ar_N,6
fr_COO2,0
fr_urea,0
BalabanJ,1.381752162088067
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,29.77940036041315
SMR_VSA4,0.0
SMR_VSA5,34.84927377536908
SMR_VSA6,0.0
SMR_VSA7,57.31339983429606
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,173.3485169739895
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,9.499376414562832
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,15.296045424903113
PEOE_VSA6,64.66059687233431
PEOE_VSA7,31.54366002800146
PEOE_VSA8,22.163342910185037
PEOE_VSA9,5.752853606746789
RingCount,4
SMR_VSA10,52.239149390868675
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,434.0208851600001
NumHDonors,0
PEOE_VSA10,5.007623696852765
PEOE_VSA11,4.339655680673546
PEOE_VSA12,5.156436481820707
PEOE_VSA13,5.777653723919194
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,29.77940036041315
SlogP_VSA3,11.505707213493578
SlogP_VSA4,13.847474399381248
SlogP_VSA5,21.958931178246683
SlogP_VSA6,39.827927504802304
SlogP_VSA7,5.022633313741326
SlogP_VSA8,5.777653723919194
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,2
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,16.68694381248669
EState_VSA4,37.074073779408344
EState_VSA5,11.761884949391115
EState_VSA6,27.614068720941475
EState_VSA7,44.179309741689295
EState_VSA8,25.26400246679753
EState_VSA9,11.600939890232516
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,46.46149566694948
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.6962548064188785
VSA_EState9,43.28040950547515
fr_aldehyde,0
