DLiP-ID,C001XG
DLiP-Mol-ID,26837
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H16N2O4/c1-7(2)19-12(16)10-8(3)14-13(17)15-11(10)9-5-4-6-18-9/h4-7,11H,1-3H3,(H2,14,15,17)"
Standard Inchi Key(RDKit),AMVBLUKTOOTWMN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1=C(C(=O)OC(C)C)C(c2ccco2)NC(=O)N1
SMILES(SDF),
MW(SDF),
MW(RDKit),264.281
MW Monoisotopic(RDKit),264.111006992
MolLogP(RDKit),1.8591
XLogP(SDF),
XLogP(CDK),1.388
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),80.57
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.816433600477816
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,21224.581833665383
qed,0.8164336004778162
Chi0,13.991199352633217
Chi1,8.986071002992366
TPSA,80.57
Chi0n,11.019744507803583
Chi0v,11.019744507803583
Chi1n,6.013968845143928
Chi1v,6.013968845143928
Chi2n,4.539632524904487
Chi2v,4.539632524904487
Chi3n,2.6594988223365297
Chi3v,2.6594988223365297
Chi4n,1.9109012992672085
Chi4v,1.9109012992672085
MolMR,67.04440000000002
MolWt,264.28099999999995
fr_SH,0
Kappa1,13.19776884993101
Kappa2,5.174128505844681
Kappa3,2.7803872914495615
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,516.7553416371451
MolLogP,1.8591
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.362309827708306
SMR_VSA1,18.743088258997037
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,32.917018815968135
SMR_VSA6,0.0
SMR_VSA7,35.42628839456182
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.3510910242403
NHOHCount,2
PEOE_VSA1,19.787591098866056
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,32.903945735995094
PEOE_VSA8,5.697039313055833
PEOE_VSA9,17.940233913456627
RingCount,2
SMR_VSA10,12.000419800289922
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,264.111006992
NumHDonors,2
PEOE_VSA10,11.802088248022404
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.000419800289922
SlogP_VSA1,10.633577208012662
SlogP_VSA2,18.104386188038223
SlogP_VSA3,9.53140013787187
SlogP_VSA4,0.0
SlogP_VSA5,32.573299847094276
SlogP_VSA6,34.08319191274072
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.011146117099809
EState_VSA2,12.135080900086376
EState_VSA3,17.030391261999544
EState_VSA4,0.0
EState_VSA5,6.263162995639057
EState_VSA6,32.903945735995094
EState_VSA7,0.0
EState_VSA8,10.633577208012662
EState_VSA9,9.154013890853395
SlogP_VSA10,4.794537184071822
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.270583427815571
VSA_EState9,43.72941657218443
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.38461538461538464
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.24
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,248.15299999999996
MaxEStateIndex,12.118155706727133
MinEStateIndex,-0.6296296296296298
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,1
fr_prisulfonamd,0
FpDensityMorgan1,1.4736842105263157
FpDensityMorgan2,2.210526315789474
FpDensityMorgan3,2.789473684210526
MaxPartialCharge,0.33812814739085173
MinPartialCharge,-0.4667810399093635
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.118155706727133
MinAbsEStateIndex,0.23363047996976638
NumAliphaticRings,1
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4667810399093635
MinAbsPartialCharge,0.33812814739085173
NumRadicalElectrons,0
NumValenceElectrons,102
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,264.1110069920002
MZ,0.6666666666666666
Mi,1.135466799285987
Mm,0.6286642006731923
Mp,0.6464788366124895
Mv,0.6202784565729406
SZ,23.333333333333332
Si,39.74133797500955
Sm,22.00324702356173
Sp,22.62675928143713
Sv,21.70974598005292
nB,0
nC,13
nF,0
nH,16
nI,0
nN,2
nO,4
nP,0
nS,0
nX,0
ABC,14.527324164357324
AMW,7.546028771200007
IC0,1.6405482644925606
IC1,3.6776077224542876
IC2,4.436006945330954
IC3,4.493149802473812
IC4,4.493149802473812
IC5,4.493149802473812
MID,37.72611302731717
Mpe,0.9881232492997197
Mse,1.0214753927791076
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,67.04440000000002
SdO,23.637423626858148
SdS,0
Spe,34.58431372549019
SsF,0
SsI,0
Sse,35.751638747268764
StN,0
fMF,0.3142857142857143
nBr,0
nCl,0
AMID,1.9855848961745879
BIC0,0.30621228932140027
BIC1,0.6864343489870516
BIC2,0.8279913926187221
BIC3,0.8386572446895191
BIC4,0.8386572446895191
BIC5,0.8386572446895191
CIC0,3.4887347524524057
CIC1,1.4516752944906788
CIC2,0.6932760716140125
CIC3,0.6361332144711547
CIC4,0.6361332144711547
CIC5,0.6361332144711547
GGI1,4.5
GGI2,2.000000000000001
GGI3,1.7777777777777777
GGI4,1.2444444444444447
GGI5,0.8711111111111111
GGI6,0.44993197278911573
GGI7,0.20223922902494332
GGI8,0.062499999999999986
GGI9,0.0
JGI1,0.22500000000000003
JGI2,0.07142857142857145
JGI3,0.06584362139917695
JGI4,0.04014336917562724
JGI5,0.032263374485596706
JGI6,0.01956225968648329
JGI7,0.022471025447215923
JGI8,0.010416666666666664
JGI9,0.0
MIC0,15.921608174043659
MIC1,35.153226874617175
MIC2,37.40306471984829
MIC3,37.46066471984828
MIC4,37.46066471984828
MIC5,37.46066471984828
MPC2,28
MPC3,35
MPC4,48
MPC5,52
MPC6,57
MPC7,50
MPC8,46
MPC9,30
Mare,1.0038857142857143
NaaN,0
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.21441912214439499
RPCG,0.15532151980709166
SIC0,0.31983968501501825
SIC1,0.7169828044787231
SIC2,0.8648395751757656
SIC3,0.8759800907125534
SIC4,0.8759800907125534
SIC5,0.8759800907125534
SaaN,0
SaaO,5.270583427815571
SaaS,0
Sare,35.136
