DLiP-ID,C001YJ
DLiP-Mol-ID,27042
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H13N3O2S.2ClH/c12-5-7-14-17(15,16)11-3-1-2-9-8-13-6-4-10(9)11;;/h1-4,6,8,14H,5,7,12H2;2*1H"
Standard Inchi Key(RDKit),HBLCYSFLYMHCBM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cl.Cl.NCCNS(=O)(=O)c1cccc2cnccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),324.233
MW Monoisotopic(RDKit),323.02620308
MolLogP(RDKit),1.3154
XLogP(SDF),
XLogP(CDK),1.133
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),85.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.888058990116886
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8101.754730219028
qed,0.8880589901168858
Chi0,12.303118619434356
Chi1,8.148995134896753
TPSA,85.08
Chi0n,9.944120494519751
Chi0v,12.39361023730293
Chi1n,5.174481622727908
Chi1v,6.6576448703223
Chi2n,3.5394091271563464
Chi2v,5.274784242765161
Chi3n,2.3666701521592177
Chi3v,3.8858600505960164
Chi4n,1.5982057500632396
Chi4v,2.8734151410594606
MolMR,80.48190000000001
MolWt,324.2330000000001
fr_SH,0
Kappa1,18.08
Kappa2,7.616351695897396
Kappa3,4.020948670678399
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,629.3778320204195
MolLogP,1.3154000000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6199996415000838e-06
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,9.706073385399296
SMR_VSA4,5.733667477162185
SMR_VSA5,4.895483475517775
SMR_VSA6,13.08951281182515
SMR_VSA7,36.6591554170726
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,124.01931513910658
NHOHCount,3
PEOE_VSA1,5.733667477162185
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,13.139891848781026
PEOE_VSA4,0.0
PEOE_VSA5,24.814066322359952
PEOE_VSA6,12.13273413692322
PEOE_VSA7,12.13273413692322
PEOE_VSA8,36.25564838398089
PEOE_VSA9,4.895483475517775
RingCount,2
SMR_VSA10,45.609805904697126
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,323.0262030800001
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.455762341614273
SlogP_VSA2,26.491288317101294
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,41.55463889259037
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,42.79906260970287
EState_VSA3,5.386224214464796
EState_VSA4,5.386224214464796
EState_VSA5,0.0
EState_VSA6,30.592788348610984
EState_VSA7,6.06636706846161
EState_VSA8,9.706073385399296
EState_VSA9,5.733667477162185
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,24.814066322359952
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,24.035950491307638
VSA_EState9,23.88752173091459
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.18181818181818182
VSA_EState10,-3.506805555555553
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-0.9200000000000002
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,309.11300000000006
MaxEStateIndex,12.017975245653819
MinEStateIndex,-3.506805555555553
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2105263157894737
FpDensityMorgan2,1.9473684210526316
FpDensityMorgan3,2.6315789473684212
MaxPartialCharge,0.24072619880365026
MinPartialCharge,-0.32916878611019496
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.017975245653819
MinAbsEStateIndex,0.0
NumAliphaticRings,0
NumRotatableBonds,4
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.32916878611019496
MinAbsPartialCharge,0.24072619880365026
NumRadicalElectrons,0
NumValenceElectrons,106
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,323.02620308000047
MZ,0.8235294117647058
Mi,1.1361457170454659
Mm,0.7939290944085569
Mp,0.7139115005283552
Mv,0.6510577639156621
SZ,28.0
Si,38.62895437954584
Sm,26.993589209890935
Sp,24.272991017964078
Sv,22.135963973132508
nB,0
nC,11
nF,0
nH,15
nI,0
nN,3
nO,2
nP,0
nS,1
nX,2
ABC,12.903269520695233
AMW,9.500770678823542
IC0,1.9871100694473536
IC1,3.7267374734123866
IC2,4.381580488309163
IC3,4.734521664779751
IC4,4.734521664779751
IC5,4.734521664779751
Mpe,0.9913494809688581
Mse,1.0269804207189068
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,80.48190000000001
SdO,24.035950491307638
SdS,0
Spe,33.705882352941174
SsF,0
SsI,0
Sse,34.91733430444283
StN,0
fMF,0.29411764705882354
nBr,0
nCl,2
BIC0,0.3733816079469992
BIC1,0.7002607714659967
BIC2,0.8233069688631144
BIC3,0.889625259936917
BIC4,0.889625259936917
BIC5,0.889625259936917
CIC0,3.1003527718029855
CIC1,1.3607253678379525
CIC2,0.7058823529411757
CIC3,0.35294117647058787
CIC4,0.35294117647058787
CIC5,0.35294117647058787
GGI1,3.5
GGI2,2.444444444444445
GGI3,1.5625
GGI4,1.0533333333333335
GGI5,0.4027777777777778
GGI6,0.20081632653061224
GGI7,0.08680555555555555
GGI8,0.05316200554295791
GGI9,0.015625
JGI1,0.19444444444444445
JGI2,0.0977777777777778
JGI3,0.06009615384615385
JGI4,0.04388888888888889
JGI5,0.020138888888888887
JGI6,0.018256029684601112
JGI7,0.012400793650793648
JGI8,0.013290501385739478
JGI9,0.015625
MIC0,28.349467043315837
MIC1,40.352369400017025
MIC2,44.89586292373886
MIC3,45.25162762962121
MIC4,45.25162762962121
MIC5,45.25162762962121
MPC2,25
MPC3,32
MPC4,41
MPC5,50
MPC6,44
MPC7,46
MPC8,42
MPC9,37
Mare,0.9977647058823529
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.19369186998403504
RPCG,0.14164984520986298
SIC0,0.39058959867684934
SIC1,0.7325336006771641
SIC2,0.8612506125415371
SIC3,0.9306253062707686
SIC4,0.9306253062707686
SIC5,0.9306253062707686
SaaN,3.962968868102797
SaaO,0
SaaS,0
Sare,33.924
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,67.56174236121002
TIC1,126.70907409602114
TIC2,148.97373660251156
TIC3,160.97373660251154
TIC4,160.97373660251154
TIC5,160.97373660251154
Vabc,255.73189790173032
WPol,26
apol,40.53589499999999
bpol,23.864104999999995
nRot,4
ABCGG,11.220960728700888
ATS0Z,1520.0
ATS0d,101.0
ATS0i,5616.774120222635
ATS0m,6243.919040000001
ATS0p,60.17830157273501
ATS0v,7892.38531289317
ATS1Z,1107.0
ATS1d,124.0
ATS1i,4948.801399273079
ATS1m,4210.481726
ATS1p,64.16467748000001
ATS1v,8780.30509664028
ATS2Z,1365.0
ATS2d,185.0
ATS2i,8062.347564775777
ATS2m,5141.969286
ATS2p,88.865709484547
ATS2v,12178.003033625038
ATS3Z,1505.0
ATS3d,210.0
ATS3i,10588.64809458653
ATS3m,5580.263382000001
ATS3p,103.005701915037
ATS3v,13490.171479061979
ATS4Z,1510.0
ATS4d,187.0
ATS4i,10516.438695366562
ATS4m,5516.328856
ATS4p,95.797101939641
ATS4v,12697.496422194648
ATS5Z,1218.0
ATS5d,151.0
ATS5i,9874.970415643194
ATS5m,4315.0149870000005
ATS5p,78.211987201943
ATS5v,10683.349197328842
ATS6Z,697.0
ATS6d,111.0
ATS6i,8879.374511858692
ATS6m,2314.4693309999993
ATS6p,57.491158498792004
ATS6v,7596.7555005801605
ATS7Z,426.0
ATS7d,82.0
ATS7i,6495.0486562159895
ATS7m,1398.392271
ATS7p,45.01220415849
ATS7v,5448.830967667651
ATS8Z,298.0
ATS8d,60.0
ATS8i,5961.047866529689
ATS8m,923.22762
ATS8p,32.320408708188005
ATS8v,3725.9604028596577
