DLiP-ID,C001YS
DLiP-Mol-ID,27158
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14N4S/c1-17-16(21)19-12-6-4-5-11(9-12)15-10-18-13-7-2-3-8-14(13)20-15/h2-10H,1H3,(H2,17,19,21)"
Standard Inchi Key(RDKit),LKPOXZKRWJOAIR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN=C(S)Nc1cccc(-c2cnc3ccccc3n2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),294.383
MW Monoisotopic(RDKit),294.093917448
MolLogP(RDKit),3.6243
XLogP(SDF),
XLogP(CDK),3.033
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),50.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.43097578037143
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,90259.21650616438
qed,0.43097578037142986
Chi0,14.656489770562878
Chi1,10.25835149307306
TPSA,50.17
Chi0n,11.485006804706467
Chi0v,12.379433995706384
Chi1n,6.5108390828273714
Chi1v,6.95805267832733
Chi2n,4.4969752229366975
Chi2v,4.920582020686677
Chi3n,3.074836038120574
Chi3v,3.386639436995564
Chi4n,2.0375584849487267
Chi4v,2.166657929822308
MolMR,90.94170000000001
MolWt,294.38300000000004
fr_SH,1
Kappa1,13.577000659817138
Kappa2,5.929209252286176
Kappa3,3.0296061566319605
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,813.9909669865608
MolLogP,3.6243000000000016
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9966482497312317
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,4.992404732635669
SMR_VSA5,0.0
SMR_VSA6,12.36446058668352
SMR_VSA7,54.727780119305955
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.93959338085233
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,9.976383253582878
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,12.628789148012991
PEOE_VSA6,24.26546827384644
PEOE_VSA7,24.26546827384644
PEOE_VSA8,18.298509749057747
PEOE_VSA9,22.924173001694058
RingCount,3
SMR_VSA10,34.51722862750712
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,294.093917448
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.1676517695780495
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,22.183280794149656
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,59.720184851941625
SlogP_VSA7,0.0
SlogP_VSA8,22.29078092177798
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,5.1676517695780495
EState_VSA4,27.97816719646154
EState_VSA5,0.0
EState_VSA6,13.244515554290267
EState_VSA7,48.53093654769288
EState_VSA8,32.90593952654941
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,12.628789148012991
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,40.49994934384154
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.0625
VSA_EState10,4.222272878380682
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.3999999999999995
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,280.27099999999996
MaxEStateIndex,4.64626952632905
MinEStateIndex,0.5664311620985503
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0952380952380953
FpDensityMorgan2,1.9047619047619047
FpDensityMorgan3,2.7142857142857144
MaxPartialCharge,0.1571050948483765
MinPartialCharge,-0.33520351082577676
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,4.64626952632905
MinAbsEStateIndex,0.5664311620985503
NumAliphaticRings,0
NumRotatableBonds,2
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.33520351082577676
MinAbsPartialCharge,0.1571050948483765
NumRadicalElectrons,0
NumValenceElectrons,104
fr_para_hydroxylation,2
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,294.0939174480004
MZ,0.7333333333333334
Mi,1.1140007992682255
Mm,0.7002533392009704
Mp,0.7417468263473056
Mv,0.6860486755255736
SZ,25.666666666666668
Si,38.99002797438789
Sm,24.508866872033966
Sp,25.961138922155698
Sv,24.011703643395077
nB,0
nC,16
nF,0
nH,14
nI,0
nN,4
nO,0
nP,0
nS,1
nX,0
ABC,16.291965537992017
AMW,8.402683355657155
IC0,1.5491981909790677
IC1,3.378305516512272
IC2,4.057575159678482
IC3,4.68614658824991
IC4,4.822000516883152
IC5,4.936286231168866
MID,43.17695404807745
Mpe,0.9673949579831931
Mse,0.9984080740817817
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,90.94170000000001
SdO,0
SdS,0
Spe,33.85882352941176
SsF,0
SsI,0
