DLiP-ID,C001Z9
DLiP-Mol-ID,27209
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16O4/c1-12-3-5-14(6-4-12)17(20)11-22-15-7-8-16-13(2)9-19(21)23-18(16)10-15/h3-10H,11H2,1-2H3"
Standard Inchi Key(RDKit),QBRKOJSHUBZUFD-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(C(=O)COc2ccc3c(C)cc(=O)oc3c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),308.333
MW Monoisotopic(RDKit),308.104858992
MolLogP(RDKit),3.67154
XLogP(SDF),
XLogP(CDK),4.8
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),56.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.544860742123453
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,175423.3136882176
qed,0.5448607421234534
Chi0,16.396976746569035
Chi1,11.024877143252587
TPSA,56.510000000000005
Chi0n,12.958902096559008
Chi0v,12.958902096559008
Chi1n,7.299600597295876
Chi1v,7.299600597295876
Chi2n,5.484290541522568
Chi2v,5.484290541522568
Chi3n,3.6662963113923865
Chi3v,3.6662963113923865
Chi4n,2.3666962975919357
Chi4v,2.3666962975919357
MolMR,88.22550000000001
MolWt,308.333
fr_SH,0
Kappa1,15.032579420487952
Kappa2,6.084896581778482
Kappa3,3.3142800042392775
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,920.2476321556204
MolLogP,3.671540000000002
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.776665274225453
SMR_VSA1,13.948551074925216
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,6.606881964512918
SMR_VSA7,75.64141452593368
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,132.87133656848607
NHOHCount,0
PEOE_VSA1,9.154013890853395
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.828919765543436
PEOE_VSA7,31.54366002800146
PEOE_VSA8,23.08240984308501
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,16.75248930247198
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,308.104858992
NumHDonors,0
PEOE_VSA10,11.332531974926148
PEOE_VSA11,12.390126910877857
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.625586319077987
SlogP_VSA1,10.362449272878036
SlogP_VSA2,12.390126910877857
SlogP_VSA3,0.0
SlogP_VSA4,13.847474399381248
SlogP_VSA5,21.48489165916281
SlogP_VSA6,57.74262466881805
SlogP_VSA7,0.0
SlogP_VSA8,10.969244356107037
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.625586319077987
EState_VSA2,12.390126910877857
EState_VSA3,16.895983466623143
EState_VSA4,16.513127197858786
EState_VSA5,6.06636706846161
EState_VSA6,24.26546827384644
EState_VSA7,32.046575604766076
EState_VSA8,0.0
EState_VSA9,9.154013890853395
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.1672655552119835
VSA_EState9,50.666067778121345
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.15789473684210525
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.8799999999999994
