DLiP-ID,C001ZT
DLiP-Mol-ID,27357
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H12N4O3S/c1-18-11-10(13-6-7-14-11)15-19(16,17)9-4-2-8(12)3-5-9/h2-7H,12H2,1H3,(H,13,15)"
Standard Inchi Key(RDKit),KXRZBTAEDBELFD-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1nccnc1NS(=O)(=O)c1ccc(N)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),280.309
MW Monoisotopic(RDKit),280.063011244
MolLogP(RDKit),0.8682
XLogP(SDF),
XLogP(CDK),0.765
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),107.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.804521673223259
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,19059.28973600465
qed,0.8045216732232587
Chi0,13.880468888623982
Chi1,9.0260052326085
TPSA,107.2
Chi0n,10.06887223718275
Chi0v,10.885368818110477
Chi1n,5.260941107461336
Chi1v,6.744104355055729
Chi2n,3.588759248175617
Chi2v,5.271161489585136
Chi3n,2.2794569795641744
Chi3v,3.634302851211476
Chi4n,1.3778253723988358
Chi4v,2.384622607939703
MolMR,70.24690000000002
MolWt,280.30899999999997
fr_SH,0
Kappa1,13.090417626335174
Kappa2,5.105224589522321
Kappa3,2.9109330428337183
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,670.5945828576389
MolLogP,0.8681999999999999
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.3352837741328245
SMR_VSA1,13.154659938128987
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,17.565559882891808
SMR_VSA7,36.65915541707259
SMR_VSA8,0.0
SMR_VSA9,5.879988336435371
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.05680940439335
NHOHCount,3
PEOE_VSA1,10.470530430962235
PEOE_VSA2,4.722094864452088
PEOE_VSA3,18.385754026223353
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,24.26546827384644
PEOE_VSA8,18.081073417909714
PEOE_VSA9,12.005281016795308
RingCount,2
SMR_VSA10,21.528540205926173
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,280.063011244
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.817862777835028
PEOE_VSA13,15.903279489842955
PEOE_VSA14,0.0
SlogP_VSA1,15.192625295414324
SlogP_VSA2,25.495551567500886
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,41.55463889259037
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
