DLiP-ID,C0020C
DLiP-Mol-ID,27503
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16Cl2N4O4S/c1-10-11(2)23-28-17(10)24-29(26,27)14-6-3-12(4-7-14)21-18(25)22-13-5-8-15(19)16(20)9-13/h3-9,24H,1-2H3,(H2,21,22,25)"
Standard Inchi Key(RDKit),MFDXKWQZOYSRTF-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1noc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)cc2)c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),455.323
MW Monoisotopic(RDKit),454.026931352
MolLogP(RDKit),5.04304
XLogP(SDF),
XLogP(CDK),3.995
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),113.33
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.498804028518978
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2571596.4856499047
qed,0.49880402851897815
Chi0,21.181433796945203
Chi1,13.652704228094166
TPSA,113.33000000000001
Chi0n,15.28583587816511
Chi0v,17.614190351129746
Chi1n,8.243376447613825
Chi1v,10.482468641226673
Chi2n,6.059996891451098
Chi2v,8.556799386341828
Chi3n,3.9841773230795945
Chi3v,6.070098713880713
Chi4n,2.2762311078712765
Chi4v,3.6209944954906788
MolMR,112.33090000000001
MolWt,455.3230000000002
fr_SH,0
Kappa1,20.970808207377242
Kappa2,8.318239907566262
Kappa3,4.999593644834138
fr_ArN,0
fr_COO,0
