DLiP-ID,C0020U
DLiP-Mol-ID,27557
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H21NO2/c1-11(2)14-10-16(20)21-18-13-6-4-8-19-7-3-5-12(17(13)19)9-15(14)18/h9-11H,3-8H2,1-2H3"
Standard Inchi Key(RDKit),WWZVTLIQPPVZEL-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)c1cc(=O)oc2c3c4c(cc12)CCCN4CCC3
SMILES(SDF),
MW(SDF),
MW(RDKit),283.371
MW Monoisotopic(RDKit),283.157228912
MolLogP(RDKit),3.6152
XLogP(SDF),
XLogP(CDK),4.792
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),33.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.749556379539049
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,93967.62345088864
qed,0.7495563795390494
Chi0,14.560113453385565
Chi1,10.147867045540844
TPSA,33.45
Chi0n,12.73840167111585
Chi0v,12.73840167111585
Chi1n,8.023617758019313
Chi1v,8.023617758019313
Chi2n,6.609167957029654
Chi2v,6.609167957029654
Chi3n,4.881494067195384
Chi3v,4.881494067195384
Chi4n,3.9744203686946995
Chi4v,3.9744203686946995
MolMR,85.42800000000004
MolWt,283.371
fr_SH,0
Kappa1,12.932238224718516
Kappa2,4.618951746656485
Kappa3,1.90325663286727
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,770.8624800361638
MolLogP,3.6152000000000024
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1195064917677966
SMR_VSA1,4.417150937053347
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,45.448666937246685
SMR_VSA6,17.98942254267563
SMR_VSA7,39.24321211516401
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,124.1120569679994
NHOHCount,0
PEOE_VSA1,9.317060667903824
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,13.847474399381248
PEOE_VSA7,48.794462589721036
PEOE_VSA8,35.792941861132114
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,16.656630630790602
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,283.15722891200005
NumHDonors,0
PEOE_VSA10,5.583020141642242
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.625586319077987
SlogP_VSA1,10.525496049928465
SlogP_VSA2,13.08951281182515
SlogP_VSA3,12.841643245852019
