DLiP-ID,C0028G
DLiP-Mol-ID,29265
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H20N2O/c18-15-6-3-5-14-11-8-12(10-17(14)15)13-4-1-2-7-16(13)9-11/h3,5-6,11-13H,1-2,4,7-10H2/t11-,12+,13+/m0/s1"
Standard Inchi Key(RDKit),FQEQMASDZFXSJI-YNEHKIRRSA-N
Canonical SMILES(RDKit),O=c1cccc2n1C[C@H]1C[C@H]2CN2CCCC[C@H]12
SMILES(SDF),
MW(SDF),
MW(RDKit),244.338
MW Monoisotopic(RDKit),244.15756326
MolLogP(RDKit),1.8199
XLogP(SDF),
XLogP(CDK),2.392
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),25.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.695318277654272
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,26711.41015465555
qed,0.6953182776542725
Chi0,12.11251969619286
Chi1,8.826499840494925
TPSA,25.240000000000002
Chi0n,10.71652456490737
Chi0v,10.71652456490737
Chi1n,7.265486784633319
Chi1v,7.265486784633319
Chi2n,6.150263052549866
Chi2v,6.150263052549866
Chi3n,5.1693999391969925
Chi3v,5.1693999391969925
Chi4n,4.3904885760426815
Chi4v,4.3904885760426815
MolMR,70.76200000000004
MolWt,244.33799999999994
fr_SH,0
Kappa1,10.797953349086457
Kappa2,3.9535992028241194
Kappa3,1.4962529829420141
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,521.4700410145
