DLiP-ID,C0029E
DLiP-Mol-ID,29455
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H11N3O3/c17-13-4-2-1-3-10(13)9-14-15-11-5-7-12(8-6-11)16(18)19/h1-9,15,17H/b14-9+"
Standard Inchi Key(RDKit),VQIJGQPVYQKSSH-NTEUORMPSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccc(N/N=C/c2ccccc2O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),257.249
MW Monoisotopic(RDKit),257.080041212
MolLogP(RDKit),2.7464
XLogP(SDF),
XLogP(CDK),3.827
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),87.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.500477356032763
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,22719.61527216266
qed,0.5004773560327626
Chi0,13.664925939000156
Chi1,9.16470379794645
TPSA,87.76
Chi0n,9.854289790134235
Chi0v,9.854289790134235
Chi1n,5.481560263497567
Chi1v,5.481560263497567
Chi2n,3.7328018231497144
Chi2v,3.7328018231497144
Chi3n,2.412162056567738
Chi3v,2.412162056567738
Chi4n,1.430733665996995
Chi4v,1.430733665996995
MolMR,72.41990000000003
MolWt,257.249
fr_SH,0
Kappa1,12.56389939132802
Kappa2,5.632725676926392
Kappa3,3.28660988030329
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,608.7854362792872
MolLogP,2.7464000000000004
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0254344263737347
SMR_VSA1,10.029838443658377
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.101407525739723
SMR_VSA5,0.0
SMR_VSA6,5.425791397110385
SMR_VSA7,64.20870630815544
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,108.71596960435659
NHOHCount,2
PEOE_VSA1,5.106527394840706
PEOE_VSA2,15.540109665875956
PEOE_VSA3,0.0
PEOE_VSA4,5.101407525739723
