DLiP-ID,C0029P
DLiP-Mol-ID,29488
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H26FN3O2S/c26-22-4-1-3-21(17-22)25(30,24-28-11-16-32-24)20-9-13-29(14-10-20)12-2-15-31-23-7-5-19(18-27)6-8-23/h1,3-8,11,16-17,20,30H,2,9-10,12-15H2"
Standard Inchi Key(RDKit),YAYXNECXQXPQIJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1ccc(OCCCN2CCC(C(O)(c3cccc(F)c3)c3nccs3)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),451.567
MW Monoisotopic(RDKit),451.172976292
MolLogP(RDKit),4.57088
XLogP(SDF),
XLogP(CDK),3.642
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),69.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.508250075385298
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,29362964.4157869
qed,0.5082500753852977
Chi0,22.390694289244873
Chi1,15.590703392046287
TPSA,69.38
Chi0n,17.783915865328506
Chi0v,18.60041244625623
Chi1n,10.830549961954127
Chi1v,11.710202773209021
Chi2n,8.068096204946993
Chi2v,8.962662323385405
Chi3n,6.072316348791835
Chi3v,6.969985172776727
Chi4n,4.349252143379852
Chi4v,5.185773206225674
MolMR,121.94580000000002
MolWt,451.5670000000001
fr_SH,0
Kappa1,22.405584587754166
Kappa2,10.218594266350042
Kappa3,4.989049635114075
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1043.8039084475092
MolLogP,4.570880000000004
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.3167816352058508
SMR_VSA1,14.233805396315574
SMR_VSA2,5.261891554738487
SMR_VSA3,9.883888251797686
SMR_VSA4,5.917906046161393
SMR_VSA5,24.863515679761715
SMR_VSA6,26.241151182250643
SMR_VSA7,82.05959041106453
SMR_VSA8,0.0
SMR_VSA9,11.818733146076179
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,191.27492050972108
NHOHCount,1
PEOE_VSA1,14.743300079491233
PEOE_VSA2,0.0
PEOE_VSA3,9.374393568622029
PEOE_VSA4,5.261891554738487
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.13273413692322
PEOE_VSA7,74.31363158306984
PEOE_VSA8,24.03956879415296
