DLiP-ID,C002A8
DLiP-Mol-ID,29634
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H20F4N6S/c24-20-16-7-13(1-2-18(16)32-19(20)10-28)11-33-5-3-14(4-6-33)31-21-17-8-15(9-23(25,26)27)34-22(17)30-12-29-21/h1-2,7-8,12,14,32H,3-6,9,11H2,(H,29,30,31)"
Standard Inchi Key(RDKit),KUBSRASLWYNRKJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1[nH]c2ccc(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)cc2c1F
SMILES(SDF),
MW(SDF),
MW(RDKit),488.514
MW Monoisotopic(RDKit),488.14062852
MolLogP(RDKit),5.36468
XLogP(SDF),
XLogP(CDK),4.184
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),80.63
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.369652157441571
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,60961193.47253308
qed,0.36965215744157087
Chi0,23.871668241257193
Chi1,16.286139497841102
TPSA,80.63000000000001
Chi0n,17.91570286675765
Chi0v,18.73219944768537
Chi1n,10.781294735481662
Chi1v,11.597791316409388
Chi2n,8.446251091064335
Chi2v,9.561450962353584
Chi3n,6.001136648639435
Chi3v,7.044185667315926
Chi4n,4.373717773295197
Chi4v,5.4000771977924416
MolMR,122.06740000000005
MolWt,488.5140000000002
fr_SH,0
Kappa1,22.55671145914783
Kappa2,8.848799811640356
Kappa3,4.691303959397571
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1378.119354117016
MolLogP,5.3646800000000034
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.2208516181776226
SMR_VSA1,17.56166019069928
SMR_VSA2,5.261891554738487
SMR_VSA3,19.8518452936921
SMR_VSA4,0.0
SMR_VSA5,38.02536062128204
SMR_VSA6,18.406301415831482
SMR_VSA7,52.544535869903626
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.78371106537548
NHOHCount,2
PEOE_VSA1,10.30076712495354
PEOE_VSA2,4.899909730850478
PEOE_VSA3,14.358372089569237
PEOE_VSA4,18.433136697762947
PEOE_VSA5,11.336785877934737
PEOE_VSA6,6.06636706846161
PEOE_VSA7,36.60419594293385
PEOE_VSA8,41.45618217266804
PEOE_VSA9,11.807045837390806
RingCount,5
SMR_VSA10,38.274194221936185
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,488.14062851999995
NumHDonors,2
PEOE_VSA10,23.044800585012407
PEOE_VSA11,11.511148835894357
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.176298517443475
SlogP_VSA1,5.316788604006331
SlogP_VSA2,45.15949745210869
SlogP_VSA3,12.965578028838586
SlogP_VSA4,17.148333708576654
SlogP_VSA5,28.976169926098773
SlogP_VSA6,30.59278834861098
SlogP_VSA7,0.0
SlogP_VSA8,21.11954556616642
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,4
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,1
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.41434098141538
EState_VSA2,16.61291601769772
EState_VSA3,33.48216474991402
EState_VSA4,42.8313934273089
EState_VSA5,12.393687143226153
EState_VSA6,12.13273413692322
EState_VSA7,12.135588381253884
EState_VSA8,25.16863389769843
EState_VSA9,5.261891554738487
SlogP_VSA10,23.37952296853431
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,52.60130519876692
VSA_EState9,38.27486372801789
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,17.56166019069928
EState_VSA11,0.0
FractionCSP3,0.34782608695652173
VSA_EState10,1.0404977398818567
fr_C_O_noCOO,0
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,1
HallKierAlpha,-3.2299999999999986
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,468.35400000000016
MaxEStateIndex,14.298923493096723
MinEStateIndex,-4.259786412928535
NumHeteroatoms,11
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,3
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1764705882352942
FpDensityMorgan2,1.9705882352941178
FpDensityMorgan3,2.7058823529411766
MaxPartialCharge,0.39332838947681936
MinPartialCharge,-0.36660157305211016
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,14.298923493096723
MinAbsEStateIndex,0.06109519001356101
NumAliphaticRings,1
NumRotatableBonds,5
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.39332838947681936
MinAbsPartialCharge,0.36660157305211016
NumRadicalElectrons,0
NumValenceElectrons,176
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,3
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,488.1406285200005
MZ,0.7777777777777777
Mi,1.1482681535029162
Mm,0.7531809002241774
Mp,0.7038573963184743
Mv,0.6803580146399203
SZ,41.99999999999999
Si,62.00648028915748
Sm,40.67176861210558
Sp,38.00829940119761
Sv,36.73933279055569
nB,0
nC,23
nF,4
nH,20
nI,0
nN,6
nO,0
nP,0
nS,1
nX,4
ABC,27.254002780024255
AMW,9.039641268888898
IC0,1.7921048745452188
IC1,4.227660755636904
IC2,5.074241437308587
IC3,5.222389585456737
IC4,5.222389585456737
IC5,5.222389585456737
MID,70.17445569364351
Mpe,1.0122730573710963
Mse,1.0326063499770712
NdO,0
NdS,0
NsF,4
NsI,0
NtN,1
SMR,122.06740000000005
SdO,0
SdS,0
Spe,54.6627450980392
SsF,52.60130519876692
SsI,0
Sse,55.76074289876185
StN,8.996932269464558
fMF,0.48148148148148145
nBr,0
nCl,0
AMID,2.0639545792248093
BIC0,0.29439274148852596
BIC1,0.6944864988725846
BIC2,0.8335560429090618
BIC3,0.8578926429034399
BIC4,0.8578926429034399
BIC5,0.8578926429034399
CIC0,3.9627826276182496
CIC1,1.5272267465265639
CIC2,0.6806460648548809
CIC3,0.5324979167067312
CIC4,0.5324979167067312
CIC5,0.5324979167067312
GGI1,9.0
GGI2,3.333333333333335
GGI3,3.083333333333333
GGI4,1.8438888888888894
GGI5,1.0702777777777777
GGI6,0.9413151927437642
GGI7,0.5825892857142856
GGI8,0.31469671201814053
GGI9,0.27375000000000005
JGI1,0.23684210526315785
JGI2,0.05952380952380955
JGI3,0.05817610062893082
JGI4,0.03763038548752835
JGI5,0.023783950617283948
JGI6,0.022412266493899144
JGI7,0.01456473214285714
JGI8,0.010489890400604687
JGI9,0.009125000000000001
MIC0,20.46918635753204
MIC1,45.60430890372278
MIC2,48.976699267884875
MIC3,49.1260326012182
MIC4,49.1260326012182
MIC5,49.1260326012182
MPC2,56
MPC3,72
MPC4,99
MPC5,123
MPC6,136
MPC7,162
MPC8,183
MPC9,186
Mare,1.027851851851852
NaaN,2
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,1
RNCG,0.13450504502176214
RPCG,0.14431103580506652
SIC0,0.31140571798692895
SIC1,0.7346209207473778
SIC2,0.8817273031663952
SIC3,0.9074703169251274
SIC4,0.9074703169251274
SIC5,0.9074703169251274
SaaN,8.396291824961548
SaaO,0
SaaS,1.0404977398818567
Sare,55.504000000000005
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,1.826231430200228
TIC0,96.77366322544182
TIC1,228.29368080439284
TIC2,274.0090376146637
TIC3,282.0090376146638
TIC4,282.0090376146638
TIC5,282.0090376146638
Vabc,383.37705875619747
WPol,53
apol,63.47386
bpol,32.67614
nRot,5
ABCGG,19.35652385318254
ATS0Z,1722.0
ATS0d,208.0
ATS0i,9203.60925397508
ATS0m,6987.173253599082
ATS0p,89.94795409697997
ATS0s,415.0103737997256
ATS0v,13127.401927678527
ATS1Z,1754.0
ATS1d,263.0
ATS1i,8669.332616770804
ATS1m,6833.209643340801
ATS1p,112.73950218000002
ATS1s,199.09104938271605
ATS1v,16662.436845467255
ATS2Z,2862.0
ATS2d,415.0
ATS2i,16407.407842704994
ATS2m,11111.790788625312
ATS2p,175.382143049094
ATS2s,497.2932098765433
ATS2v,25372.059498139028
