DLiP-ID,C002GW
DLiP-Mol-ID,31150
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12Cl2N2O/c1-20-14-7-6-12(18)8-13(14)16(19-9-15(20)21)10-2-4-11(17)5-3-10/h2-8H,9H2,1H3"
Standard Inchi Key(RDKit),PUMYFTJOWAJIKF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(Cl)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),319.191
MW Monoisotopic(RDKit),318.032668364
MolLogP(RDKit),3.8072
XLogP(SDF),
XLogP(CDK),3.54
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),32.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.786613647446564
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,71072.68080774811
qed,0.7866136474465636
Chi0,14.982763184195939
Chi1,10.058550648063802
TPSA,32.67
Chi0n,11.307163092996163
Chi0v,12.819020985033072
Chi1n,6.42930484035967
Chi1v,7.185233786378125
Chi2n,4.785954129370112
Chi2v,5.658825690314082
Chi3n,3.439266144399179
Chi3v,3.926339562526403
Chi4n,2.317232996879075
Chi4v,2.615324178501685
MolMR,86.82000000000002
MolWt,319.1910000000001
fr_SH,0
Kappa1,14.112237163246272
Kappa2,5.507512775175046
Kappa3,2.6680708172355065
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,738.4422380249487
MolLogP,3.8072000000000026
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.203795480310673
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,4.992404732635669
SMR_VSA5,0.0
SMR_VSA6,18.492338119440245
SMR_VSA7,63.63673909010791
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,132.3656453394888
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,9.786941916707491
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,35.33461391738825
PEOE_VSA7,30.33183534230805
PEOE_VSA8,28.219841593553834
PEOE_VSA9,11.399071277454265
RingCount,3
SMR_VSA10,40.5081307872708
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,318.03266836399996
NumHDonors,0
PEOE_VSA10,6.544756405912575
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,25.21129312071197
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,11.126902983393991
SlogP_VSA6,47.456974211866935
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
