DLiP-ID,C002IR
DLiP-Mol-ID,31528
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14N2O3/c17-13(14(18)16-5-7-19-8-6-16)11-9-15-12-4-2-1-3-10(11)12/h1-4,9,15H,5-8H2"
Standard Inchi Key(RDKit),LMNYZFUEOJRQSR-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCOCC1)c1c[nH]c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),258.277
MW Monoisotopic(RDKit),258.100442308
MolLogP(RDKit),1.2094
XLogP(SDF),
XLogP(CDK),1.283
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),62.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.650242511442613
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,43407.94805296229
qed,0.6502425114426129
Chi0,13.242276208189782
Chi1,9.270856947829097
TPSA,62.4
Chi0n,10.387136937585868
Chi0v,10.387136937585868
Chi1n,6.246361427816395
Chi1v,6.246361427816395
Chi2n,4.4816313557753205
Chi2v,4.4816313557753205
Chi3n,3.326410349369105
Chi3v,3.326410349369105
Chi4n,2.284631188439299
Chi4v,2.284631188439299
MolMR,70.02820000000004
MolWt,258.27700000000004
fr_SH,0
Kappa1,11.922863157563292
Kappa2,4.854324283715956
Kappa3,2.125535800844382
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,626.4077144428546
MolLogP,1.2093999999999994
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8852057466593073
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,26.303276740850986
SMR_VSA7,36.02576333715651
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,109.70247270489467
NHOHCount,1
PEOE_VSA1,14.620751205597735
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,6.06636706846161
PEOE_VSA8,30.18928131551928
PEOE_VSA9,18.777215420722833
RingCount,3
SMR_VSA10,22.593349607797503
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,258.100442308
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.690424675716445
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,47.87758966836512
SlogP_VSA3,9.53140013787187
SlogP_VSA4,0.0
SlogP_VSA5,10.357988675768818
SlogP_VSA6,30.462311845459514
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.690424675716445
EState_VSA2,0.0
EState_VSA3,31.86672823254798
EState_VSA4,10.902924932081056
EState_VSA5,0.0
EState_VSA6,11.096753302463554
EState_VSA7,24.26546827384644
EState_VSA8,4.9839785209472085
EState_VSA9,4.736862953800049
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,46.33333333333333
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.2857142857142857
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1399999999999997
NumHAcceptors,3
fr_morpholine,1
fr_nitro_arom,0
fr_phos_ester,0
