DLiP-ID,C002IV
DLiP-Mol-ID,31463
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H14N2O4S3/c22-16(23)6-3-9-21-18(24)15(28-19(21)26)10-11-7-8-13(25-11)17-20-12-4-1-2-5-14(12)27-17/h1-2,4-5,7-8,10H,3,6,9H2,(H,22,23)/b15-10+"
Standard Inchi Key(RDKit),WVXZZGALNSGPLY-XNTDXEJSSA-N
Canonical SMILES(RDKit),O=C(O)CCCN1C(=O)/C(=C\c2ccc(-c3nc4ccccc4s3)o2)SC1=S
SMILES(SDF),
MW(SDF),
MW(RDKit),430.532
MW Monoisotopic(RDKit),430.011569928
MolLogP(RDKit),4.6223
XLogP(SDF),
XLogP(CDK),1.957
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.451069602441155
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,3502233.8719168003
qed,0.45106960244115507
Chi0,19.672997628507925
Chi1,13.50804039084698
TPSA,83.64
Chi0n,14.453902757170079
Chi0v,16.903392499953256
Chi1n,8.440316593349602
Chi1v,10.481558045668917
Chi2n,6.019398223032047
Chi2v,8.725812694154572
Chi3n,4.050759432606365
Chi3v,6.47949260510086
Chi4n,2.7333282681527717
Chi4v,4.949425914806474
MolMR,114.07080000000003
MolWt,430.5320000000001
fr_SH,0
Kappa1,18.8539628276909
Kappa2,7.86218217655697
Kappa3,3.865993900226073
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,1
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1082.2891410127456
MolLogP,4.622300000000003
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.508002408506399
SMR_VSA1,19.112752700037696
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,12.841643245852019
SMR_VSA6,6.544756405912575
SMR_VSA7,47.06358634353415
SMR_VSA8,0.0
SMR_VSA9,10.767871115727207
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,173.40760699724748
NHOHCount,1
PEOE_VSA1,9.523678331894054
PEOE_VSA2,14.48898409899412
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,36.112492529361035
PEOE_VSA7,30.686289896772447
PEOE_VSA8,19.041598135672466
PEOE_VSA9,15.12175714797541
RingCount,4
SMR_VSA10,67.80620411415411
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,430.01156992800003
NumHDonors,1
PEOE_VSA10,10.080781504433414
PEOE_VSA11,10.767871115727207
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,37.73219115541329
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,18.60189066472646
SlogP_VSA6,45.720489861713055
SlogP_VSA7,0.0
SlogP_VSA8,27.06051185664645
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,12.328001352277514
EState_VSA3,33.71174346603649
EState_VSA4,15.224244330938129
EState_VSA5,16.66179468024159
EState_VSA6,23.479173053230227
EState_VSA7,30.33183534230805
EState_VSA8,4.9839785209472085
EState_VSA9,21.74155177494075
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,35.316544270372546
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,6.289245355013753
VSA_EState9,55.05746927635712
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,1
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.15789473684210525
VSA_EState10,7.986618701962455
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.4899999999999984
NumHAcceptors,7
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,28
HeavyAtomMolWt,416.42000000000013
MaxEStateIndex,12.540147725016954
MinEStateIndex,-0.8898653961825171
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2857142857142858
FpDensityMorgan2,2.107142857142857
FpDensityMorgan3,2.892857142857143
MaxPartialCharge,0.3029088264976561
MinPartialCharge,-0.48122956075775286
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.540147725016954
MinAbsEStateIndex,0.00017983925815645563
NumAliphaticRings,1
NumRotatableBonds,6
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.48122956075775286
MinAbsPartialCharge,0.3029088264976561
NumRadicalElectrons,0
NumValenceElectrons,142
