DLiP-ID,C002LE
DLiP-Mol-ID,32079
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H22ClN3O3S/c1-22-9-11-23(12-10-22)19(24)16-7-5-15(6-8-16)14-21-27(25,26)18-4-2-3-17(20)13-18/h2-8,13,21H,9-12,14H2,1H3"
Standard Inchi Key(RDKit),MWSBFFPFKHXJJA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1CCN(C(=O)c2ccc(CNS(=O)(=O)c3cccc(Cl)c3)cc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),407.923
MW Monoisotopic(RDKit),407.107040244
MolLogP(RDKit),2.2061
XLogP(SDF),
XLogP(CDK),2.393
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),69.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.824516619220795
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,1136792.0606662538
qed,0.8245166192207948
Chi0,19.440946820939043
Chi1,12.848173775453851
TPSA,69.72
Chi0n,15.059720885314343
Chi0v,16.632146412260525
Chi1n,8.670260654129414
Chi1v,10.531388374733034
Chi2n,6.574325598630323
Chi2v,8.777714609874705
Chi3n,4.564072008443423
Chi3v,6.198082839762468
Chi4n,2.85312019814369
Chi4v,4.171292886873356
MolMR,105.32000000000004
MolWt,407.9230000000001
fr_SH,0
Kappa1,19.821202706278473
Kappa2,8.39236679664236
Kappa3,5.0737902824347465
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,908.0520484297929
MolLogP,2.2060999999999993
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6136168456007067
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,14.521914326153045
SMR_VSA4,0.0
SMR_VSA5,11.440239881430351
SMR_VSA6,33.22669760632749
SMR_VSA7,64.6804728448282
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,164.3323547161633
NHOHCount,1
PEOE_VSA1,9.799819461700956
PEOE_VSA2,4.794537184071822
PEOE_VSA3,13.139891848781026
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.800041095617345
PEOE_VSA7,42.942958816682236
PEOE_VSA8,43.309866835001195
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,27.531410772991606
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,407.107040244
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,57.35149378170888
SlogP_VSA3,16.56804755932016
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,53.42642002321065
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,17.347419610781856
EState_VSA3,10.586084805438322
EState_VSA4,31.7424771153473
EState_VSA5,12.13273413692322
EState_VSA6,36.39820241076966
EState_VSA7,11.947581713527669
EState_VSA8,9.622004595302567
EState_VSA9,11.600939890232516
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,11.600939890232516
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,24.662817485842517
VSA_EState9,39.485975045005105
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.212334168400758
EState_VSA11,0.0
FractionCSP3,0.3157894736842105
VSA_EState10,2.2123185802635024
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
