DLiP-ID,C002V4
DLiP-Mol-ID,33214
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H14N2O4S/c18-15-11-3-1-2-10-13(5-4-12(16-15)14(10)11)22(19,20)17-6-8-21-9-7-17/h1-5H,6-9H2,(H,16,18)"
Standard Inchi Key(RDKit),ZDULWWLCYAFFSI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1Nc2ccc(S(=O)(=O)N3CCOCC3)c3cccc1c23
SMILES(SDF),
MW(SDF),
MW(RDKit),318.354
MW Monoisotopic(RDKit),318.067427928
MolLogP(RDKit),1.4264
XLogP(SDF),
XLogP(CDK),0.925
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),75.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.908610016842716
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,181681.60137223356
qed,0.9086100168427166
Chi0,15.319626477379408
Chi1,10.587353528756825
TPSA,75.71000000000001
Chi0n,11.703633518513595
Chi0v,12.520130099441321
Chi1n,7.038662149234805
Chi1v,8.478725478035445
Chi2n,5.309975134045094
Chi2v,7.216331998823179
Chi3n,4.081330543593631
Chi3v,6.038123897321377
Chi4n,3.013965457489886
Chi4v,4.6099444436850225
MolMR,81.47900000000003
MolWt,318.354
fr_SH,0
Kappa1,13.685688657407406
Kappa2,4.770571901241807
Kappa3,1.8619528674679058
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,885.7957441572669
MolLogP,1.4263999999999997
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9357944605051953
SMR_VSA1,17.949197122200808
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,31.62006534485732
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.2716549919339
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,18.19910120538483
PEOE_VSA8,35.1127990071353
PEOE_VSA9,18.109247404543613
RingCount,4
SMR_VSA10,32.39030558637224
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,318.067427928
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,44.93346944582766
SlogP_VSA3,14.760154107207633
SlogP_VSA4,0.0
SlogP_VSA5,10.357988675768818
SlogP_VSA6,35.227318817825825
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.80266320486928
EState_VSA3,48.32656293616114
EState_VSA4,0.0
EState_VSA5,4.305215991296234
EState_VSA6,30.33183534230805
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,4.736862953800049
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,27.216832482993194
VSA_EState9,32.297432917611495
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.212334168400758
EState_VSA11,0.0
FractionCSP3,0.26666666666666666
VSA_EState10,-3.597598733938019
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.9599999999999995
NumHAcceptors,4
fr_morpholine,1
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,22
HeavyAtomMolWt,304.2420000000001
MaxEStateIndex,12.890776643990929
MinEStateIndex,-3.597598733938019
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0909090909090908
FpDensityMorgan2,1.8636363636363635
FpDensityMorgan3,2.6363636363636362
MaxPartialCharge,0.2558874435223841
MinPartialCharge,-0.3787106619759795
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.890776643990929
MinAbsEStateIndex,0.1930366066179554
NumAliphaticRings,2
NumRotatableBonds,2
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3787106619759795
MinAbsPartialCharge,0.2558874435223841
NumRadicalElectrons,0
NumValenceElectrons,114
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,318.06742792800037
MZ,0.7685185185185186
Mi,1.117947104231484
Mm,0.736239465674983
Mp,0.7101314371257487
Mv,0.6765270258045547
SZ,27.666666666666668
Si,40.24609575233342
Sm,26.50462076429939
Sp,25.56473173652695
Sv,24.35497292896397
nB,0
nC,15
nF,0
nH,14
nI,0
nN,2
nO,4
nP,0
nS,1
nX,0
ABC,17.779476888363956
AMW,8.835206331333344
IC0,1.7836381169163613
IC1,3.5595314333579484
IC2,4.2363238771524
IC3,4.5588138903312005
IC4,4.5588138903312005
IC5,4.5588138903312005
MID,45.681030556060904
Mpe,0.9964052287581696
Mse,1.0261289147851425
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,81.47900000000003
SdO,37.702907888668165
SdS,0
Spe,35.87058823529411
SsF,0
SsI,0
Sse,36.940640932265126
StN,0
fMF,0.5277777777777778
nBr,0
nCl,0
AMID,2.07641047982095
BIC0,0.3211107364638976
BIC1,0.6408271662236301
BIC2,0.7626710077511704
BIC3,0.8207293126572841
BIC4,0.8207293126572841
BIC5,0.8207293126572841
CIC0,3.386286884525951
CIC1,1.6103935680843637
CIC2,0.933601124289912
CIC3,0.6111111111111116
CIC4,0.6111111111111116
CIC5,0.6111111111111116
