DLiP-ID,C002W1
DLiP-Mol-ID,33247
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N6/c26-12-13-28-24-22(15-27)21-11-14-31(17-20-9-5-2-6-10-20)18-23(21)25(30-24)29-16-19-7-3-1-4-8-19/h1-10H,11-14,16-18,26H2,(H2,28,29,30)"
Standard Inchi Key(RDKit),PJYONHUMXQIGRJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1c(NCCN)nc(NCc2ccccc2)c2c1CCN(Cc1ccccc1)C2
SMILES(SDF),
MW(SDF),
MW(RDKit),412.541
MW Monoisotopic(RDKit),412.237544896
MolLogP(RDKit),3.49428
XLogP(SDF),
XLogP(CDK),3.482
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),90.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.524708714490973
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,16313795.533795608
qed,0.524708714490973
Chi0,21.468044558434503
Chi1,15.27951954312824
TPSA,90.0
Chi0n,17.642241215891595
Chi0v,17.642241215891595
Chi1n,10.720439530369875
Chi1v,10.720439530369875
Chi2n,7.753784471244939
Chi2v,7.753784471244939
Chi3n,5.572436766556204
Chi3v,5.572436766556204
Chi4n,4.0340669958302895
Chi4v,4.0340669958302895
MolMR,124.52480000000003
MolWt,412.5410000000003
fr_SH,0
