DLiP-ID,C002X2
DLiP-Mol-ID,33284
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15N3O/c1-2-10-19-17-15(11-18)20-16(21-17)14-9-5-7-12-6-3-4-8-13(12)14/h3-9,19H,2,10H2,1H3"
Standard Inchi Key(RDKit),VDJBEDQSQAIJLA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCNc1oc(-c2cccc3ccccc23)nc1C#N
SMILES(SDF),
MW(SDF),
MW(RDKit),277.327
MW Monoisotopic(RDKit),277.1215121
MolLogP(RDKit),4.18838
XLogP(SDF),
XLogP(CDK),4.037
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),61.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.776376769377926
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,114119.44285373186
qed,0.7763767693779261
Chi0,14.656489770562878
Chi1,10.330029800345061
TPSA,61.85
Chi0n,11.758340928164257
Chi0v,11.758340928164257
Chi1n,6.96109606053954
Chi1v,6.96109606053954
Chi2n,4.762038079360373
Chi2v,4.762038079360373
Chi3n,3.288664951269416
Chi3v,3.288664951269416
Chi4n,2.281368078707326
Chi4v,2.281368078707326
MolMR,82.94070000000004
MolWt,277.327
fr_SH,0
Kappa1,13.195490638172728
Kappa2,5.676233589859665
Kappa3,2.4590282418752007
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,809.0084392461396
MolLogP,4.188380000000002
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.1083412022248225
SMR_VSA1,4.417150937053347
SMR_VSA2,5.261891554738487
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,13.344558822616634
SMR_VSA6,11.861545009918906
SMR_VSA7,48.15849747407973
SMR_VSA8,0.0
SMR_VSA9,17.523396726515177
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,122.58634942498274
NHOHCount,1
PEOE_VSA1,9.733939541059678
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,10.245870075685694
PEOE_VSA5,0.0
PEOE_VSA6,43.321939610460284
PEOE_VSA7,23.259637120317212
PEOE_VSA8,12.10820789760957
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,16.656630630790602
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,277.1215121
NumHDonors,1
PEOE_VSA10,6.069221312792274
PEOE_VSA11,0.0
PEOE_VSA12,17.46883411873538
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,11.528734926859784
SlogP_VSA3,0.0
SlogP_VSA4,11.33111286753076
SlogP_VSA5,19.038486817465095
SlogP_VSA6,46.881720416284615
SlogP_VSA7,0.0
SlogP_VSA8,22.226623842652497
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,1
fr_nitroso,0
fr_oxazole,1
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,17.46883411873538
EState_VSA4,29.301477949465173
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,42.46456947923127
EState_VSA8,23.293725637436435
EState_VSA9,4.417150937053347
SlogP_VSA10,5.884182201861009
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.757186318972034
VSA_EState9,40.74281368102797
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,5.261891554738487
EState_VSA11,0.0
FractionCSP3,0.17647058823529413
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.8
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,262.20699999999994
MaxEStateIndex,9.178779761904762
MinEStateIndex,0.2975779478458054
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1904761904761905
FpDensityMorgan2,2.0
FpDensityMorgan3,2.8095238095238093
MaxPartialCharge,0.23207313147760242
MinPartialCharge,-0.41921170379872036
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,9.178779761904762
MinAbsEStateIndex,0.2975779478458054
NumAliphaticRings,0
NumRotatableBonds,4
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.41921170379872036
MinAbsPartialCharge,0.23207313147760242
NumRadicalElectrons,0
NumValenceElectrons,104
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,277.1215121000004
MZ,0.675925925925926
Mi,1.1165631441633193
Mm,0.6413727231519254
Mp,0.7068179474384566
Mv,0.6681221758599634
SZ,24.333333333333336
Si,40.19627318987949
Sm,23.089418033469315
Sp,25.445446107784438
Sv,24.05239833095868
nB,0
nC,17
nF,0
nH,15
nI,0
nN,3
nO,1
nP,0
nS,0
nX,0
ABC,16.101695509211073
AMW,7.697819780555567
IC0,1.4797829253993395
IC1,3.4002210885152797
IC2,4.116698696973044
IC3,4.607017709595356
IC4,4.871178126382215
IC5,4.926733681937771
MID,43.16182879598302
Mpe,0.9685185185185183
Mse,0.9994132880148907
NdO,0
NdS,0
NsF,0
NsI,0
NtN,1
SMR,82.94070000000004
SdO,0
SdS,0
Spe,34.86666666666666
SsF,0
SsI,0
Sse,35.978878368536066
StN,9.178779761904762
fMF,0.4166666666666667
nBr,0
nCl,0
AMID,2.055325180761096
BIC0,0.2664072832235647
BIC1,0.6121463134914693
BIC2,0.741134727861935
BIC3,0.8294075101893295
BIC4,0.8769646604736526
BIC5,0.8869664008434688
CIC0,3.6901420760429726
CIC1,1.7697039129270324
CIC2,1.053226304469268
CIC3,0.5629072918469564
CIC4,0.2987468750600968
CIC5,0.24319131950454143
GGI1,3.0
GGI2,2.222222222222223
GGI3,1.4791666666666665
GGI4,1.0955555555555556
GGI5,0.5630555555555555
GGI6,0.4263038548752834
GGI7,0.16581632653061223
GGI8,0.1186696900982615
GGI9,0.066875
JGI1,0.13043478260869562
JGI2,0.0716845878136201
JGI3,0.04622395833333333
JGI4,0.03651851851851851
JGI5,0.020853909465020574
JGI6,0.018534950211968847
JGI7,0.00921201814058957
JGI8,0.009128437699866272
JGI9,0.008359375
MIC0,13.152197796116795
MIC1,30.583262906794236
MIC2,35.85845167682783
MIC3,38.64797252967916
MIC4,39.525524007578085
MIC5,39.58152400757808
MPC2,31
MPC3,43
MPC4,58
MPC5,72
MPC6,77
MPC7,87
MPC8,93
MPC9,95
Mare,0.9801111111111113
NaaN,1
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,1
RNCG,0.24953169062703429
RPCG,0.1381392750296894
SIC0,0.28622908939423836
SIC1,0.6576925366551124
SIC2,0.7962782237314008
SIC3,0.8911188669681057
SIC4,0.9422144663652273
SIC5,0.9529603776772979
SaaN,4.311695956160242
SaaO,5.757186318972034
SaaS,0
Sare,35.284000000000006
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,2.075331238977072
TIC0,53.27218531437622
TIC1,122.40795918655007
TIC2,148.2011530910296
TIC3,165.8526375454328
TIC4,175.36241254975977
TIC5,177.36241254975974
Vabc,250.87120912506455
WPol,32
apol,42.49389499999999
bpol,19.064104999999994
nRot,4
ABCGG,13.257460018721277
ATS0Z,838.0
ATS0d,123.0
ATS0i,5748.440308126235
ATS0m,3312.2871649999997
ATS0p,58.35369757273501
ATS0s,137.91666666666669
ATS0v,8612.376792831968
ATS1Z,973.0
ATS1d,155.0
ATS1i,5495.044783806899
ATS1m,3717.3625869999987
ATS1p,72.80917264000001
ATS1s,126.94444444444444
ATS1v,10680.060141889078
ATS2Z,1385.0
ATS2d,237.0
ATS2i,9495.10450686634
ATS2m,5207.494598999999
ATS2p,105.56059687424496
ATS2s,190.77777777777783
ATS2v,15082.058574782175
ATS3Z,1463.0
ATS3d,256.0
ATS3i,12412.065928629283
ATS3m,5444.288503999999
ATS3p,114.20318833843301
ATS3s,229.41666666666669
ATS3v,15976.204954282108
ATS4Z,1424.0
ATS4d,241.0
ATS4i,12030.744390921338
ATS4m,5241.0859500000015
ATS4p,108.23093237618798
ATS4s,242.3888888888889
ATS4v,15270.085357931106
ATS5Z,1299.0
ATS5d,221.0
ATS5i,11014.025480395492
ATS5m,4736.5384349999995
ATS5p,100.202348742792
ATS5s,218.47222222222226
ATS5v,14126.461961685583
ATS6Z,1123.0
ATS6d,188.0
ATS6i,10070.127389034447
ATS6m,4026.8098669999995
ATS6p,89.763821350245
ATS6s,209.33333333333337
ATS6v,12552.74802451621
ATS7Z,908.0
ATS7d,153.0
ATS7i,8733.994752135199
ATS7m,3201.3886700000003
ATS7p,78.73182084054699
ATS7s,186.83333333333331
ATS7v,10617.39781808333
ATS8Z,696.0
ATS8d,117.0
ATS8i,7791.523306186996
ATS8m,2378.916213
ATS8p,66.819393459396
ATS8s,157.33333333333334
ATS8v,8669.436810093348
C1SP1,1
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,8
C2SP3,1
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.17647058823529413
GGI10,0.03295582083460871
JGI10,0.008238955208652178
JGT10,0.35918949300026504
Kier1,15.879017013232515
Kier2,7.513007284079085
Kier3,3.504597079502434
MAXtN,9.178779761904762
MID_C,35.26451212290501
MID_N,5.819449220174297
MID_O,2.0778674529037198
MID_X,0.0
MID_h,7.897316673078016
MINtN,9.178779761904762
MPC10,85
MWC01,23.0
MWC02,4.6913478822291435
MWC03,5.54907608489522
MWC04,6.428105272684596
MWC05,7.311218384419629
MWC06,8.202208436436448
MWC07,9.094143577573671
MWC08,9.989619376165415
MWC09,10.885247622203586
MWC10,11.782639576096498
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.188380000000002
SRW02,3.8501476017100584
SRW03,0.0
SRW04,5.14166355650266
SRW05,2.3978952727983707
SRW06,6.650279048587422
SRW07,4.727387818712341
SRW08,8.262300941787448
SRW09,6.823286122355687
SRW10,9.929496371717178
SaaCH,14.019171677739047
SaaNH,0
SaaSe,0
SaaaC,2.1829225455614347
SaasC,2.115527683295541
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,2.0565788506760727
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,3.1004049351221967
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.029223394938948
VE1_D,4.503444122722286
VE2_A,0.1918677807113785
VE2_D,0.21444972012963265
VE3_A,2.1355109961473033
VE3_D,2.246779809371534
VR1_A,174.38618218615403
VR1_D,114.77926758177063
VR2_A,8.304103913626383
VR2_D,5.465679408655744
VR3_A,5.903209622481369
VR3_D,5.484948216327818
WPath,927
Xc-3d,0.9388321936425753
Xc-4d,0.0
Xc-5d,0.2749716523768432
Xc-6d,0.0
Xp-0d,14.656489770562878
Xp-1d,10.330029800345061
Xp-2d,8.605269889187248
Xp-3d,7.566196026763045
Xp-4d,6.5018384966578155
Xp-5d,5.298478285786087
Xp-6d,3.6616057320430575
Xp-7d,2.698371944717429
ZMIC0,67.45511568451266
ZMIC1,41.443056840599844
ZMIC2,29.579965184006287
ZMIC3,23.7720142427818
ZMIC4,21.960652436705406
ZMIC5,21.78454549218084
nAcid,0
nAtom,36
nBase,0
nRing,3
piPC1,3.5263605246161616
piPC2,4.123093975508087
piPC3,4.815228497753646
piPC4,5.470956785688478
piPC5,6.016004709053954
piPC6,6.392963466946267
piPC7,6.852242569051878
piPC8,7.281159812190285
piPC9,7.663923105657178
AATS0Z,23.27777777777778
AATS0d,3.4166666666666665
AATS0i,159.678897447951
AATS0m,92.00797680555554
AATS0p,1.6209360436870837
AATS0s,3.831018518518519
AATS0v,239.2326886897769
AATS1Z,25.605263157894736
AATS1d,4.078947368421052
AATS1i,144.60644167912892
AATS1m,97.82533123684208
AATS1p,1.9160308589473687
AATS1s,3.340643274853801
AATS1v,281.0542142602389
AATS2Z,21.984126984126984
AATS2d,3.761904761904762
AATS2i,150.71594455343399
AATS2m,82.6586444285714
AATS2p,1.67556502974992
AATS2s,3.0282186948853624
AATS2v,239.39775515527262
AATS3Z,18.518987341772153
AATS3d,3.240506329113924
AATS3i,157.1147585902441
AATS3m,68.91504435443036
AATS3p,1.4456099789675065
AATS3s,2.9040084388185656
AATS3v,202.23044245926718
AATS4Z,18.736842105263158
AATS4d,3.1710526315789473
AATS4i,158.29926830159656
AATS4m,68.96165723684213
AATS4p,1.4240912154761576
AATS4s,3.1893274853801175
AATS4v,200.92217576225138
AATS5Z,18.557142857142857
AATS5d,3.157142857142857
AATS5i,157.34322114850704
AATS5m,67.66483478571428
AATS5p,1.4314621248970285
AATS5s,3.1210317460317465
AATS5v,201.8065994526512
AATS6Z,17.825396825396826
AATS6d,2.984126984126984
AATS6i,159.84329188943568
AATS6m,63.917616936507926
AATS6p,1.4248225611149998
AATS6s,3.3227513227513232
AATS6v,199.24996864311444
AATS7Z,16.509090909090908
AATS7d,2.7818181818181817
AATS7i,158.79990458427633
AATS7m,58.20706672727273
AATS7p,1.4314876516463089
AATS7s,3.3969696969696965
AATS7v,193.04359669242416
AATS8Z,14.204081632653061
AATS8d,2.3877551020408165
