DLiP-ID,C003IA
DLiP-Mol-ID,32350
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H10ClN3O2S3/c17-13-7-8-14(23-13)25(21,22)20-11-5-3-10(4-6-11)15-19-12-2-1-9-18-16(12)24-15/h1-9,20H"
Standard Inchi Key(RDKit),QVZKFARLCPMITB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(Nc1ccc(-c2nc3cccnc3s2)cc1)c1ccc(Cl)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),407.929
MW Monoisotopic(RDKit),406.96236724
MolLogP(RDKit),4.874
XLogP(SDF),
XLogP(CDK),2.343
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.523208921515963
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,823746.0197252489
qed,0.5232089215159634
Chi0,17.44094682093905
Chi1,12.009969818002327
TPSA,71.95
Chi0n,12.509785539035095
Chi0v,15.715204227836727
Chi1n,7.1134723330569924
Chi1v,10.607593215516065
Chi2n,5.088090290597825
Chi2v,9.689937701751715
Chi3n,3.363884995185087
Chi3v,7.496395506696914
Chi4n,2.221748344313959
Chi4v,5.675922680642461
MolMR,102.9885
MolWt,407.9290000000001
fr_SH,0
Kappa1,16.467455621301774
Kappa2,6.378698224852071
Kappa3,3.3833141099577086
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1117.8179803582045
MolLogP,4.8740000000000006
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5939408432216544
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,4.2091791775220795
SMR_VSA6,4.722094864452088
SMR_VSA7,59.06410913505159
SMR_VSA8,0.0
SMR_VSA9,10.571075188549761
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,156.56118286898104
NHOHCount,1
PEOE_VSA1,0.0
PEOE_VSA2,4.722094864452088
PEOE_VSA3,18.385754026223353
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,22.937725768167255
PEOE_VSA7,48.53093654769288
PEOE_VSA8,17.447681337993636
PEOE_VSA9,4.336329015745631
RingCount,4
SMR_VSA10,60.33228621142996
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,406.96236724
NumHDonors,1
PEOE_VSA10,19.563900011611672
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,18.385754026223353
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,58.936959296828036
SlogP_VSA7,4.336329015745631
SlogP_VSA8,20.91817232578659
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,4.2091791775220795
EState_VSA3,10.023715290429193
EState_VSA4,32.25495820372133
EState_VSA5,17.403152946396347
EState_VSA6,24.395944776997904
EState_VSA7,24.26546827384644
EState_VSA8,14.690051906346504
EState_VSA9,11.600939890232516
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,34.27451164610199
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,25.22891970212615
VSA_EState9,30.94355183280335
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,1
fr_thiazole,1
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,4.688639576181608
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,1
HallKierAlpha,-1.9999999999999993
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,25
HeavyAtomMolWt,397.84900000000016
MaxEStateIndex,12.309370822045786
MinEStateIndex,-3.6294393103889875
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0
FpDensityMorgan2,1.8
FpDensityMorgan3,2.48
MaxPartialCharge,0.27094412052698513
MinPartialCharge,-0.278964237189118
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.309370822045786
MinAbsEStateIndex,0.17946663605754565
NumAliphaticRings,0
NumRotatableBonds,4
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.278964237189118
MinAbsPartialCharge,0.27094412052698513
NumRadicalElectrons,0
NumValenceElectrons,126
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,3
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,406.9623672400003
MZ,0.9904761904761904
Mi,1.093691464703427
Mm,0.9703129274355652
Mp,0.8412648417450814
Mv,0.7732756593294757
SZ,34.666666666666664
Si,38.27920126461995
Sm,33.96095246024478
Sp,29.44426946107785
Sv,27.06464807653165
nB,0
nC,16
nF,0
nH,10
nI,0
nN,3
nO,2
nP,0
nS,3
nX,1
ABC,20.083727132301885
AMW,11.62749620685715
IC0,2.022738561139236
IC1,3.3998737308597997
IC2,4.3864258740878235
IC3,5.0721401598021085
IC4,5.0721401598021085
IC5,5.0721401598021085
MID,51.49857363915374
Mpe,1.0050420168067227
Mse,1.0310269482884198
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,102.9885
SdO,24.61874164409157
SdS,0
Spe,35.17647058823529
SsF,0
SsI,0
Sse,36.085943190094696
StN,0
fMF,0.6285714285714286
nBr,0
nCl,1
AMID,2.0599429455661498
BIC0,0.36025700655916765
BIC1,0.605529729096013
BIC2,0.7812382110333355
BIC3,0.9033663894703715
BIC4,0.9033663894703715
BIC5,0.9033663894703715
CIC0,3.1065444558057305
CIC1,1.7294092860851666
CIC2,0.7428571428571429
CIC3,0.05714285714285783
CIC4,0.05714285714285783
CIC5,0.05714285714285783
GGI1,6.5
GGI2,3.3333333333333344
GGI3,1.7916666666666667
GGI4,1.7044444444444444
GGI5,0.5730555555555555
GGI6,0.3258503401360544
GGI7,0.3776927437641723
GGI8,0.197759196271101
GGI9,0.17439043209876542
JGI1,0.23214285714285712
JGI2,0.08130081300813011
JGI3,0.048423423423423415
JGI4,0.051649831649831654
JGI5,0.019760536398467435
JGI6,0.013034013605442176
JGI7,0.01798536875067487
JGI8,0.010986622015061164
JGI9,0.010258260711692085
MIC0,29.6891305670914
MIC1,46.491249491607384
MIC2,58.176951194838374
MIC3,58.868151194838376
MIC4,58.868151194838376
MIC5,58.868151194838376
MPC2,41
MPC3,53
MPC4,69
MPC5,82
MPC6,85
MPC7,92
MPC8,109
MPC9,110
Mare,1.0098285714285717
NaaN,2
NaaO,0
NaaS,2
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,1
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.16018629359498646
RPCG,0.15558099803720674
SIC0,0.3943511314265501
SIC1,0.6628360571308046
SIC2,0.8551732980217588
SIC3,0.988859484463212
SIC4,0.988859484463212
SIC5,0.988859484463212
SaaN,8.825614669383626
SaaO,0
SaaS,2.511143947009487
Sare,35.34400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,5.806934939561109
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,70.79584963987325
TIC1,118.99558058009299
TIC2,153.5249055930738
TIC3,177.5249055930738
TIC4,177.5249055930738
TIC5,177.5249055930738
Vabc,289.8471333578048
WPol,37
apol,49.171929999999996
bpol,24.96807
nRot,4
ABCGG,15.610568661083574
ATS0Z,1918.0
ATS0d,148.0
ATS0i,5372.657827134691
ATS0m,7759.144025000001
ATS0p,83.96733704849
ATS0s,190.4505124980948
ATS0v,10544.134614605367
ATS1Z,1725.0
ATS1d,183.0
ATS1i,5331.199873038399
ATS1m,6810.044477000001
ATS1p,94.68217109
ATS1s,107.00668724279836
ATS1v,12729.338802619806
ATS2Z,2781.0
ATS2d,266.0
ATS2i,8836.269555780827
ATS2m,10949.975108000002
ATS2p,143.71515358
ATS2s,255.76125971650666
ATS2v,18722.787827502125
ATS3Z,2547.0
ATS3d,263.0
ATS3i,10933.602849194125
ATS3m,9773.37876
ATS3p,141.56014373624495
ATS3s,232.37551440329224
ATS3v,18222.464922912182
ATS4Z,2209.0
ATS4d,232.0
ATS4i,10420.673448042277
ATS4m,8324.564934000004
ATS4p,128.344264656245
ATS4s,252.87128486511205
ATS4v,16412.234432719448
ATS5Z,1878.0
ATS5d,208.0
ATS5i,9572.666974391197
ATS5m,7109.766888000001
ATS5p,109.526816170245
ATS5s,235.45370370370375
ATS5v,14613.726196965217
ATS6Z,1475.0
ATS6d,184.0
ATS6i,7928.9644674716
ATS6m,5523.090633999999
ATS6p,100.17121516884899
ATS6s,175.13786008230454
ATS6v,13190.701642533706
ATS7Z,1491.0
ATS7d,169.0
ATS7i,7982.928475225087
ATS7m,5599.234919999999
ATS7p,96.869722439396
ATS7s,142.70078875171467
ATS7v,11949.77476882255
ATS8Z,1421.0
ATS8d,149.0
ATS8i,7567.27458955587
ATS8m,5419.470638
ATS8p,79.29484410849
ATS8s,140.0
ATS8v,9741.909885644025
C1SP1,0
C1SP2,5
C1SP3,0
C2SP1,0
C2SP2,10
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.15917355371900826
JGI10,0.009363150218765194
JGT10,0.4949048769243452
Kier1,18.367346938775512
Kier2,7.552647233789411
Kier3,4.135279458882165
MAXdO,12.309370822045786
MID_C,33.79626123054334
MID_N,6.151004318751626
MID_O,3.485588774172412
MID_X,1.7517295252178788
MID_h,17.702312408610403
MINdO,12.309370822045786
MPC10,122
MWC01,28.0
MWC02,4.9344739331306915
MWC03,5.7899601708972535
MWC04,6.68586094706836
MWC05,7.558516743045645
MWC06,8.453827315794417
MWC07,9.332646496360152
MWC08,10.227200158772034
MWC09,11.108724557423686
MWC10,12.002713338990246
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.8740000000000006
SRW02,4.04305126783455
SRW03,0.0
SRW04,5.3981627015177525
SRW05,3.044522437723423
SRW06,6.930494765951626
SRW07,5.351858133476067
SRW08,8.538758969330798
SRW09,7.4127640174265625
SRW10,10.186295264571648
SaaCH,15.621555449290653
SaaNH,0
SaaSe,0
SaaaC,1.7210247931620315
SaasC,2.837743186358635
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.547791792642983
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.603658361499367
VE1_D,4.929635221756136
VE2_A,0.18414633445997466
VE2_D,0.19718540887024547
VE3_A,2.443142015267055
VE3_D,2.51155572566105
VR1_A,164.29149625082823
VR1_D,148.3968309684144
VR2_A,6.57165985003313
VR2_D,5.935873238736576
VR3_A,6.017932998127082
VR3_D,5.916180707719141
WPath,1664
Xc-3d,2.3542803294427674
Xc-4d,0.2041241452319315
Xc-5d,0.5151283791960046
Xc-6d,0.10206207261596575
Xp-0d,17.44094682093905
Xp-1d,12.009969818002327
Xp-2d,11.62475914588067
Xp-3d,9.450333159999465
Xp-4d,7.855245850858413
Xp-5d,6.142026098171281
Xp-6d,4.029342006483619
Xp-7d,2.7493996904017304
ZMIC0,81.95209774062461
ZMIC1,56.64118161643427
ZMIC2,34.63426413555973
ZMIC3,31.913125594162068
ZMIC4,31.913125594162068
ZMIC5,31.913125594162068
nAcid,0
nAtom,35
nBase,0
nRing,4
piPC1,3.7256934272366524
piPC2,4.430816798843313
piPC3,5.0106352940962555
piPC4,5.6267214285197396
piPC5,6.1052116716427935
piPC6,6.429089239157748
piPC7,6.813367330042171
piPC8,7.3101401271234066
piPC9,7.5661613853073115
AATS0Z,54.8
AATS0d,4.228571428571429
AATS0i,153.50450934670545
AATS0m,221.68982928571432
AATS0p,2.399066772814
AATS0s,5.44144321423128
AATS0v,301.26098898872476
AATS1Z,45.39473684210526
AATS1d,4.815789473684211
AATS1i,140.2947335010105
AATS1m,179.21169676315793
AATS1p,2.4916360813157894
AATS1s,2.8159654537578516
AATS1v,334.98260006894225
AATS2Z,45.59016393442623
AATS2d,4.360655737704918
AATS2i,144.85687796362012
AATS2m,179.50778865573776
AATS2p,2.355986124262295
AATS2s,4.192807536336175
AATS2v,306.93094799183814
AATS3Z,35.375
AATS3d,3.6527777777777777
AATS3i,151.85559512769618
AATS3m,135.74137166666665
AATS3p,1.9661131074478466
AATS3s,3.2274377000457255
AATS3v,253.08979059600253
AATS4Z,32.48529411764706
AATS4d,3.411764705882353
AATS4i,153.2451977653276
AATS4m,122.42007255882358
AATS4p,1.8874156567094853
AATS4s,3.7186953656634123
AATS4v,241.35638871646248
AATS5Z,30.29032258064516
AATS5d,3.3548387096774195
AATS5i,154.39785442566446
AATS5m,114.67365948387098
AATS5p,1.7665615511329837
AATS5s,3.7976403823178027
