DLiP-ID,C004HD
DLiP-Mol-ID,35311
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H30Cl2N2O3/c1-3-21(15-28-4-2)29-24(16-8-10-19(26)11-9-16)22(17-6-5-7-20(27)12-17)13-18(25(29)32)14-23(30)31/h5-12,18,21-22,24,28H,3-4,13-15H2,1-2H3,(H,30,31)/t18-,21-,22-,24-/m1/s1"
Standard Inchi Key(RDKit),HPLCHNNMRVVPJW-QMBPOEKNSA-N
Canonical SMILES(RDKit),CCNC[C@@H](CC)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),477.432
MW Monoisotopic(RDKit),476.16334818
MolLogP(RDKit),5.5296
XLogP(SDF),
XLogP(CDK),4.89
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),69.64
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.498487749208386
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,11728933.88642706
qed,0.49848774920838645
Chi0,23.250347897697548
Chi1,15.349774308148643
TPSA,69.64
Chi0n,18.43058985415435
Chi0v,19.94244774619126
Chi1n,11.108032472149215
Chi1v,11.86396141816767
Chi2n,8.30363261586643
Chi2v,9.176504176810399
Chi3n,6.226966350749223
Chi3v,6.714039768876447
Chi4n,4.7253066649564115
Chi4v,5.050022277041228
MolMR,128.21450000000004
MolWt,477.432
fr_SH,0
Kappa1,24.560228390525186
Kappa2,11.172480911944776
Kappa3,5.6353632524719215
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,935.0391913846026
MolLogP,5.529600000000005
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1472800628349047
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,5.917906046161393
SMR_VSA5,51.11152697261659
SMR_VSA6,13.08951281182515
SMR_VSA7,69.70310615856953
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,199.260419919046
NHOHCount,2
PEOE_VSA1,15.323225729697514
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,61.31482245369272
PEOE_VSA7,54.778770909005026
PEOE_VSA8,34.467675954865975
PEOE_VSA9,12.462662452073971
RingCount,3
SMR_VSA10,35.07836479776839
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,476.16334818
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,41.01427578396765
SlogP_VSA3,9.589074368143644
SlogP_VSA4,5.917906046161393
SlogP_VSA5,56.19658912686262
SlogP_VSA6,48.53093654769288
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.887211334113243
EState_VSA2,30.32958905673483
EState_VSA3,23.01084465632124
EState_VSA4,24.092481012232575
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,60.35458347823398
EState_VSA8,12.240525803696954
EState_VSA9,23.20187978046503
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,23.20187978046503
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,63.07958648751307
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.69560176298435
EState_VSA11,0.0
FractionCSP3,0.44
VSA_EState10,12.47596906804248
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.0799999999999987
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,32
HeavyAtomMolWt,447.1920000000001
MaxEStateIndex,13.701661592620585
MinEStateIndex,-0.9603530780531442
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.125
FpDensityMorgan2,1.84375
FpDensityMorgan3,2.4375
MaxPartialCharge,0.30365046200903767
MinPartialCharge,-0.481212069761211
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.701661592620585
MinAbsEStateIndex,0.06814153439153481
NumAliphaticRings,1
NumRotatableBonds,9
NumSaturatedRings,1
fr_Ndealkylation1,1
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.481212069761211
MinAbsPartialCharge,0.30365046200903767
NumRadicalElectrons,0
NumValenceElectrons,172
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,476.16334818000087
MZ,0.6774193548387095
Mi,1.1248746309113982
Mm,0.6411139251385156
Mp,0.6830190264632027
Mv,0.6285395691483429
SZ,41.99999999999999
Si,69.74222711650668
Sm,39.74906335858797
Sp,42.347179640718565
Sv,38.969453287197254
nB,0
nC,25
nF,0
nH,30
nI,0
nN,2
nO,3
nP,0
nS,0
nX,2
ABC,24.30549875740934
AMW,7.68005400290324
IC0,1.5661638891806309
IC1,3.5277678926812746
IC2,4.865328971607407
IC3,5.542748326446118
IC4,5.639522519994502
IC5,5.639522519994502
MID,64.42214550433927
Mpe,0.9643896268184692
Mse,1.0026901299250524
NdO,2
NdS,0
NsF,0
