DLiP-ID,C004LM
DLiP-Mol-ID,35464
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H22Cl2N2O4/c25-16-3-1-2-14(8-16)19-9-15(10-21(29)30)22(31)28(12-13-4-5-13)24(19)18-7-6-17(26)11-20(18)27-23(24)32/h1-3,6-8,11,13,15,19H,4-5,9-10,12H2,(H,27,32)(H,29,30)/t15-,19-,24-/m0/s1"
Standard Inchi Key(RDKit),BJYAVSZQIJEQQR-KFSOKAEPSA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H]1C[C@@H](c2cccc(Cl)c2)[C@@]2(C(O)=Nc3cc(Cl)ccc32)N(CC2CC2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),473.356
MW Monoisotopic(RDKit),472.095662544
MolLogP(RDKit),5.30730000000001
XLogP(SDF),
XLogP(CDK),3.644
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),90.2
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.616299262786773
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,27177371.3255204
qed,0.6162992627867736
Chi0,22.620591385700628
Chi1,15.30060471519988
TPSA,90.19999999999999
Chi0n,17.170316506775013
Chi0v,18.682174398811917
Chi1n,10.672550929909198
Chi1v,11.428479875927653
Chi2n,8.893561047641361
Chi2v,9.766432608585331
Chi3n,6.8129601508181095
Chi3v,7.283154356393586
Chi4n,5.261862306529372
Chi4v,5.626933315985744
MolMR,121.84360000000004
MolWt,473.3560000000003
fr_SH,0
Kappa1,21.284881090127293
Kappa2,7.7815974306713915
Kappa3,3.367688535264931
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1146.5691803099894
MolLogP,5.307300000000004
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7410401424997248
SMR_VSA1,19.802129157825057
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,16.828216824958453
SMR_VSA5,37.14011779024877
SMR_VSA6,6.544756405912575
SMR_VSA7,63.63673909010791
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.023509552039
NHOHCount,2
PEOE_VSA1,15.11296452053189
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.992404732635669
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,41.40098098584986
PEOE_VSA7,55.00929068048286
PEOE_VSA8,33.98928661741501
PEOE_VSA9,12.10820789760957
RingCount,5
SMR_VSA10,46.66349641680956
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,472.095662544
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.538925252383345
PEOE_VSA12,11.804925073709118
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,39.43195128810543
SlogP_VSA3,15.127999620526989
SlogP_VSA4,11.835812092322787
SlogP_VSA5,42.72809552125942
SlogP_VSA6,47.45697421186694
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,23.34404263265798
EState_VSA2,24.646568319561133
EState_VSA3,33.75876684593718
EState_VSA4,18.405094737549014
EState_VSA5,0.0
EState_VSA6,23.09901093623531
EState_VSA7,24.26546827384644
EState_VSA8,4.992404732635669
EState_VSA9,23.20187978046503
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,23.20187978046503
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,66.79542925677906
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.802129157825057
EState_VSA11,0.0
FractionCSP3,0.375
VSA_EState10,12.51012629877649
fr_C_O_noCOO,1
