DLiP-ID,C004M4
DLiP-Mol-ID,35482
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H27Cl2NO5/c1-25(13-21(30)31)12-18(15-3-2-4-17(27)11-15)22(14-5-7-16(26)8-6-14)28(24(25)33)19-9-10-20(29)23(19)32/h2-8,11,18-20,22-23,29,32H,9-10,12-13H2,1H3,(H,30,31)/t18-,19+,20-,22-,23+,25-/m0/s1"
Standard Inchi Key(RDKit),CPDLQUCIPXCTHZ-MZKVAZICSA-N
Canonical SMILES(RDKit),C[C@@]1(CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@H](c2ccc(Cl)cc2)N([C@@H]2CC[C@H](O)[C@@H]2O)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),492.399
MW Monoisotopic(RDKit),491.126628324
MolLogP(RDKit),4.4158
XLogP(SDF),
XLogP(CDK),3.864
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),98.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.574482489282248
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,21649445.438614845
qed,0.5744824892822482
Chi0,23.913484604514082
Chi1,15.60287995234177
TPSA,98.07
Chi0n,18.19526053315734
Chi0v,19.70711842519425
Chi1n,11.021711640414567
Chi1v,11.777640586433023
Chi2n,9.408247406734912
Chi2v,10.28111896767888
Chi3n,7.035769519293165
Chi3v,7.52284293742039
Chi4n,5.487964907623344
Chi4v,5.81268051970816
MolMR,125.24440000000004
MolWt,492.3990000000002
fr_SH,0
Kappa1,24.01882039394543
Kappa2,9.259233495956803
Kappa3,4.622944868508885
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1045.3477212623493
MolLogP,4.415800000000005
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9009051539356847
SMR_VSA1,24.90865655266576
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.41499046939678
SMR_VSA5,62.81654417134858
SMR_VSA6,0.0
SMR_VSA7,69.70310615856953
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,2
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,202.29319408630067
NHOHCount,3
PEOE_VSA1,20.219491915372593
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,54.39108525400209
PEOE_VSA7,54.654836126018466
PEOE_VSA8,15.963172673644046
PEOE_VSA9,30.023460138367014
RingCount,4
SMR_VSA10,35.07836479776839
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,491.12662832399997
NumHDonors,3
PEOE_VSA10,6.103966387748303
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,50.34575053732051
SlogP_VSA3,9.589074368143644
SlogP_VSA4,5.41499046939678
SlogP_VSA5,55.69367355009801
SlogP_VSA6,48.53093654769288
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,35.675910191141156
EState_VSA2,18.24590739843891
EState_VSA3,29.307731496260683
EState_VSA4,11.126902983393991
EState_VSA5,0.0
EState_VSA6,30.02274813592593
EState_VSA7,30.33183534230805
EState_VSA8,0.0
EState_VSA9,23.20187978046503
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,23.20187978046503
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,71.7101234828183
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,24.90865655266576
EState_VSA11,0.0
FractionCSP3,0.44
VSA_EState10,12.4287654060706
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1199999999999997
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,33
HeavyAtomMolWt,465.1830000000003
MaxEStateIndex,13.934199857926709
MinEStateIndex,-1.1855104971515358
NumHeteroatoms,8
