DLiP-ID,C004RE
DLiP-Mol-ID,35655
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C4H9NO2S.ClH/c1-7-4(6)3(5)2-8;/h3,8H,2,5H2,1H3;1H/t3-;/m0./s1"
Standard Inchi Key(RDKit),WHOHXJZQBJXAKL-DFWYDOINSA-N
Canonical SMILES(RDKit),COC(=O)[C@@H](N)CS.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),171.649
MW Monoisotopic(RDKit),171.01207724
MolLogP(RDKit),-0.1617
XLogP(SDF),
XLogP(CDK),0.424
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),52.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),9
QED Weighted(RDKit),0.448592367693242
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,1-acylglycerol-3-phosphate O-acyltransferase ABHD5/Perilipin-5
Common Target Pref Name,1-acylglycerol-3-phosphate O-acyltransferase ABHD5/Perilipin-5
RDKit Descriptors
Ipc,53.47276361405894
qed,0.44859236769324257
Chi0,6.568914100752346
Chi1,3.718744015013406
TPSA,52.32
Chi0n,5.033765786457346
Chi0v,6.744689558384987
Chi1n,2.1629811053365735
Chi1v,2.7954366373702495
Chi2n,1.3122269970899503
Chi2v,1.677375368760061
Chi3n,0.7006302419421861
Chi3v,1.0940229384551334
Chi4n,0.22591031432730352
Chi4v,0.37498151282728953
MolMR,41.09240000000001
MolWt,171.64900000000003
fr_SH,1
Kappa1,11.81722566214997
Kappa2,6.193915737298636
Kappa3,4.5656629491945475
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,90.63682062300137
MolLogP,-0.16169999999999973
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,0
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,6.041840829147961
SMR_VSA6,12.862651148024323
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,65.75719531353388
NHOHCount,2
PEOE_VSA1,10.470530430962235
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,12.628789148012991
PEOE_VSA5,12.407033161179976
PEOE_VSA6,0.0
PEOE_VSA7,0.0
PEOE_VSA8,5.752853606746789
PEOE_VSA9,7.109797541277533
RingCount,0
SMR_VSA10,31.005127597144813
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,171.01207724
NumHDonors,2
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.733667477162185
SlogP_VSA2,24.873797265124132
SlogP_VSA3,9.53140013787187
SlogP_VSA4,0.0
