DLiP-ID,C005GV
DLiP-Mol-ID,36589
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14N2O2S/c1-21(19,20)18-15-10-9-13(12-6-3-2-4-7-12)14-8-5-11-17-16(14)15/h2-11,18H,1H3"
Standard Inchi Key(RDKit),FQENXGGVLOXLKU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CS(=O)(=O)Nc1ccc(-c2ccccc2)c2cccnc12
SMILES(SDF),
MW(SDF),
MW(RDKit),298.367
MW Monoisotopic(RDKit),298.077598688
MolLogP(RDKit),3.2733
XLogP(SDF),
XLogP(CDK),3.305
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.807007499092113
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclin-dependent kinases regulatory subunit 1/S-phase kinase-associated protein 2
Common Target Pref Name,Cyclin-dependent kinases regulatory subunit 1/S-phase kinase-associated protein 2
RDKit Descriptors
Ipc,67676.86108839292
qed,0.8070074990921131
Chi0,14.872032720186706
Chi1,10.04462475717365
TPSA,59.06
Chi0n,11.445461158787808
Chi0v,12.261957739715536
Chi1n,6.454220462833667
Chi1v,8.34563200089192
Chi2n,4.800505938014174
Chi2v,6.548961137197923
Chi3n,3.1498163402498216
Chi3v,3.7405203549621437
Chi4n,2.324183958268507
Chi4v,2.8883715037912268
MolMR,85.64550000000004
MolWt,298.3670000000001
fr_SH,0
Kappa1,13.577000659817138
Kappa2,5.179477978555257
Kappa3,2.8746650916803143
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,890.5538564046728
MolLogP,3.2733000000000017
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.2462040790597375
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,10.977864047963493
SMR_VSA7,60.794147187767564
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,123.06539002866245
NHOHCount,1
PEOE_VSA1,0.0
PEOE_VSA2,9.706073385399296
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,23.259637120317212
PEOE_VSA8,11.583067786077873
PEOE_VSA9,17.459856175811225
RingCount,3
SMR_VSA10,26.6136023601722
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,298.077598688
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,19.65754468878755
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,60.794147187767564
SlogP_VSA7,0.0
SlogP_VSA8,22.029827915475046
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
