DLiP-ID,C100FS
DLiP-Mol-ID,35013
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H21NOS/c1-2-3-4-5-6-11-14(16)15-12-9-7-8-10-13(12)17/h7-10,17H,2-6,11H2,1H3,(H,15,16)"
Standard Inchi Key(RDKit),YTBMKTFORKIZLN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCCCCC(=O)Nc1ccccc1S
SMILES(SDF),
MW(SDF),
MW(RDKit),251.395
MW Monoisotopic(RDKit),251.134385292
MolLogP(RDKit),4.2743
XLogP(SDF),
XLogP(CDK),4.752
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.54959365344523
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,6590.753538976206
qed,0.5495936534452298
Chi0,12.510225400620904
Chi1,8.236382105218448
TPSA,29.1
Chi0n,10.407503649841612
Chi0v,11.301930840841527
Chi1n,6.315741383951357
Chi1v,6.762954979451314
Chi2n,4.229538956016978
Chi2v,4.711344643514118
Chi3n,2.6855306650581823
Chi3v,3.0755047073067385
Chi4n,1.6811572787919458
Chi4v,1.8976608740618206
MolMR,75.69970000000004
MolWt,251.39500000000004
fr_SH,1
Kappa1,14.102344139650873
Kappa2,8.17801991384789
Kappa3,5.777122121181454
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,351.83037579631235
MolLogP,4.274300000000005
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2338822588178164
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,50.34415041276446
SMR_VSA6,5.316788604006331
SMR_VSA7,24.26546827384644
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,109.2173909817234
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,12.628789148012991
PEOE_VSA6,44.73975782831788
PEOE_VSA7,18.55355575984923
PEOE_VSA8,11.316305098443785
PEOE_VSA9,5.687386274683562
RingCount,1
SMR_VSA10,24.223355152048057
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,251.134385292
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,5.907179729351506
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,45.448666937246685
SlogP_VSA6,29.160951749364216
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,6.4208216229260096
EState_VSA4,23.424512996053355
EState_VSA5,19.26246486877803
EState_VSA6,0.0
EState_VSA7,24.26546827384644
EState_VSA8,24.869314951709946
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,12.628789148012991
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,32.42727788815165
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.5
VSA_EState10,4.294944334070567
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-0.9600000000000001
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,17
HeavyAtomMolWt,230.22699999999998
MaxEStateIndex,11.652306547619048
MinEStateIndex,0.08610969387755119
NumHeteroatoms,3
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1764705882352942
FpDensityMorgan2,1.8823529411764706
FpDensityMorgan3,2.588235294117647
MaxPartialCharge,0.2238996751853222
MinPartialCharge,-0.3250867902192632
NumAromaticRings,1
fr_unbrch_alkane,3
MaxAbsEStateIndex,11.652306547619048
MinAbsEStateIndex,0.08610969387755119
NumAliphaticRings,0
NumRotatableBonds,7
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3250867902192632
MinAbsPartialCharge,0.2238996751853222
NumRadicalElectrons,0
NumValenceElectrons,94
fr_para_hydroxylation,1
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,251.134385292
MZ,0.5964912280701755
Mi,1.1258082377911778
Mm,0.5507845878120493
Mp,0.6647439804601326
Mv,0.5881318253398609
SZ,22.66666666666667
Si,42.78071303606475
Sm,20.929814336857874
Sp,25.26027125748504
Sv,22.349009362914714
nB,0
nC,14
nF,0
nH,21
nI,0
nN,1
nO,1
nP,0
nS,1
nX,0
ABC,12.199154765133787
AMW,6.608799612947368
IC0,1.4178844927288374
IC1,2.9791643711129385
IC2,3.807689198885676
IC3,4.504120605378049
IC4,4.807009421281391
IC5,4.807009421281391
MID,33.38318787315461
Mpe,0.9386996904024765
Mse,0.984024609958984
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,75.69970000000004
SdO,11.652306547619048
SdS,0
Spe,35.670588235294105
SsF,0
SsI,0
Sse,37.39293517844139
StN,0
fMF,0.15789473684210525
nBr,0
nCl,0
AMID,1.9637169337149771
BIC0,0.2629452944923586
BIC1,0.5524831232167561
BIC2,0.7061322434025968
BIC3,0.8352847676123993
BIC4,0.8914552027251115
BIC5,0.8914552027251115
CIC0,3.830043020714748
CIC1,2.2687631423306467
CIC2,1.4402383145579094
CIC3,0.7438069080655358
CIC4,0.44091809216219424
CIC5,0.44091809216219424
GGI1,2.5
GGI2,1.333333333333334
GGI3,0.75
GGI4,0.6622222222222223
GGI5,0.22916666666666669
GGI6,0.1820408163265306
GGI7,0.10590277777777778
GGI8,0.05744520030234315
GGI9,0.045625000000000006
JGI1,0.14705882352941177
JGI2,0.06666666666666671
JGI3,0.039473684210526314
JGI4,0.04138888888888889
JGI5,0.015277777777777776
JGI6,0.015170068027210885
JGI7,0.010590277777777778
JGI8,0.0063828000335936835
JGI9,0.006517857142857143
MIC0,15.423794801923552
MIC1,26.75355683416023
MIC2,31.310837411974187
MIC3,33.96873572198968
MIC4,34.27404764842025
MIC5,34.27404764842025
MPC2,20
MPC3,22
MPC4,24
MPC5,26
MPC6,20
MPC7,18
MPC8,17
MPC9,14
Mare,0.9495789473684213
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,1
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.25554160384463265
RPCG,0.1760012520304468
SIC0,0.2701798927474991
SIC1,0.5676839787670905
SIC2,0.7255605549298348
SIC3,0.8582665430953209
SIC4,0.9159824347739757
SIC5,0.9159824347739757
SaaN,0
SaaO,0
SaaS,0
Sare,36.08400000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,4.294944334070567
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,53.87961072369582
TIC1,113.20824610229167
TIC2,144.6921895576557
TIC3,171.15658300436587
TIC4,182.66635800869287
TIC5,182.66635800869287
Vabc,255.19396936655977
WPol,19
apol,42.18465299999997
bpol,24.965346999999994
nRot,7
ABCGG,10.570161139749803
ATS0Z,894.0
ATS0d,95.0
ATS0i,6162.41283358183
ATS0m,3521.042688
ATS0p,58.644675001829015
ATS0s,119.6381268099375
ATS0v,7638.4774444928335
ATS1Z,833.0
ATS1d,117.0
ATS1i,5493.492973063829
ATS1m,3065.616583999999
ATS1p,69.93655389000001
ATS1s,96.01954732510289
ATS1v,9356.368269861703
ATS2Z,1127.0
ATS2d,178.0
ATS2i,10206.800359294439
ATS2m,4035.769026
ATS2p,99.99043992364098
ATS2s,155.26646090534985
ATS2v,12646.158925251098
ATS3Z,1228.0
ATS3d,197.0
ATS3i,14740.666468196398
ATS3m,4283.5329280000005
ATS3p,110.46336995862099
ATS3s,193.62962962962968
ATS3v,13288.793307701237
ATS4Z,1057.0
ATS4d,174.0
ATS4i,13867.51694131696
ATS4m,3585.058753999999
ATS4p,99.98515151777198
ATS4s,184.06275720164612
ATS4v,11801.970910992724
ATS5Z,989.0
ATS5d,154.0
ATS5i,12407.223986431954
ATS5m,3429.5784849999995
ATS5p,86.60151676407399
ATS5s,180.17901234567904
ATS5v,10566.88592432115
ATS6Z,790.0
ATS6d,136.0
ATS6i,11036.982136338487
ATS6m,2612.470370999999
ATS6p,78.63601839698
ATS6s,160.7808641975309
ATS6v,9393.303675440522
ATS7Z,678.0
ATS7d,122.0
ATS7i,10080.230803015393
ATS7m,2219.5741009999992
ATS7p,71.21115380498
ATS7s,128.44753086419752
ATS7v,8273.556777623398
ATS8Z,608.0
ATS8d,108.0
ATS8i,8785.926675329141
ATS8m,2008.722508
ATS8p,62.544082769282
ATS8s,114.03086419753086
ATS8v,7246.912290904667
C1SP1,0
C1SP2,1
C1SP3,1
C2SP1,0
C2SP2,6
C2SP3,6
C3SP2,0
C3SP3,0
C4SP3,0
FCSP3,0.5
GGI10,0.037139067442097745
JGI10,0.006189844573682957
JGT10,0.3547166886283939
Kier1,15.058823529411764
Kier2,9.0
Kier3,6.479338842975206
MAXdO,11.652306547619048
MID_C,27.835565331135513
MID_N,2.0143695879523094
MID_O,1.765244818708737
MID_X,0.0
MID_h,5.547622542019098
MINdO,11.652306547619048
MPC10,12
MWC01,17.0
MWC02,4.31748811353631
MWC03,5.0689042022202315
MWC04,5.855071922202427
MWC05,6.63200177739563
MWC06,7.428333194190806
MWC07,8.217978203150732
MWC08,9.020268861722167
MWC09,9.817548327858471
MWC10,10.623836390521218
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.274300000000005
SRW02,3.5553480614894135
SRW03,0.0
SRW04,4.74493212836325
SRW05,0.0
SRW06,6.12029741895095
SRW07,0.0
SRW08,7.590346945602565
SRW09,0.0
SRW10,9.113278659133051
SaaCH,7.5521907229374765
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.6122449166127022
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,0.08610969387755119
SdssS,0
SsCH3,2.1908061247915143
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.8857708175862937
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,3.3276843909226863
VE1_D,4.0560846366645205
VE2_A,0.19574614064251095
VE2_D,0.2385932139214424
VE3_A,1.7329049350657337
VE3_D,1.9308463841610808
VR1_A,310.9314034338813
VR1_D,75.42048176972507
VR2_A,18.290082554934195
