DLiP-ID,C100HL
DLiP-Mol-ID,29652
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H21F3N6OS/c24-23(25,26)9-17-7-18-21(28-12-29-22(18)34-17)31-15-1-3-32(4-2-15)11-14-5-13-6-16(10-27)30-19(13)8-20(14)33/h5-8,12,15,30,33H,1-4,9,11H2,(H,28,29,31)"
Standard Inchi Key(RDKit),KVKVIQXKEMCKPS-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1cc2cc(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)c(O)cc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),486.523
MW Monoisotopic(RDKit),486.144964952
MolLogP(RDKit),4.93118
XLogP(SDF),
XLogP(CDK),3.662
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.369838081513618
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,59731766.413232215
qed,0.3698380815136184
Chi0,23.871668241257193
Chi1,16.269302745435496
TPSA,100.86000000000001
Chi0n,17.984951989248376
Chi0v,18.801448570176102
Chi1n,10.809936232583318
Chi1v,11.626432813511045
Chi2n,8.5035163188241
Chi2v,9.618716190113348
Chi3n,6.017918356111234
Chi3v,7.060967374787724
Chi4n,4.3781867507377115
Chi4v,5.404546175234956
MolMR,123.77420000000004
MolWt,486.5230000000002
fr_SH,0
Kappa1,22.433105195504808
Kappa2,8.773895658761468
Kappa3,4.782355903046741
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1381.3644666148523
MolLogP,4.931180000000004
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.2296451613338375
SMR_VSA1,18.277772537865165
SMR_VSA2,5.261891554738487
SMR_VSA3,19.8518452936921
SMR_VSA4,0.0
SMR_VSA5,38.02536062128204
SMR_VSA6,18.406301415831482
SMR_VSA7,46.72731502885773
SMR_VSA8,0.0
SMR_VSA9,11.818733146076179
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,196.41240941464528
NHOHCount,3
PEOE_VSA1,15.407294519794245
PEOE_VSA2,4.899909730850478
PEOE_VSA3,9.967957041894417
PEOE_VSA4,18.433136697762947
PEOE_VSA5,11.336785877934737
PEOE_VSA6,0.0
PEOE_VSA7,31.04074445123685
PEOE_VSA8,47.56930001521039
PEOE_VSA9,17.32374655500707
RingCount,5
SMR_VSA10,38.274194221936185
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,486.144964952
NumHDonors,3
PEOE_VSA10,34.48824041314478
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.176298517443475
SlogP_VSA1,5.316788604006331
SlogP_VSA2,50.26602484694939
SlogP_VSA3,12.965578028838586
SlogP_VSA4,11.33111286753076
SlogP_VSA5,28.976169926098773
SlogP_VSA6,30.59278834861098
SlogP_VSA7,0.0
SlogP_VSA8,21.119545566166423
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,1
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.597120140369483
EState_VSA2,16.668499856133163
EState_VSA3,28.273167812681425
EState_VSA4,53.73431835938995
EState_VSA5,12.393687143226153
EState_VSA6,12.13273413692322
EState_VSA7,6.06636706846161
EState_VSA8,31.237855210490704
EState_VSA9,5.261891554738487
SlogP_VSA10,18.98910792085949
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,38.32680344250219
VSA_EState9,50.54599877467965
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,18.277772537865165
EState_VSA11,0.0
FractionCSP3,0.34782608695652173
VSA_EState10,1.0438644494848301
fr_C_O_noCOO,0
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,1
HallKierAlpha,-3.36
NumHAcceptors,7
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,465.3550000000002
MaxEStateIndex,12.77560114750073
MinEStateIndex,-4.257142525716787
NumHeteroatoms,11
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,3
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2058823529411764
FpDensityMorgan2,2.0
FpDensityMorgan3,2.735294117647059
MaxPartialCharge,0.39332838947681936
MinPartialCharge,-0.5075421298255997
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.77560114750073
